PatternID,Text,Cause,Effect
112,"In the photo of the Mesquite sand dune in Death Valley National Park, California (Figure 1.2), we see that wind can cause cross-bedding in sand. Cross-bedding is due to changes in wind direction. There are also ripples caused by the wind waving over the surface of the dune.",changes in wind direction,Cross-bedding
78,"There are also ripples caused by the wind waving over the surface of the dune. Since we can observe wind forming sand dunes with these patterns now, we have a good explanation for how the Navajo sandstone formed. The Navajo sandstone is a rock formed from ancient sand dunes in which wind direction changed from time to time.",we can observe wind forming sand dunes with these patterns now,we have a good explanation for how the Navajo sandstone formed .
68,"This is just one example of how geologists use observations they make today to unravel what happened in Earths past. Rocks formed from volcanoes, oceans, rivers, and many other features are deciphered by looking at the geological work those features do today. Click image to the left or use the URL below.",looking at the geological work those features do today,"Rocks formed from volcanoes , oceans , rivers , and many other features are deciphered"
14,"He called this the principle of uniformitarianism. It is that if we can understand a geological process now and we find evidence of that same Checkerboard Mesa in Zion National Park, Utah. process in the past, then we can assume that the process operated the same way in the past.","we can understand a geological process now and we find evidence of that same Checkerboard Mesa in Zion National Park ,",It is that
47,"The Colorado River cuts through all the layers of rock to form the canyon. Based on the principle of cross- cutting relationships, the river must be younger than all of the rock layers that it cuts through. ",the principle of cross - cutting relationships,the river must be younger than all of the rock layers that it cuts through .
15,"He wanted to explain how that could occur. Steno proposed that if a rock contained the fossils of marine animals, the rock formed from sediments that were deposited on the seafloor. These rocks were then uplifted to become mountains.",a rock contained the fossils of marine animals,the rock formed from sediments that were deposited on the seafloor .
15,"Original horizontality: Sediments are deposited in fairly flat, horizontal layers. If a sedimentary rock is found tilted, the layer was tilted after it was formed. Lateral continuity: Sediments are deposited in continuous sheets that span the body of water that they are deposited in.",a sedimentary rock is found tilted,the layer was tilted after it was formed .
15,"Early geologists had no way to determine the absolute age of a geological material. If they didnt see it form, they couldnt know if a rock was one hundred years or 100 million years old. What they could do was determine the ages of materials relative to each other.",they didnt see it form,they couldnt know if a rock was one hundred years or 100 million years old .
14,"Early geologists had no way to determine the absolute age of a geological material. If they didnt see it form, they couldnt know if a rock was one hundred years or 100 million years old. What they could do was determine the ages of materials relative to each other.",a rock was one hundred years or 100 million years old .,they couldnt know
81,What they could do was determine the ages of materials relative to each other. Using sensible principles they could say whether one rock was older than another and when a process occurred relative to those rocks. ,Using sensible principles,they could say whether one rock was older than another and when a process occurred relative to those rocks .
80,"The droplets gather in clouds, which are blown about the globe by wind. As the water droplets in the clouds collide and grow, they fall from the sky as precipitation. Precipitation can be rain, sleet, hail, or snow.","the water droplets in the clouds collide and grow , they fall from the sky as precipitation .","The droplets gather in clouds , which are blown about the globe by wind ."
0,"The molecules move between these reservoirs by certain processes, including condensation and precipitation. There are only so many water molecules and these molecules cycle around. If climate cools and glaciers and ice caps grow, there is less water for the oceans and sea level will fall.",There are only,"many water molecules and these molecules cycle around . If climate cools and glaciers and ice caps grow , there is less water for the oceans and sea level will fall"
15,"There are only so many water molecules and these molecules cycle around. If climate cools and glaciers and ice caps grow, there is less water for the oceans and sea level will fall. The reverse can also happen.",climate cools and glaciers and ice caps grow,there is less water for the oceans and sea level will fall .
68,"The Sun, many millions of kilometers away, provides the energy that drives the water cycle. Our nearest star directly impacts the water cycle by supplying the energy needed for evaporation. ",supplying the energy needed for evaporation,Our nearest star directly impacts the water cycle
79,"The law gives the EPA the authority to reduce the discharge of pollution into waterways, finance wastewater treatment plants, and manage runoff. Since its passage in 1972, more wastewater treatment plants have been constructed and the release of industrial waste into the water supply is better controlled. Scientists control water pollution by sam- pling the water and studying the pollutants that are in the water.","its passage in 1972 , more wastewater treatment plants have been constructed and the release of industrial waste into the water supply is better","The law gives the EPA the authority to reduce the discharge of pollution into waterways , finance wastewater treatment plants , and manage runoff ."
44,Scientists control water pollution by sam- pling the water and studying the pollutants that are in the water. The United Nations and other international groups are working to improve global water quality standards by pro- viding the technology for treating water. These organizations also educate people in how to protect and improve the quality of the water they use (Figure 1.1).,treating water,The United Nations and other international groups are working to improve global water quality standards by pro- viding the technology
75,"The goal of water treatment is to make water suitable for such uses as drinking, medicine, agriculture, and industrial processes. People living in developed countries suffer from few waterborne diseases and illness, because they have extensive water treatment systems to collect, treat, and redeliver clean water. Many underdeveloped nations have few or no water treatment facilities.",they have extensive water treatment systems to collect,"treat , and redeliver clean water ."
68,"Sewage treatment removes contaminants, such as solids and particles, from sewage. Water purification produces drinking water by removing bacteria, algae, viruses, fungi, unpleasant elements such as iron and sulfur, and man-made chemical pollutants. The treatment method used depends on the kind of wastewater being treated and the desired end result.","removing bacteria , algae , viruses , fungi , unpleasant elements such as iron and sulfur , and man-made chemical pollutants",Water purification produces drinking water
68," Some isotopes are radioactive; radioactive isotopes are unstable and spontaneously change by gaining or losing particles. Two types of radioactive decay are relevant to dating Earth materials (Table 1.1): Particle Alpha Composition 2 protons, 2 neutrons Beta 1 electron Effect on Nucleus",gaining or losing particles,radioactive isotopes are unstable and spontaneously change
86,"The electron is emitted. The radioactive decay of a parent isotope (the original element) leads to the formation of stable daughter product, also known as daughter isotope. As time passes, the number of parent isotopes decreases and the number of daughter isotopes increases (Figure 1.1).",The radioactive decay of a parent isotope -LRB- the original element -RRB-,"the formation of stable daughter product , also known as daughter isotope"
80," Radioactive materials decay at known rates, measured as a unit called half-life. The half-life of a radioactive substance is the amount of time it takes for half of the parent atoms to decay.",a unit called half-life .,"Radioactive materials decay at known rates , measured"
16,"How many half lives have passed? If the half-life of the parent isotope is 1 year, then how old is the rock? The decay of radioactive materials can be shown with a graph (Figure 1.2).",the half-life of the parent isotope is 1 year,how old is the rock ?
44,"Radiocarbon dating is used to find the age of once-living materials between 100 and 50,000 years old. This range is especially useful for determining ages of human fossils and habitation sites (Figure 1.1). The atmosphere contains three isotopes of carbon: carbon-12, carbon-13 and carbon-14.",determining ages of human fossils and habitation sites -LRB- Figure 1.1 -RRB-,This range is especially useful
68,"Animals consume this carbon when they eat plants or other animals that have eaten plants. After the organisms death, the carbon-14 decays to stable nitrogen-14 by releasing a beta particle. The nitrogen atoms are lost to the atmosphere, but the amount of carbon-14 that has decayed can be estimated by measuring the proportion of radioactive carbon-14 to stable carbon- 12.",releasing a beta particle,"After the organisms death , the carbon-14 decays to stable nitrogen-14"
68,"After the organisms death, the carbon-14 decays to stable nitrogen-14 by releasing a beta particle. The nitrogen atoms are lost to the atmosphere, but the amount of carbon-14 that has decayed can be estimated by measuring the proportion of radioactive carbon-14 to stable carbon- 12. As time passes, the amount of carbon-14 decreases relative to the amount of carbon-12.",measuring the proportion of radioactive carbon-14 to stable carbon - 12,"the atmosphere , but the amount of carbon-14 that has decayed can be estimated"
80,"The nitrogen atoms are lost to the atmosphere, but the amount of carbon-14 that has decayed can be estimated by measuring the proportion of radioactive carbon-14 to stable carbon- 12. As time passes, the amount of carbon-14 decreases relative to the amount of carbon-12. Carbon isotopes from the black material in these cave paintings places their cre- ating at about 26,000 to 27,000 years","time passes , the amount of carbon-14 decreases relative to the amount of carbon-12 .",but the amount of carbon-14 that has decayed can be estimated by measuring the proportion of radioactive carbon-14 to stable carbon - 12 .
0,"Potassium-40 decays to argon-40 with a half-life of 1.26 billion years. Argon is a gas so it can escape from molten magma, meaning that any argon that is found in an igneous crystal probably formed as a result of the decay of potassium-40. Measuring the ratio of potassium-40 to argon-40 yields a good estimate of the age of that crystal.",Argon is a gas,"it can escape from molten magma , meaning that any argon that is found in an igneous crystal probably formed as a result of the decay of potassium-40 ."
59,"Potassium-40 decays to argon-40 with a half-life of 1.26 billion years. Argon is a gas so it can escape from molten magma, meaning that any argon that is found in an igneous crystal probably formed as a result of the decay of potassium-40. Measuring the ratio of potassium-40 to argon-40 yields a good estimate of the age of that crystal.",the decay of potassium-40,"it can escape from molten magma , meaning that any argon that is found in an igneous crystal probably formed"
44,"With its half-life, the technique is used to date rocks from 100,000 years to over a billion years old. The technique has been useful for dating fairly young geological materials and deposits containing the bones of human ancestors. ",dating fairly young geological materials and deposits containing the bones of human ancestors,The technique has been useful
15,"One way is to constrain a material that cannot be dated by one or more that can. For example, if sedimentary rock A is below volcanic rock B and the age of volcanic rock B is 2.0 million years, then you know that sedimentary rock A is older than 2.0 million years. If sedimentary rock A is above volcanic rock C and its age is 2.5 million years",sedimentary rock A is below volcanic rock B and the age of volcanic rock B is 2.0 million years,then you know that sedimentary rock A is older than 2.0 million
44, Radiometric dating is a very useful tool for dating geological materials but it does have limits: 1. The material being dated must have measurable amounts of the parent and/or the daughter isotopes.,dating geological materials,Radiometric dating is a very useful tool
15,"The material being dated must have measurable amounts of the parent and/or the daughter isotopes. Ideally, different radiometric techniques are used to date the same sample; if the calculated ages agree, they are thought to be accurate. 2.",the calculated ages agree,they are thought to be accurate .
44,"2. Radiometric dating is not very useful for determining the age of sedimentary rocks. To estimate the age of a sedimentary rock, geologists find nearby igneous rocks that can be dated and use relative dating to constrain the age of the sedimentary rock.",determining the age of sedimentary rocks,Radiometric dating is not very useful
15,"When zircon forms in an igneous rock, the crystals readily accept atoms of uranium but reject atoms of lead. If any lead is found in a zircon crystal, it can be assumed that it was produced from the decay of uranium. Uranium-lead dating is useful for dating igneous rocks from 1 million years to around 4.6 billion years old.",any lead is found in a zircon crystal,it can be assumed that it was produced from the decay of uranium .
44,"If any lead is found in a zircon crystal, it can be assumed that it was produced from the decay of uranium. Uranium-lead dating is useful for dating igneous rocks from 1 million years to around 4.6 billion years old. Zircon crystals from Australia are 4.4 billion years old, among the oldest rocks on the planet.",dating igneous rocks from 1 million years to around 4.6 billion years old,Uranium-lead dating is useful
81,Using energy efficient light bulbs and appliances. Buying fewer things that are manufactured using fossil fuels. All these actions reduce the amount of energy that power plants need to produce.,Buying fewer things,that are manufactured using fossil fuels .
77,Solar and wind are still expensive relative to using fossil fuels. The technology needs to advance so that the price falls. Some areas get low amounts of sunlight and are not suited for solar.,The technology needs to advance,the price falls .
0,"Although the technology is ready, clean coal plants are more expensive to construct and operate. Also, heating the coal to high enough temperatures uses a great deal of energy, so the technology is not energy efficient. In addition, large amounts of the greenhouse gas CO2 are still released with clean coal technology.",", heating the coal to high enough temperatures uses a great deal of energy",the technology is not energy efficient .
68,Removing these oxides reduces the pollutants that cause acid rain. Particles are relatively easy to remove from emissions by using motion or electricity to separate particles from the gases. Scrubbers remove particles and waste gases from exhaust using liquids or neutralizing materials,using motion or electricity to separate particles from the gases,Particles are relatively easy to remove from emissions
29,"Breaking down pollutants before they are released into the atmosphere. Motor vehicles emit less pollution than they once did because of catalytic converters (Figure 1.1). Catalytic converters contain a catalyst that speeds up chemical reactions and breaks down nitrous oxides, carbon monoxide, and VOCs.",Motor vehicles emit less pollution than they once did,". Catalytic converters contain a catalyst that speeds up chemical reactions and breaks down nitrous oxides , carbon monoxide , and VOCs"
0,"Catalytic converters contain a catalyst that speeds up chemical reactions and breaks down nitrous oxides, carbon monoxide, and VOCs. Catalytic converters only work when they are hot, so a lot of exhaust escapes as the car is warming up. Catalytic converters are placed on mod- ern cars in the United States.",Catalytic converters only work when they are hot,a lot of exhaust escapes as the car is warming
0,"A plug-in hybrid is plugged into an electricity source when it is not in use, perhaps in a garage, to make sure that the battery is charged. Plug-in hybrids run for a longer time on electricity and so are less polluting than regular hybrids. Plug-in hybrids began to become available in 2010.",Plug-in hybrids run for a longer time on electricity,are less polluting than regular hybrids .
81,Plug-in hybrids began to become available in 2010. Developing new technologies that do not use fossil fuels. Fueling a car with something other than a liquid organic-based fuel is difficult.,Developing new technologies,that do not use fossil fuels .
14,Fuel cells are extremely efficient and they produce no pollutants. But developing fuel-cell technology has had many problems and no one knows when or if they will become practical. ,they will become practical .,But developing fuel-cell technology has had many problems and no one knows when or
79,"More hazardous substances are phased out more quickly. CFCs have been mostly phased out since 1995, although were used in developing nations until 2010. Some of the less hazardous substances will not be phased out until 2030.","1995 , although were used in developing nations until",CFCs have been mostly phased out
14,Ozone levels over North America decreased between 1974 and 2009. Models of the future predict what ozone levels would have been if CFCs were not being phased out. Warmer colors indicate more ozone.,CFCs were not being phased out .,Models of the future predict what ozone levels would have been
88,"Models of the future predict what ozone levels would have been if CFCs were not being phased out. Warmer colors indicate more ozone. Since CFCs take many years to reach the stratosphere and can survive there a long time before they break down, the ozone hole will probably continue to grow for some time before it begins to shrink.",Warmer colors,more ozone
78,"Warmer colors indicate more ozone. Since CFCs take many years to reach the stratosphere and can survive there a long time before they break down, the ozone hole will probably continue to grow for some time before it begins to shrink. The ozone layer will reach the same levels it had before 1980 around 2068 and 1950 levels in one or two centuries.",CFCs take many,the ozone hole will probably continue to grow for some
82,"Certainly no one today doubts that Earth orbits a star, the Sun. Photos taken from space, observations made by astronauts, and the fact that there has been so much successful space exploration that depends on understanding the structure of the solar system all confirm it. But in the early 17th century saying that Earth orbited the Sun rather than the reverse could get you tried for heresy, as it did Galileo.","Photos taken from space , observations made by astronauts , and the fact that there has been so much",depends on understanding the structure of the solar system all confirm it .
80,"Photos taken from space, observations made by astronauts, and the fact that there has been so much successful space exploration that depends on understanding the structure of the solar system all confirm it. But in the early 17th century saying that Earth orbited the Sun rather than the reverse could get you tried for heresy, as it did Galileo. Lets explore the evolution of the idea that Earth orbits the Sun.",it did Galileo .,the early 17th century saying that Earth orbited the Sun rather than the reverse could get you tried for heresy
78,"An outer sphere holds all the stars. Since the planets appear to move much faster than the stars, the Greeks placed them closer to Earth. The geocentric model explained why all the stars appear to rotate around Earth once per day.",the planets appear to move much faster than the stars,the Greeks placed them closer to Earth .
68,"One problem with the geocentric model is that some planets seem to move backwards (in retrograde) instead of in their usual forward motion around Earth. Around 150 A.D. the astronomer Ptolemy resolved this problem by using a system of circles to describe the motion of planets (Figure 1.1). In Ptolemys system, a planet moves in a small circle, called an epicycle.",using a system of circles to describe the motion of planets -LRB- Figure 1.1 -RRB-,the astronomer Ptolemy resolved this problem
82,"This circle moves around Earth in a larger circle, called a deferent. Ptolemys version of the geocentric model worked so well that it remained the accepted model of the universe for more than a thousand years. ",Ptolemys version of the geocentric model worked so well,it remained the accepted model of the universe for more than a thousand years .
82,"Rocks are made of minerals. The mineral grains in a rock may be so tiny that you can only see them with a microscope, or they may be as big as your fingernail or even your finger (Figure Rocks are identified primarily by the minerals they contain and by their texture.",The mineral grains in a rock may be so tiny,"you can only see them with a microscope , or they may be as big as your fingernail or even your finger"
80,"tiny or microscopic Magma erupted and cooled quickly Andesite As seen in Table 1.1, these two rocks have the same chemical composition and contain mostly the same minerals, but they do not have the same texture. Sample 1 has visible mineral grains, but Sample 2 has very tiny or invisible grains.","seen in Table 1.1 , these two rocks have the same chemical composition and contain mostly the same minerals , but they",Magma erupted and cooled quickly Andesite
88,"Sample 1 has visible mineral grains, but Sample 2 has very tiny or invisible grains. The two different textures indicate different histories. Sample 1 is a diorite, a rock that cooled slowly from magma (molten rock) underground.",The two different textures,different histories
76,"Sample 2 is an andesite, a rock that cooled rapidly from a very similar magma that erupted onto Earths surface. A few rocks are not made of minerals because the material they are made of does not fit the definition of a mineral. Coal, for example, is made of organic material, which is not a mineral.",the material they are made of does not fit the definition of a mineral .,A few rocks are not made of minerals
80,"Magma cools either underground or on the surface and hardens into an igneous rock. As the magma cools, different crystals form at different temperatures, undergoing crystallization. For example, the mineral olivine crystallizes out of magma at much higher temperatures than quartz.","the magma cools , different crystals form at different temperatures , undergoing crystallization .",Magma cools either underground or on the surface and hardens into an igneous rock .
59,Arrows connecting the rock types represent the processes that accomplish these changes. Rocks change as a result of natural processes that are taking place all the time. Most changes happen very slowly.,natural processes,Rocks change
17,"Metamorphism may change the mineral composition and the texture of the rock. For that reason, a metamorphic rock may have a new mineral composition and/or texture. ",Metamorphism may change the mineral composition and the texture of the rock,a metamorphic rock may have a new mineral composition and/or texture .
77,"Different places experience sunset and sunrise at different times and the amount of daylight and darkness also differs by location. Shadows are areas where an object obstructs a light source so that darkness takes on the form of the object. On Earth, a shadow can be cast by the Sun, Moon, or (rarely) Mercury or Venus.",Shadows are areas where an object obstructs a light source,darkness takes on the form of the object .
80,"This imaginary line is called an axis. Earth spins around its axis, just as a top spins around its spindle. This spinning movement is called Earths rotation.",a top spins around its spindle .,"Earth spins around its axis , just"
75,"An observer in space will see that Earth requires 23 hours, 59 minutes, and 4 seconds to make one complete rotation on its axis. But because Earth moves around the Sun at the same time that it is rotating, the planet must turn just a little bit more to reach the same place relative to the Sun. Hence the length of a day on Earth is actually 24 hours.",Earth moves around the Sun at the same time that it is rotating,the planet must turn just a little bit more to reach the same place relative to the Sun .
4,"But because Earth moves around the Sun at the same time that it is rotating, the planet must turn just a little bit more to reach the same place relative to the Sun. Hence the length of a day on Earth is actually 24 hours. At the Equator, the Earth rotates at a speed of about 1,700 km per hour, but at the poles the movement speed is nearly nothing.","But because Earth moves around the Sun at the same time that it is rotating , the planet must turn just a little bit more to reach the same place relative to the Sun",the length of a day on Earth is actually 24 hours .
68,"Waterborne disease caused by unsafe drinking water is the leading cause of death for children under the age of five in many nations and a cause of death and illness for many adults. About 88% of all diseases are caused by drinking unsafe water (Figure 1.1). Throughout the world, more than 14,000 people die every day from waterborne diseases, such as cholera, and many of the worlds hospital beds are occupied by patients suffering from a waterborne disease.",drinking unsafe water -LRB- Figure 1.1 -RRB-,About 88 % of all diseases are caused
76, The water that comes out of our faucets is safe because it has gone through a series of treatment and purification processes to remove contaminants. Those of us who are fortunate enough to always be able to get clean water from a tap in our home may have trouble imagining life in a country that cannot afford the technology to treat and purify water.,it has gone through a series of treatment and purification processes to remove contaminants .,The water that comes out of our faucets is safe
44,"Atlantis on the launch pad in 2006. Since 1981, the space shuttle has been the United States primary vehicle for carrying people and large equipment into space. ",carrying people and large equipment into space,"Since 1981 , the space shuttle has been the United States primary vehicle"
80,"The explosion creates pressure that forces the gases out of the rocket. As these gases rush out the end, the rocket moves in the opposite direction, as predicted by Newtons Third Law of Motion. The reaction force of the gases on the rocket pushes the rocket forward.","these gases rush out the end , the rocket moves in the opposite direction , as predicted by Newtons Third Law of Motion .",The explosion creates pressure that forces the gases out of the rocket .
76,"In 1659, the Dutch astronomer Christian Huygens realized that the features were rings (Figure 1.2). Saturns rings circle the planets equator and appear tilted because Saturn itself is tilted about 27 degrees. The rings do not touch the planet.",Saturn itself is tilted about 27 degrees .,Saturns rings circle the planets equator and appear tilted
76,"Saturns rings are made of particles of water and ice, with some dust and rocks (Figure 1.3). There are several gaps in the rings that scientists think have originated because the material was cleared out by the gravitational pull within the rings, or by the gravitational forces of Saturn and of moons outside the rings. The rings were likely formed by the breakup of one of Saturns moons or from material that never accreted into the planet when Saturn originally formed.","the material was cleared out by the gravitational pull within the rings , or by the gravitational forces of Saturn and of moons outside the rings .",There are several gaps in the rings that scientists think have originated
76,Titan is even larger than the planet Mercury. Scientists are interested in Titan because its atmosphere is similar to what Earths was like before life developed. Nitrogen is dominant and methane is the second most abundant gas.,its atmosphere is similar to what Earths was like before life developed .,Scientists are interested in Titan
80,Lakes of liquid methane (CH4 ) and ethane (C2 H6 ) are found on Titans surface. Although conditions are similar enough to those of early Earth for scientists to speculate that extremely A color-exaggerated mosaic of Saturn and its rings taken by Cassini as Saturn eclipses the Sun. A close-up of Saturns outer C ring show- ing areas with higher particle concentra- tion and gaps.,Saturn eclipses the Sun .,conditions are similar enough to those of early Earth for scientists to speculate that extremely A color-exaggerated mosaic of Saturn and its rings taken by Cassini
15,"Models help scientists understand, analyze, and make predictions about systems that would be impossible to study as a whole. If a scientist wants to understand how rising CO2 levels will affect climate, it will be easier to model a smaller portion of that system. For example, he may model how higher levels of CO2 affect plant growth and the effect that will have on climate.",a scientist wants to understand how rising CO2 levels will affect climate,it will be easier to model a smaller portion of that system .
79," How can scientists know if a model designed to predict the future is likely to be accurate, since it may not be possible to wait long enough to see if the prediction comes true? One way is to run the model using a time in the past as the starting point see if the model can accurately predict the present.",it may not be possible to wait long enough to see if the prediction comes true ?,is likely to be accurate
14," How can scientists know if a model designed to predict the future is likely to be accurate, since it may not be possible to wait long enough to see if the prediction comes true? One way is to run the model using a time in the past as the starting point see if the model can accurately predict the present.",the prediction comes true ?,it may not be possible to wait long enough to see
80,"How can scientists know if a model designed to predict the future is likely to be accurate, since it may not be possible to wait long enough to see if the prediction comes true? One way is to run the model using a time in the past as the starting point see if the model can accurately predict the present. A model that can successfully predict the present is more likely to be accurate when predicting the future.",the starting point see if the model can accurately predict the present .,One way is to run the model using a time in the past
14,"How can scientists know if a model designed to predict the future is likely to be accurate, since it may not be possible to wait long enough to see if the prediction comes true? One way is to run the model using a time in the past as the starting point see if the model can accurately predict the present. A model that can successfully predict the present is more likely to be accurate when predicting the future.",the model can accurately predict the present .,the starting point see
76,"A model that can successfully predict the present is more likely to be accurate when predicting the future. Many models are created on computers because only computers can handle and manipulate such enormous amounts of data. For example, climate models are very useful for trying to determine what types of changes we can expect as the composition of the atmosphere changes.",only computers can handle and manipulate such enormous amounts of data .,Many models are created on computers
78," Since models are simpler than real objects or systems, they have limitations. A model deals with only a portion of a system.",models are simpler than real objects or systems,they have
78,"The lava oozed up and forced the existing seafloor away from the rift in opposite directions. Since magnetite crystals point in the direction of the magnetic north pole as the lava cools, the different stripes of magnetic polarity revealed the different ages of the seafloor. The seafloor at the ridge is from the Brunhes normal; beyond that is basalt from the Matuyama reverse; and beyond that from the Gauss normal.",magnetite crystals point in the direction of the magnetic north pole as the lava cools,the different stripes of magnetic polarity revealed the different
80,"Hess called this idea seafloor spreading. As oceanic crust forms and spreads, moving away from the ridge crest, it pushes the continent away from the ridge axis. If the oceanic crust reaches a deep sea trench, it sinks into the trench and is lost into the mantle.","oceanic crust forms and spreads , moving away from the ridge crest , it pushes the continent away from the ridge axis .",Hess called this idea seafloor spreading .
15,"As oceanic crust forms and spreads, moving away from the ridge crest, it pushes the continent away from the ridge axis. If the oceanic crust reaches a deep sea trench, it sinks into the trench and is lost into the mantle. The oldest crust is coldest and lies deepest in the ocean because it is less buoyant than the hot new crust.",the oceanic crust reaches a deep sea trench,it sinks into the trench and is lost into the mantle .
76,"If the oceanic crust reaches a deep sea trench, it sinks into the trench and is lost into the mantle. The oldest crust is coldest and lies deepest in the ocean because it is less buoyant than the hot new crust. Hess could also use seafloor spreading to explain the flat topped guyots.",it is less buoyant than the hot new crust .,The oldest crust is coldest and lies deepest in the ocean
80,"He suggested that they were once active volcanoes that were exposed to erosion above sea level. As the seafloor they sat on moved away from the ridge, the crust on which they sat become less buoyant and the guyots moved deeper beneath sea level. ","the seafloor they sat on moved away from the ridge , the crust on which they sat become less buoyant and the guyots moved deeper beneath sea level .",He suggested that they were once active volcanoes that were exposed to erosion above sea level .
80,"The axis of rotation is pointed toward Polaris, the North Star. As the Earth orbits the Sun, the tilt of Earths axis stays lined up with the North Star.","the Earth orbits the Sun , the tilt of Earths","The axis of rotation is pointed toward Polaris , the North Star ."
0,"Solstice refers to the position of the Sun when it is closest to one of the poles. At summer solstice, June 21 or 22, Earths axis points toward the Sun and so the Sun is directly overhead at its furthest north point of the year, the Tropic of Cancer (23.5o N). During the summer, areas north of the Equator experience longer days and shorter nights.",", Earths axis points toward the Sun","the Sun is directly overhead at its furthest north point of the year , the Tropic of Cancer -LRB- 23.5 o N -RRB- ."
0,"In the Southern Hemi- sphere, the Sun is as far away as it will be and so it is their winter. Locations will have longer nights and shorter days.","In the Southern Hemi - sphere , the Sun is as far away as it will be",it is their winter .
77,"The tilt of Earths axis points away from the Sun (Figure 1.3). Light from the Sun is spread out over a larger area, so that area isnt heated as much. With fewer daylight hours in winter, there is also less time for the Sun to warm the area.","Light from the Sun is spread out over a larger area ,",area isnt heated as much .
80,Where does the salt in seawater come from? As water moves through rock and soil on land it picks up ions. This is the flip side of weathering.,water moves through rock and soil on land it picks up ions .,seawater come from ?
75,"Ocean water is composed of many sub- stances, many of them salts such as sodium, magnesium, and calcium chlo- ride. Because of the increased salinity, the wa- ter in the Dead Sea is very dense, it has such high salinity that people can easily float in it! ",of the increased,"the wa - ter in the Dead Sea is very dense , it has such high salinity that people can easily float in it !"
0," Remember that H2 O is a polar molecule, so it can dissolve many substances (Figure 1.1). Salts, sugars, acids, bases, and organic molecules can all dissolve in water.",Remember that H2 O is a polar molecule,it can dissolve many substances -LRB- Figure 1.1 -RRB- .
0,"One layer is deposited first, and another layer is deposited on top of it. So each layer is younger than the layer beneath it. When the sediments harden, the layers are preserved.","One layer is deposited first , and another layer is deposited on top of it",each layer is younger than the layer beneath it .
80,"Sedimentary rocks formed by the crystallization of chemical precipitates are called chemical sedimentary rocks. As discussed in the concepts on minerals, dissolved ions in fluids precipitate out of the fluid and settle out, just like the halite in Figure 1.1. The evaporite, halite, on a cobble from the Dead Sea, Israel.","discussed in the concepts on minerals , dissolved ions in fluids precipitate out of the fluid and settle out , just like the halite in Figure 1.1 .",Sedimentary rocks formed by the crystallization of chemical precipitates are called chemical sedimentary rocks .
80,"A rushing river on a steep slope might be able to carry boulders. As this stream slows down, it no longer has the energy to carry large sediments and will drop them. A slower moving stream will only carry smaller particles.","this stream slows down , it no longer has the energy to carry large sediments and will drop them .",A rushing river on a steep slope might be able to carry boulders .
68,Seismologists use seismic waves to learn about earthquakes and also to learn about the Earths interior. One ingenious way scientists learn about Earths interior is by looking at earthquake waves. Seismic waves travel outward in all directions from where the ground breaks and are picked up by seismographs around the world.,looking at earthquake waves,One ingenious way scientists learn about Earths interior is
44,Seismic waves travel outward in all directions from where the ground breaks and are picked up by seismographs around the world. Two types of seismic waves are most useful for learning about Earths interior. ,learning about Earths interior,Two types of seismic waves are most useful
67," By tracking seismic waves, scientists have learned what makes up the planets interior (Figure 1.4). P-waves slow down at the mantle core boundary, so we know the outer core is less rigid than the mantle.",tracking seismic waves,", scientists have learned what makes up the planets interior -LRB- Figure 1.4 -RRB- ."
0,"By tracking seismic waves, scientists have learned what makes up the planets interior (Figure 1.4). P-waves slow down at the mantle core boundary, so we know the outer core is less rigid than the mantle. S-waves disappear at the mantle core boundary, so we know the outer core is liquid.",P-waves slow down at the mantle core boundary,we know the outer core is less rigid than the mantle .
0,"P-waves slow down at the mantle core boundary, so we know the outer core is less rigid than the mantle. S-waves disappear at the mantle core boundary, so we know the outer core is liquid. ",S-waves disappear at the mantle core boundary,we know the outer core is liquid .
76," P-waves and S-waves are known as body waves because they move through the solid body of the Earth. P-waves travel through solids, liquids, and gases.",they move through the solid body of the Earth .,P-waves and S-waves are known as body waves
0,"They do not do as much damage as surface waves. P-waves (primary waves) are fastest, traveling at about 6 to 7 kilometers (about 4 miles) per second, so they arrive first at the seismometer. P-waves move in a compression/expansion type motion, squeezing and S-waves (secondary waves) are about half as fast as P-waves, traveling at about 3.5 km (2 miles) per second, and arrive second at seismographs.","P-waves -LRB- primary waves -RRB- are fastest , traveling at about 6 to 7 kilometers -LRB- about 4 miles -RRB- per second",they arrive first at the seismometer .
0,"This produces a change in shape for the Earth materials they move through. Only solids resist a change in shape, so S-waves are only able to propagate through solids. S-waves cannot travel through liquid.",Only solids resist a change in shape,S-waves are only able to propagate through solids .
78,"Without upwelling, nutrients are scarce and plankton populations decline. Since plankton form the base of the food web, fish cannot find food, and fish numbers decrease as well. All the animals that eat fish, including birds and humans, are affected by the decline in fish.",plankton form the base of the food web,"fish can not find food , and fish numbers decrease as well ."
67,"All the animals that eat fish, including birds and humans, are affected by the decline in fish. By altering atmospheric and oceanic circulation, El Nio events change global climate patterns. Some regions receive more than average rainfall, including the west coast of North and South America, the southern United States, and Western Europe.",altering atmospheric and oceanic circulation,", El Nio events change global climate patterns ."
