,context,question,answer,start_idx,end_idx
1864,"Metropolitan Kathmandu is divided into five sectors: the Central Sector, the East Sector, the North Sector, the City Core and the West Sector. For civic administration, the city is further divided into 35 administrative wards. The Council administers the Metropolitan area of Kathmandu city through its 177 elected representatives and 20 nominated members. It holds biannual meetings to review, process and approve the annual budget and make major policy decisions. The ward's profile documents for the 35 wards prepared by the Kathmandu Metropolitan Council is detailed and provides information for each ward on population, the structure and condition of houses, the type of roads, educational, health and financial institutions, entertainment facilities, parking space, security provisions, etc. It also includes lists of development projects completed, on-going and planned, along with informative data about the cultural heritage, festivals, historical sites and the local inhabitants. Ward 16 is the largest, with an area of 437.4 ha; ward 26 is the smallest, with an area of 4 ha.",What is the purpose of Kathmandu being divided into 35 wards?,civic administration,147,167
18,"Office buildings in Shanghai's financial district, including the Jin Mao Tower and the Hong Kong New World Tower, were evacuated. A receptionist at the Tibet Hotel in Chengdu said things were ""calm"" after the hotel evacuated its guests. Meanwhile, workers at a Ford plant in Sichuan were evacuated for about 10 minutes. Chengdu Shuangliu International Airport was shut down, and the control tower and regional radar control evacuated. One SilkAir flight was diverted and landed in Kunming as a result. Cathay Pacific delayed both legs of its quadruple daily Hong Kong to London route due to this disruption in air traffic services. Chengdu Shuangliu Airport reopened later on the evening of May 12, offering limited service as the airport began to be used as a staging area for relief operations.",Why were flights delayed and diverted?,disruption in air traffic services,596,630
423,"One of the most important developments that the Enlightenment era brought to the discipline of science was its popularization. An increasingly literate population seeking knowledge and education in both the arts and the sciences drove the expansion of print culture and the dissemination of scientific learning. The new literate population was due to a high rise in the availability of food. This enabled many people to rise out of poverty, and instead of paying more for food, they had money for education. Popularization was generally part of an overarching Enlightenment ideal that endeavoured ""to make information available to the greatest number of people."" As public interest in natural philosophy grew during the 18th century, public lecture courses and the publication of popular texts opened up new roads to money and fame for amateurs and scientists who remained on the periphery of universities and academies. More formal works included explanations of scientific theories for individuals lacking the educational background to comprehend the original scientific text. Sir Isaac Newton's celebrated Philosophiae Naturalis Principia Mathematica was published in Latin and remained inaccessible to readers without education in the classics until Enlightenment writers began to translate and analyze the text in the vernacular.",What caused an increasingly literate population to develop in the Enlightenment era?,a high rise in the availability of food,351,390
1537,"The Premier League sells its television rights on a collective basis. This is in contrast to some other European Leagues, including La Liga, in which each club sells its rights individually, leading to a much higher share of the total income going to the top few clubs. The money is divided into three parts: half is divided equally between the clubs; one quarter is awarded on a merit basis based on final league position, the top club getting twenty times as much as the bottom club, and equal steps all the way down the table; the final quarter is paid out as facilities fees for games that are shown on television, with the top clubs generally receiving the largest shares of this. The income from overseas rights is divided equally between the twenty clubs.",What happens when European Leagues sell their televsion rights individually?,a much higher share of the total income going to the top few clubs,202,268
285,"The basic ingredients of beer are water; a starch source, such as malted barley, able to be saccharified (converted to sugars) then fermented (converted into ethanol and carbon dioxide); a brewer's yeast to produce the fermentation; and a flavouring such as hops. A mixture of starch sources may be used, with a secondary starch source, such as maize (corn), rice or sugar, often being termed an adjunct, especially when used as a lower-cost substitute for malted barley. Less widely used starch sources include millet, sorghum and cassava root in Africa, and potato in Brazil, and agave in Mexico, among others. The amount of each starch source in a beer recipe is collectively called the grain bill.",What causes fermentation during the brewing process when making a beer?,yeast,198,203
1483,"Efficiency of a transmitting antenna is the ratio of power actually radiated (in all directions) to the power absorbed by the antenna terminals. The power supplied to the antenna terminals which is not radiated is converted into heat. This is usually through loss resistance in the antenna's conductors, but can also be due to dielectric or magnetic core losses in antennas (or antenna systems) using such components. Such loss effectively robs power from the transmitter, requiring a stronger transmitter in order to transmit a signal of a given strength.",What happens to the power that is not absorbed by the antenna?,heat,229,233
428,"His biography of Anthony the Great entitled Life of Antony(Βίος καὶ Πολιτεία Πατρὸς Ἀντωνίου, Vita Antonii) became his most widely-read work. Translated into several languages, it played an important role in the spreading of the ascetic ideal in Eastern and Western Christianity. Depicting Anthony as an illiterate and holy man who through his existence in a primordial landscape has an absolute connection to the divine truth, the biography also resembles the life of his biographer Athanasius. It later served as an inspiration to Christian monastics in both the East and the West. The so-called Athanasian Creed dates from well after Athanasius's death and draws upon the phraseology of Augustine's De trinitate.",Why was this work considered to be important?,spreading of the ascetic ideal in Eastern and Western Christianity,212,278
1781,"Soviet Premier Nikita Khrushchev announced that a ""spy-plane"" had been shot down but intentionally made no reference to the pilot. As a result, the Eisenhower Administration, thinking the pilot had died in the crash, authorized the release of a cover story claiming that the plane was a ""weather research aircraft"" which had unintentionally strayed into Soviet airspace after the pilot had radioed ""difficulties with his oxygen equipment"" while flying over Turkey. The Soviets put Captain Powers on trial and displayed parts of the U-2, which had been recovered almost fully intact.",What happened to Powers in the Soviet Union?,trial,499,504
1239,"Proper nutrition is important for health and functioning, including the prevention of infectious diarrhea. It is especially important to young children who do not have a fully developed immune system. Zinc deficiency, a condition often found in children in developing countries can, even in mild cases, have a significant impact on the development and proper functioning of the human immune system. Indeed, this relationship between zinc deficiency reduced immune functioning corresponds with an increased severity of infectious diarrhea. Children who have lowered levels of zinc have a greater number of instances of diarrhea, severe diarrhea, and diarrhea associated with fever. Similarly, vitamin A deficiency can cause an increase in the severity of diarrheal episodes, however there is some discrepancy when it comes to the impact of vitamin A deficiency on the rate of disease. While some argue that a relationship does not exist between the rate of disease and vitamin A status, others suggest an increase in the rate associated with deficiency. Given that estimates suggest 127 million preschool children worldwide are vitamin A deficient, this population has the potential for increased risk of disease contraction.",Why is proper nutrition important?,"for health and functioning, including the prevention of infectious diarrhea",30,105
31,"Deciduous trees and plants have been promoted as a means of controlling solar heating and cooling. When planted on the southern side of a building in the northern hemisphere or the northern side in the southern hemisphere, their leaves provide shade during the summer, while the bare limbs allow light to pass during the winter. Since bare, leafless trees shade 1/3 to 1/2 of incident solar radiation, there is a balance between the benefits of summer shading and the corresponding loss of winter heating. In climates with significant heating loads, deciduous trees should not be planted on the Equator facing side of a building because they will interfere with winter solar availability. They can, however, be used on the east and west sides to provide a degree of summer shading without appreciably affecting winter solar gain.",Why should trees not be planted on the side of a building facing the equator?,they will interfere with winter solar availability,637,687
824,"From the middle of the 3rd century Germanic tribes regularly invaded the Roman territories. Around 275 the Romans could no longer maintain the northern border and Utrecht was abandoned. Little is known about the next period 270–650. Utrecht is first spoken of again several centuries after the Romans left. Under the influence of the growing realms of the Franks, during Dagobert I's reign in the 7th century, a church was built within the walls of the Roman fortress. In ongoing border conflicts with the Frisians this first church was destroyed.",What happens between 275 and 650,Little is known about the next period 270–650.,186,232
1573,"During World War II, San Diego became a major hub of military and defense activity, due to the presence of so many military installations and defense manufacturers. The city's population grew rapidly during and after World War II, more than doubling between 1930 (147,995) and 1950 (333,865). During the final months of the war, the Japanese had a plan to target multiple U.S. cities for biological attack, starting with San Diego. The plan was called ""Operation Cherry Blossoms at Night"" and called for kamikaze planes filled with fleas infected with plague (Yersinia pestis) to crash into civilian population centers in the city, hoping to spread plague in the city and effectively kill tens of thousands of civilians. The plan was scheduled to launch on September 22, 1945, but was not carried out because Japan surrendered five weeks earlier.","Why didn't the Japanese launch their planned attack on September 22, 1945?",Japan surrendered five weeks earlier,809,845
214,"Civil strife in the early 1990s greatly increased the size of the Somali diaspora, as many of the best educated Somalis left for the Middle East, Europe and North America. In Canada, the cities of Toronto, Ottawa, Calgary, Edmonton, Montreal, Vancouver, Winnipeg and Hamilton all harbor Somali populations. Statistics Canada's 2006 census ranks people of Somali descent as the 69th largest ethnic group in Canada.",What led to an increase in the number of Somalis leaving the country?,Civil strife,0,12
1253,"From the American Civil War until the mid-20th century, Philadelphia was a bastion of the Republican Party, which arose from the staunch pro-Northern views of Philadelphia residents during and after the war (Philadelphia was chosen as the host city for the first Republican National Convention in 1856). After the Great Depression, Democratic registrations increased, but the city was not carried by Democrat Franklin D. Roosevelt in his landslide victory of 1932 (in which Pennsylvania was one of the few states won by Republican Herbert Hoover). Four years later, however, voter turnout surged and the city finally flipped to the Democrats. Roosevelt carried Philadelphia with over 60% of the vote in 1936. The city has remained loyally Democratic in every presidential election since. It is now one of the most Democratic in the country; in 2008, Democrat Barack Obama drew 83% of the city's vote. Obama's win was even greater in 2012, capturing 85% of the vote.",What happened in Philadelphia in 1856?,Philadelphia was chosen as the host city for the first Republican National Convention in 1856,208,301
326,"When a Teletype 33 ASR equipped with the automatic paper tape reader received a Control-S (XOFF, an abbreviation for transmit off), it caused the tape reader to stop; receiving Control-Q (XON, ""transmit on"") caused the tape reader to resume. This technique became adopted by several early computer operating systems as a ""handshaking"" signal warning a sender to stop transmission because of impending overflow; it persists to this day in many systems as a manual output control technique. On some systems Control-S retains its meaning but Control-Q is replaced by a second Control-S to resume output. The 33 ASR also could be configured to employ Control-R (DC2) and Control-T (DC4) to start and stop the tape punch; on some units equipped with this function, the corresponding control character lettering on the keycap above the letter was TAPE and TAPE respectively.",What caused the automatic paper tape reader to start again?,Control-Q,177,186
560,"Caray had lively discussions with commentator Steve Stone, who was hand-picked by Harry himself, and producer Arne Harris. Caray often playfully quarreled with Stone over Stone's cigar and why Stone was single, while Stone would counter with poking fun at Harry being ""under the influence."" Stone disclosed in his book ""Where's Harry"" that most of this ""arguing"" was staged, and usually a ploy developed by Harry himself to add flavor to the broadcast. The Cubs still have a ""guest conductor"", usually a celebrity, lead the crowd in singing ""Take me out to the ballgame"" during the 7th inning stretch to honor Caray's memory.",Why did Caray often playfully quarrel with Stone?,over Stone's cigar,166,184
1040,"In 1937, Nasser applied to the Royal Military Academy for army officer training, but his police record of anti-government protest initially blocked his entry. Disappointed, he enrolled in the law school at King Fuad University, but quit after one semester to reapply to the Military Academy. From his readings, Nasser, who frequently spoke of ""dignity, glory, and freedom"" in his youth, became enchanted with the stories of national liberators and heroic conquerors; a military career became his chief priority.",Why was Nasser rejected from the Academy?,record of anti-government protest,96,129
1491,"In 1899, the university opened a national design contest for the new campus. The renowned Philadelphia firm Cope & Stewardson won unanimously with its plan for a row of Collegiate Gothic quadrangles inspired by Oxford and Cambridge Universities. The cornerstone of the first building, Busch Hall, was laid on October 20, 1900. The construction of Brookings Hall, Ridgley, and Cupples began shortly thereafter. The school delayed occupying these buildings until 1905 to accommodate the 1904 World's Fair and Olympics. The delay allowed the university to construct ten buildings instead of the seven originally planned. This original cluster of buildings set a precedent for the development of the Danforth Campus; Cope & Stewardson’s original plan and its choice of building materials have, with few exceptions, guided the construction and expansion of the Danforth Campus to the present day.",Why did Washington University delay occupying of the new campus buildings until 1905?,to accommodate the 1904 World's Fair and Olympics,466,515
1113,The use of drones by the Central Intelligence Agency in Pakistan to carry out operations associated with the Global War on Terror sparks debate over sovereignty and the laws of war. The U.S. Government uses the CIA rather than the U.S. Air Force for strikes in Pakistan in order to avoid breaching sovereignty through military invasion. The United States was criticized by[according to whom?] a report on drone warfare and aerial sovereignty for abusing the term 'Global War on Terror' to carry out military operations through government agencies without formally declaring war.,Why did the US use the CIA instead of the Air Force to run drones?,to avoid breaching sovereignty through military invasion,279,335
341,"Other animals, such as rabbits and rodents, practise coprophagia behaviours - eating specialised faeces in order to re-digest food, especially in the case of roughage. Capybara, rabbits, hamsters and other related species do not have a complex digestive system as do, for example, ruminants. Instead they extract more nutrition from grass by giving their food a second pass through the gut. Soft faecal pellets of partially digested food are excreted and generally consumed immediately. They also produce normal droppings, which are not eaten.",What happens with these soft feacal pellets?,excreted and generally consumed immediately,442,485
629,"On Thursday, September 19, 1985, at 7:19 am local time, Mexico City was struck by an earthquake of magnitude 8.1 on the Richter scale. Although this earthquake was not as deadly or destructive as many similar events in Asia and other parts of Latin America, it proved to be a disaster politically for the one-party government. The government was paralyzed by its own bureaucracy and corruption, forcing ordinary citizens to create and direct their own rescue efforts and to reconstruct much of the housing that was lost as well.",Why did the one-party government struggle after the major earthquake in 1985?,paralyzed by its own bureaucracy and corruption,346,393
147,"The classification of speech varieties as dialects or languages and their relationship to other varieties of speech can be controversial and the verdicts inconsistent. English and Serbo-Croatian illustrate the point. English and Serbo-Croatian each have two major variants (British and American English, and Serbian and Croatian, respectively), along with numerous other varieties. For political reasons, analyzing these varieties as ""languages"" or ""dialects"" yields inconsistent results: British and American English, spoken by close political and military allies, are almost universally regarded as dialects of a single language, whereas the standard languages of Serbia and Croatia, which differ from each other to a similar extent as the dialects of English, are being treated by some linguists from the region as distinct languages, largely because the two countries oscillate from being brotherly to being bitter enemies. (The Serbo-Croatian language article deals with this topic much more fully.)",Why are Serbian and Croatian often treated like distinct languages?,the two countries oscillate from being brotherly to being bitter enemies,854,926
360,"Despite its domestic focus, the FBI also maintains a significant international footprint, operating 60 Legal Attache (LEGAT) offices and 15 sub-offices in U.S. embassies and consulates across the globe. These overseas offices exist primarily for the purpose of coordination with foreign security services and do not usually conduct unilateral operations in the host countries. The FBI can and does at times carry out secret activities overseas, just as the CIA has a limited domestic function; these activities generally require coordination across government agencies.",Why does the FBI operate LEGAT offices?,coordination with foreign security services,261,304
83,"Light pollution is a growing problem in reaction to excess light being given off by numerous signs, houses, and buildings. Polluting light is often wasted light involving unnecessary energy costs and carbon dioxide emissions. Light pollution is described as artificial light that is excessive or intrudes where it is not wanted. Well-designed lighting sends light only where it is needed without scattering it elsewhere. Poorly designed lighting can also compromise safety. For example, glare creates safety issues around buildings by causing very sharp shadows, temporarily blinding passersby making them vulnerable to would-be assailants.",What causes sharp shadows around buildings? ,glare,487,492
48,"Myers spoke next and continued to read the script. Once it was West's turn to speak again, he said, ""George Bush doesn't care about black people."" At this point, telethon producer Rick Kaplan cut off the microphone and then cut away to Chris Tucker, who was unaware of the cut for a few seconds. Still, West's comment reached much of the United States.",What happened after Kanye made his controversial statement?,Rick Kaplan cut off the microphone and then cut away to Chris Tucker,180,248
468,"In the U.S., a push for revisions of the FD&C Act emerged from Congressional hearings led by Senator Estes Kefauver of Tennessee in 1959. The hearings covered a wide range of policy issues, including advertising abuses, questionable efficacy of drugs, and the need for greater regulation of the industry. While momentum for new legislation temporarily flagged under extended debate, a new tragedy emerged that underscored the need for more comprehensive regulation and provided the driving force for the passage of new laws.",What caused a need for more regulation?,a new tragedy emerged,383,404
155,"The modernist views hold that classical music is considered primarily a written musical tradition, preserved in music notation, as opposed to being transmitted orally, by rote, or by recordings of particular performances.[citation needed] While there are differences between particular performances of a classical work, a piece of classical music is generally held to transcend any interpretation of it. The use of musical notation is an effective method for transmitting classical music, since the written music contains the technical instructions for performing the work.",Why is written musical notation effective? ,contains the technical instructions for performing the work,513,572
1330,"Gaddafi organized demonstrations and distributed posters criticizing the monarchy. In October 1961, he led a demonstration protesting Syria's secession from the United Arab Republic. During this they broke windows of a local hotel accused of serving alcohol. Catching the authorities' attention, they expelled his family from Sabha. Gaddafi moved to Misrata, there attending Misrata Secondary School. Maintaining his interest in Arab nationalist activism, he refused to join any of the banned political parties active in the city – including the Arab Nationalist Movement, the Arab Socialist Ba'ath Party, and the Muslim Brotherhood – claiming he rejected factionalism. He read voraciously on the subjects of Nasser and the French Revolution of 1789, as well as the works of Syrian political theorist Michel Aflaq and biographies of Abraham Lincoln, Sun Yat-sen, and Mustafa Kemal Atatürk.",Why did Gaddafi's family have to leave Sabha?,he led a demonstration protesting Syria's secession from the United Arab Republic. During this they broke windows of a local hotel accused of serving alcohol.,100,258
1502,"The 1980s ushered in the age of desktop computing. The new computers empowered their users with spreadsheets like Lotus 1-2-3 and database software like dBASE. The dBASE product was lightweight and easy for any computer user to understand out of the box. C. Wayne Ratliff the creator of dBASE stated: ""dBASE was different from programs like BASIC, C, FORTRAN, and COBOL in that a lot of the dirty work had already been done. The data manipulation is done by dBASE instead of by the user, so the user can concentrate on what he is doing, rather than having to mess with the dirty details of opening, reading, and closing files, and managing space allocation."" dBASE was one of the top selling software titles in the 1980s and early 1990s.",Why was dBASE successful?,lightweight and easy for any computer user to understand out of the box,182,253
1125,"Another Alaskan transportation method is the dogsled. In modern times (that is, any time after the mid-late 1920s), dog mushing is more of a sport than a true means of transportation. Various races are held around the state, but the best known is the Iditarod Trail Sled Dog Race, a 1,150-mile (1,850 km) trail from Anchorage to Nome (although the distance varies from year to year, the official distance is set at 1,049 miles or 1,688 km). The race commemorates the famous 1925 serum run to Nome in which mushers and dogs like Togo and Balto took much-needed medicine to the diphtheria-stricken community of Nome when all other means of transportation had failed. Mushers from all over the world come to Anchorage each March to compete for cash, prizes, and prestige. The ""Serum Run"" is another sled dog race that more accurately follows the route of the famous 1925 relay, leaving from the community of Nenana (southwest of Fairbanks) to Nome.",Why were sled-dogs used to deliver medicine to Nome in 1925?,all other means of transportation had failed,619,663
1525,"Despite significant European success during the 1970s and early 1980s, the late '80s had marked a low point for English football. Stadiums were crumbling, supporters endured poor facilities, hooliganism was rife, and English clubs were banned from European competition for five years following the Heysel Stadium disaster in 1985. The Football League First Division, which had been the top level of English football since 1888, was well behind leagues such as Italy's Serie A and Spain's La Liga in attendances and revenues, and several top English players had moved abroad.",Why were the English clubs banned from European competition in the 1980's?,English clubs were banned from European competition for five years following the Heysel Stadium disaster in 1985.,217,330
500,"On 29 May 1842, Victoria was riding in a carriage along The Mall, London, when John Francis aimed a pistol at her but the gun did not fire; he escaped. The following day, Victoria drove the same route, though faster and with a greater escort, in a deliberate attempt to provoke Francis to take a second aim and catch him in the act. As expected, Francis shot at her, but he was seized by plain-clothes policemen, and convicted of high treason. On 3 July, two days after Francis's death sentence was commuted to transportation for life, John William Bean also tried to fire a pistol at the Queen, but it was loaded only with paper and tobacco and had too little charge. Edward Oxford felt that the attempts were encouraged by his acquittal in 1840. Bean was sentenced to 18 months in jail. In a similar attack in 1849, unemployed Irishman William Hamilton fired a powder-filled pistol at Victoria's carriage as it passed along Constitution Hill, London. In 1850, the Queen did sustain injury when she was assaulted by a possibly insane ex-army officer, Robert Pate. As Victoria was riding in a carriage, Pate struck her with his cane, crushing her bonnet and bruising her forehead. Both Hamilton and Pate were sentenced to seven years' transportation.",What happened to Francis after his attempt to shoot Victoria?,he escaped,140,150
179,"According to geologist Stefan Schmid, because the Western Alps underwent a metamorphic event in the Cenozoic Era while the Austroalpine peaks underwent an event in the Cretaceous Period, the two areas show distinct differences in nappe formations. Flysch deposits in the Southern Alps of Lombardy probably occurred in the Cretaceous or later.",What happened to the Western Alps during the Cenozoic Era,a metamorphic event,73,92
1217,"There are strict limits to how efficiently heat can be converted into work in a cyclic process, e.g. in a heat engine, as described by Carnot's theorem and the second law of thermodynamics. However, some energy transformations can be quite efficient. The direction of transformations in energy (what kind of energy is transformed to what other kind) is often determined by entropy (equal energy spread among all available degrees of freedom) considerations. In practice all energy transformations are permitted on a small scale, but certain larger transformations are not permitted because it is statistically unlikely that energy or matter will randomly move into more concentrated forms or smaller spaces.",Why are certain larger transformations not permitted?,because it is statistically unlikely that energy or matter will randomly move into more concentrated forms or smaller spaces,582,706
900,"There were even Verdingkinder auctions where children were handed over to the farmer asking the least amount of money from the authorities, thus securing cheap labour for his farm and relieving the authority from the financial burden of looking after the children. In the 1930s 20% of all agricultural labourers in the Canton of Bern were children below the age of 15. Swiss municipality guardianship authorities acted so, commonly tolerated by federal authorities, to the 1960s, not all of them of course, but usually communities affected of low taxes in some Swiss cantons Swiss historian Marco Leuenberger investigated, that in 1930 there were some 35,000 indentured children, and between 1920 and 1970 more than 100,000 are believed to have been placed with families or homes. 10,000 Verdingkinder are still alive. Therefore, the so-called Wiedergutmachungsinitiative was started in April 2014. In April 2014 the collection of targeted at least authenticated 100,000 signatures of Swiss citizens has started, and still have to be collected to October 2015.",What happened at Verdingkinder auctions?,children were handed over to the farmer asking the least amount of money,45,117
692,"As federal judge Alex Kozinski has pointed out, binding precedent as we know it today simply did not exist at the time the Constitution was framed. Judicial decisions were not consistently, accurately, and faithfully reported on both sides of the Atlantic (reporters often simply rewrote or failed to publish decisions which they disliked), and the United Kingdom lacked a coherent court hierarchy prior to the end of the 19th century. Furthermore, English judges in the eighteenth century subscribed to now-obsolete natural law theories of law, by which law was believed to have an existence independent of what individual judges said. Judges saw themselves as merely declaring the law which had always theoretically existed, and not as making the law. Therefore, a judge could reject another judge's opinion as simply an incorrect statement of the law, in the way that scientists regularly reject each other's conclusions as incorrect statements of the laws of science.",Why could one judge reject another judges opinion?,"saw themselves as merely declaring the law which had always theoretically existed, and not as making the law",644,752
772,"Nicholas felt that, because of Russian assistance in suppressing the Hungarian revolution of 1848, Austria would side with him, or at the very least remain neutral. Austria, however, felt threatened by the Russian troops in the Balkans. On 27 February 1854, the United Kingdom and France demanded the withdrawal of Russian forces from the principalities; Austria supported them and, though it did not declare war on Russia, it refused to guarantee its neutrality. Russia's rejection of the ultimatum caused the UK and France to enter the war.",Why did the U.K and France get involved with the war against the Russia?,Russia's rejection of the ultimatum,464,499
1516,"Gram-positive bacteria possess a thick cell wall containing many layers of peptidoglycan and teichoic acids. In contrast, gram-negative bacteria have a relatively thin cell wall consisting of a few layers of peptidoglycan surrounded by a second lipid membrane containing lipopolysaccharides and lipoproteins. Lipopolysaccharides, also called endotoxins, are composed of polysaccharides and lipid A that is responsible for much of the toxicity of gram-negative bacteria. Most bacteria have the gram-negative cell wall, and only the Firmicutes and Actinobacteria have the alternative gram-positive arrangement. These two groups were previously known as the low G+C and high G+C Gram-positive bacteria, respectively. These differences in structure can produce differences in antibiotic susceptibility; for instance, vancomycin can kill only gram-positive bacteria and is ineffective against gram-negative pathogens, such as Haemophilus influenzae or Pseudomonas aeruginosa. If the bacterial cell wall is entirely removed, it is called a protoplast, whereas if it is partially removed, it is called a spheroplast. β-Lactam antibiotics, such as penicillin, inhibit the formation of peptidoglycan cross-links in the bacterial cell wall. The enzyme lysozyme, found in human tears, also digests the cell wall of bacteria and is the body's main defense against eye infections.",Why gram-negative cell bacteria is more toxic than gram-positive bacteria?,polysaccharides and lipid A,370,397
528,"Melinda Gates has stated that the foundation ""has decided not to fund abortion"". In response to questions about this decision, Gates stated in a June 2014 blog post that she ""struggle[s] with the issue"" and that ""the emotional and personal debate about abortion is threatening to get in the way of the lifesaving consensus regarding basic family planning"". Up to 2013, the Bill & Melinda Gates Foundation provided $71 million to Planned Parenthood, the primary U.S. abortion provider, and affiliated organizations.",WHy did they decide not to fund abortion,the emotional and personal debate about abortion is threatening to get in the way of the lifesaving consensus regarding basic family planning,213,354
346,"Digestion of some fats can begin in the mouth where lingual lipase breaks down some short chain lipids into diglycerides. However fats are mainly digested in the small intestine. The presence of fat in the small intestine produces hormones that stimulate the release of pancreatic lipase from the pancreas and bile from the liver which helps in the emulsification of fats for absorption of fatty acids. Complete digestion of one molecule of fat (a triglyceride) results a mixture of fatty acids, mono- and di-glycerides, as well as some undigested triglycerides, but no free glycerol molecules.",What happens when there is a presence of fat in the small intestine?,produces hormones that stimulate the release of pancreatic lipase from the pancreas and bile from the liver,222,329
1292,"In 1756 Austria was making military preparations for war with Prussia and pursuing an alliance with Russia for this purpose. On June 2, 1746, Austria and Russia concluded a defensive alliance that covered their own territory and Poland against attack by Prussia or the Ottoman Empire. They also agreed to a secret clause that promised the restoration of Silesia and the countship of Glatz (now Kłodzko, Poland) to Austria in the event of hostilities with Prussia. Their real desire, however, was to destroy Frederick’s power altogether, reducing his sway to his electorate of Brandenburg and giving East Prussia to Poland, an exchange that would be accompanied by the cession of the Polish Duchy of Courland to Russia. Aleksey Petrovich, Graf (count) Bestuzhev-Ryumin, grand chancellor of Russia under Empress Elizabeth, was hostile to both France and Prussia, but he could not persuade Austrian statesman Wenzel Anton von Kaunitz to commit to offensive designs against Prussia so long as Prussia was able to rely on French support.",Why couldn't Petrovich persuade Austria to invade Prussia?,he could not persuade Austrian statesman Wenzel Anton von Kaunitz to commit to offensive designs against Prussia,865,977
1826,"The rise of Hitler and other dictators in the 1930s forced numerous Catholic intellectuals to flee Europe; president John O'Hara brought many to Notre Dame. From Germany came Anton-Hermann Chroust (1907–1982) in classics and law, and Waldemar Gurian a German Catholic intellectual of Jewish descent. Positivism dominated American intellectual life in the 1920s onward but in marked contrast, Gurian received a German Catholic education and wrote his doctoral dissertation under Max Scheler. Ivan Meštrović (1883–1962), a renowned sculptor, brought Croatian culture to campus, 1955–62. Yves Simon (1903–61), brought to ND in the 1940s the insights of French studies in the Aristotelian-Thomistic tradition of philosophy; his own teacher Jacques Maritain (1882–73) was a frequent visitor to campus.",What caused many intellectual Catholics to leave europe in the 1930s?,The rise of Hitler and other dictators,0,38
715,"Despite being a persistent critic of some of the government's policies, the paper supported Labour in both subsequent elections the party won. For the 2005 general election, The Sun backed Blair and Labour for a third consecutive election win and vowed to give him ""one last chance"" to fulfil his promises, despite berating him for several weaknesses including a failure to control immigration. However, it did speak of its hope that the Conservatives (led by Michael Howard) would one day be fit for a return to government. This election (Blair had declared it would be his last as prime minister) resulted in Labour's third successive win but with a much reduced majority.",What was the result of the 2005 election?,Labour's third successive win,611,640
1052,"José Manuel González-Páramo, a Spanish member of the Executive Board since June 2004, was due to leave the board in early June 2012 and no replacement had been named as of late May 2012. The Spanish had nominated Barcelona-born Antonio Sáinz de Vicuña, an ECB veteran who heads its legal department, as González-Páramo's replacement as early as January 2012 but alternatives from Luxembourg, Finland, and Slovenia were put forward and no decision made by May. After a long political battle, Luxembourg's Yves Mersch, was appointed as González-Páramo's replacement.",Why did the Spanish think that Vicuña would be a suitable replacement for González-Páramo?,ECB veteran who heads its legal department,256,298
886,"As in much of Europe, the prosperity of Alsace came to an end in the 14th century by a series of harsh winters, bad harvests, and the Black Death. These hardships were blamed on Jews, leading to the pogroms of 1336 and 1339. In 1349, Jews of Alsace were accused of poisoning the wells with plague, leading to the massacre of thousands of Jews during the Strasbourg pogrom. Jews were subsequently forbidden to settle in the town. An additional natural disaster was the Rhine rift earthquake of 1356, one of Europe's worst which made ruins of Basel. Prosperity returned to Alsace under Habsburg administration during the Renaissance.",Why did Alsace decline has a prospering territory?,"harsh winters, bad harvests, and the Black Death",97,145
601,"In response, Shell filed lawsuits to seek injunctions from possible protests, and Benjamin Jealous of the NAACP and Radford argued that the legal action was ""trampling American's rights."" According to Greenpeace, Shell lodged a request with Google to ban video footage of a Greenpeace protest action that occurred at the Shell-sponsored Formula One (F1) Belgian Grand Prix on 25 August 2013, in which ""SaveTheArctic.org"" banners appear at the winners' podium ceremony. In the video, the banners rise up automatically—activists controlled their appearance with the use of four radio car antennas—revealing the website URL, alongside an image that consists of half of a polar bear's head and half of the Shell logo.",Why did Shell file lawsuits?,to seek injunctions from possible protests,34,76
949,"Maas comments further that ""A dictation revised by the author must be regarded as equivalent to an autograph manuscript"". The lack of autograph manuscripts applies to many cultures other than Greek and Roman. In such a situation, a key objective becomes the identification of the first exemplar before any split in the tradition. That exemplar is known as the archetype. ""If we succeed in establishing the text of [the archetype], the constitutio (reconstruction of the original) is considerably advanced.",Why is finding the first exemplar important in textual criticism?,split in the tradition,306,328
243,"In polygynous species with considerable sexual dimorphism, males tend to return earlier to the breeding sites than their females. This is termed protandry.",Why do males in polygynous species return before the females?,sexual dimorphism,40,57
785,"A literary technique or literary device can be used by authors in order to enhance the written framework of a piece of literature, and produce specific effects. Literary techniques encompass a wide range of approaches to crafting a work: whether a work is narrated in first-person or from another perspective, whether to use a traditional linear narrative or a nonlinear narrative, or the choice of literary genre, are all examples of literary technique. They may indicate to a reader that there is a familiar structure and presentation to a work, such as a conventional murder-mystery novel; or, the author may choose to experiment with their technique to surprise the reader.",Why would an author utilize experimental narratives in literature?,to surprise the reader,654,676
