,Unnamed: 0,context,answer,question,start_idx,end_idx,predicted_answer,score
91,91,"This represented 24% of national agricultural production total gross value. As of 2004, an estimated 32,463 farms occupied around 136,000 square kilometres (52,500 sq mi) of Victorian land. This comprises more than 60% of the state 's total land surface.","an estimated 32,463 farms occupied around 136,000 square kilometres (52,500 sq mi) of Victorian land","how many farms were in victoria in 2004 ?
",88,187,"32 , 463",0.0
92,92,"Huguenot numbers peaked near an estimated two million by 1562, concentrated mainly in the southern and central parts of France, about one-eighth the number of French Catholics. As Huguenots gained influence and more openly displayed their faith, Catholic hostility grew, in spite of increasingly liberal political concessions and edicts of toleration from the French crown. A series of religious conflicts followed, known as the Wars of Religion, fought intermittently from 1562 to 1598.",Huguenots gained influence and more openly displayed their faith,"why did catholic hostility grow ?
",180,243,as huguenots gained influence and more openly displayed their faith,0.9473684210526316
93,93,"Huguenot numbers peaked near an estimated two million by 1562, concentrated mainly in the southern and central parts of France, about one-eighth the number of French Catholics. As Huguenots gained influence and more openly displayed their faith, Catholic hostility grew, in spite of increasingly liberal political concessions and edicts of toleration from the French crown. A series of religious conflicts followed, known as the Wars of Religion, fought intermittently from 1562 to 1598.","Catholic hostility grew, in spite of increasingly liberal political concessions and edicts of toleration from the French crown","what happened to the catholic faith as huguenots gained influence and more openly displayed their faith ?
",246,371,catholic hostility grew,0.3
94,94,"As Huguenots gained influence and more openly displayed their faith, Catholic hostility grew, in spite of increasingly liberal political concessions and edicts of toleration from the French crown. A series of religious conflicts followed, known as the Wars of Religion, fought intermittently from 1562 to 1598. The wars finally ended with the granting of the Edict of Nantes, which granted the Huguenots substantial religious, political and military autonomy.","the Wars of Religion, fought intermittently from 1562 to 1598","how long did the wars of religion last ?
",248,308,1562 to 1598,0.5
95,95,"As Huguenots gained influence and more openly displayed their faith, Catholic hostility grew, in spite of increasingly liberal political concessions and edicts of toleration from the French crown. A series of religious conflicts followed, known as the Wars of Religion, fought intermittently from 1562 to 1598. The wars finally ended with the granting of the Edict of Nantes, which granted the Huguenots substantial religious, political and military autonomy.","A series of religious conflicts followed, known","what was the wars of religion ?
",197,243,a series of religious conflicts,0.8
96,96,"They were very successful at marriage and property speculation. After petitioning the British Crown in 1697 for the right to own land in the Baronies, they prospered as slave owners on the Cooper, Ashepoo, Ashley and Santee River plantations they purchased from the British Landgrave Edmund Bellinger. Some of their descendants moved into the Deep South and Texas, where they developed new plantations.","slave owners on the Cooper, Ashepoo, Ashley and Santee River plantations they purchased from the British Landgrave Edmund","where did they prosper ?
",169,289,"on the cooper , ashepoo , ashley and santee river plantations",0.6666666666666666
97,97,"They were very successful at marriage and property speculation. After petitioning the British Crown in 1697 for the right to own land in the Baronies, they prospered as slave owners on the Cooper, Ashepoo, Ashley and Santee River plantations they purchased from the British Landgrave Edmund Bellinger. Some of their descendants moved into the Deep South and Texas, where they developed new plantations.","After petitioning the British Crown in 1697 for the right to own land in the Baronies, they prospered","how did they prosper as slave owners
",64,164,"after petitioning the british crown in 1697 for the right to own land in the baronies , they prospered as slave owners on the cooper , ashepoo , ashley and santee river plantations they purchased from the british landgrave edmund bellinger",0.625
98,98,"The Catholic Church in France and many of its members opposed the Huguenots. Some Huguenot preachers and congregants were attacked as they attempted to meet for worship. The height of this persecution was the St. Bartholomew 's Day massacre when 5,000 to 30,000 were killed, although there were also underlying political reasons for this as well, as some of the Huguenots were nobles trying to establish separate centers of power in southern France.",they attempted to meet for worship,"why were some huguenot preachers and congregants attacked ?
",134,167,they attempted to meet for worship,1.0
99,99,"The Catholic Church in France and many of its members opposed the Huguenots. Some Huguenot preachers and congregants were attacked as they attempted to meet for worship. The height of this persecution was the St. Bartholomew 's Day massacre when 5,000 to 30,000 were killed, although there were also underlying political reasons for this as well, as some of the Huguenots were nobles trying to establish separate centers of power in southern France.",Some Huguenot preachers and congregants were attacked,"what happened to the huguenots as they attempted to meet for worship ?
",77,129,attacked,0.25
100,100,"By 1620 the Huguenots were on the defensive, and the government increasingly applied pressure. A series of three small civil wars known as the Huguenot rebellions broke out, mainly in southwestern France, between 1621 and 1629. revolted against royal authority.","the Huguenot rebellions broke out, mainly in southwestern France, between 1621 and 1629","when did the huguenot rebellions occur ?
",139,225,between 1621 and 1629,0.5
101,101,"By 1620 the Huguenots were on the defensive, and the government increasingly applied pressure. A series of three small civil wars known as the Huguenot rebellions broke out, mainly in southwestern France, between 1621 and 1629. revolted against royal authority.",three small civil wars known,"what were the huguenot rebellions ?
",107,134,a series of three small civil wars,0.7272727272727272
102,102," In this last connection, the name could suggest the derogatory inference of superstitious worship; popular fancy held that Huguon, the gate of King Hugo, was haunted by the ghost of le roi Huguet (regarded by Roman Catholics as an infamous scoundrel) and other spirits, who instead of being in Purgatory came back to harm the living at night. It was in this place in Tours","an infamous scoundrel) and other spirits, who instead of being in Purgatory came back to harm the living at","what did roman catholics consider le roi huguet to be ?
",229,335,an infamous scoundrel,0.21052631578947367
103,103," In this last connection, the name could suggest the derogatory inference of superstitious worship; popular fancy held that Huguon, the gate of King Hugo, was haunted by the ghost of le roi Huguet (regarded by Roman Catholics as an infamous scoundrel) and other spirits, who instead of being in Purgatory came back to harm the living at night. It was in this place in Tours","the derogatory inference of superstitious worship; popular fancy held that Huguon, the gate of King Hugo, was haunted by the ghost of le roi Huguet (regarded by Roman Catholics","what could the name of huguon suggest ?
",49,224,the derogatory inference of superstitious worship,0.32258064516129037
104,104," Other evidence of the Walloons and Huguenots in Canterbury includes a block of houses in Turnagain Lane, where weavers ' windows survive on the top floor, as many Huguenots worked as weavers. The Weavers, a half-timbered house by the river, was the site of a weaving school from the late 16th century to about 1830.",many Huguenots worked as weavers,"why do weavers ' windows survive on the top floor of turnagain lane ?
",159,190,many huguenots worked as weavers,1.0
105,105," Other evidence of the Walloons and Huguenots in Canterbury includes a block of houses in Turnagain Lane, where weavers ' windows survive on the top floor, as many Huguenots worked as weavers. The Weavers, a half-timbered house by the river, was the site of a weaving school from the late 16th century to about 1830.","Other evidence of the Walloons and Huguenots in Canterbury includes a block of houses in Turnagain Lane, where weavers ' windows survive on the top floor","what is evidence of the walloons and huguenots in canterbury ?
",1,153,a block of houses in turnagain lane,0.42857142857142855
106,106," The exodus of Huguenots from France created a brain drain, as many Huguenots had occupied important places in society. The kingdom did not fully recover for years.",many Huguenots had occupied important places in society,"why did the kingdom not fully recover ?
",63,117,the exodus of huguenots from france created a brain drain,0.125
107,107," The exodus of Huguenots from France created a brain drain, as many Huguenots had occupied important places in society. The kingdom did not fully recover for years.",The exodus of Huguenots from France created a brain drain,"why did the kingdom of france not fully recover ?
",1,57,the exodus of huguenots from france created a brain drain,1.0
108,108,"The pattern of warfare, followed by brief periods of peace, continued for nearly another quarter-century. The warfare was definitively quelled in 1598, when Henry of Navarre, having succeeded to the French throne as Henry IV, and having recanted Protestantism in favour of Roman Catholicism, issued the Edict of Nantes. The Edict reaffirmed Catholicism as the state religion of France, but granted the Protestants equality with Catholics under the throne and a degree of religious and political freedom within their domains.","Henry IV, and having recanted Protestantism in favour of Roman Catholicism, issued the Edict of Nantes","what edict was issued in 1598 ?
",216,317,edict of nantes,0.33333333333333337
109,109,"The pattern of warfare, followed by brief periods of peace, continued for nearly another quarter-century. The warfare was definitively quelled in 1598, when Henry of Navarre, having succeeded to the French throne as Henry IV, and having recanted Protestantism in favour of Roman Catholicism, issued the Edict of Nantes. The Edict reaffirmed Catholicism as the state religion of France, but granted the Protestants equality with Catholics under the throne and a degree of religious and political freedom within their domains.","The warfare was definitively quelled in 1598, when Henry of Navarre, having succeeded to the French throne","when did the war end ?
",106,211,1598,0.125
110,110,"The warfare was definitively quelled in 1598, when Henry of Navarre, having succeeded to the French throne as Henry IV, and having recanted Protestantism in favour of Roman Catholicism, issued the Edict of Nantes. The Edict reaffirmed Catholicism as the state religion of France, but granted the Protestants equality with Catholics under the throne and a degree of religious and political freedom within their domains. The Edict simultaneously protected Catholic interests by discouraging the founding of new Protestant churches in Catholic-controlled regions.-LSB-citation needed-RSB-","the state religion of France, but granted the Protestants equality with Catholics under the throne and a degree of religious and political freedom within their domains","what did the edict of nantes do to catholicism ?
",250,416,discouraging the founding of new protestant churches in catholic - controlled regions,0.06250000000000001
111,111,"The warfare was definitively quelled in 1598, when Henry of Navarre, having succeeded to the French throne as Henry IV, and having recanted Protestantism in favour of Roman Catholicism, issued the Edict of Nantes. The Edict reaffirmed Catholicism as the state religion of France, but granted the Protestants equality with Catholics under the throne and a degree of religious and political freedom within their domains. The Edict simultaneously protected Catholic interests by discouraging the founding of new Protestant churches in Catholic-controlled regions.-LSB-citation needed-RSB-",The Edict reaffirmed Catholicism,"what was the state religion of france in 1598 ?
",214,245,catholicism,0.5
112,112,"Louise de Coligny, daughter of the murdered Huguenot leader Gaspard de Coligny, married William the Silent, leader of the Dutch (Calvinist) revolt against Spanish (Catholic) rule. As both spoke French in daily life, their court church in the Prinsenhof in Delft held services in French. The practice has continued to the present day.",both spoke French in daily life,"why did william the silent and louise de coligny hold services in french ?
",183,213,both spoke french in daily life,1.0
113,113,"Louise de Coligny, daughter of the murdered Huguenot leader Gaspard de Coligny, married William the Silent, leader of the Dutch (Calvinist) revolt against Spanish (Catholic) rule. As both spoke French in daily life, their court church in the Prinsenhof in Delft held services in French. The practice has continued to the present day.",their court church in the Prinsenhof in Delft held services in French,"how did william the silent and louise de coligny communicate ?
",216,284,"both spoke french in daily life , their court church in the prinsenhof in delft held services in french",0.7857142857142858
114,114,"The ""Hugues hypothesis"" argues that the name was derived by association with Hugues Capet, king of France, who reigned long before the Reformation. He was regarded by the Gallicans and Protestants as a noble man who respected people 's dignity and lives. Janet Gray and other supporters of the hypothesis suggest that the name huguenote would be roughly equivalent to little Hugos, or those who want Hugo.",a noble man who respected people 's,"what was hugues capet regarded as by the gallicans and protestants ?
",200,234,a noble man who respected people ' s dignity and lives,0.8
115,115,"The ""Hugues hypothesis"" argues that the name was derived by association with Hugues Capet, king of France, who reigned long before the Reformation. He was regarded by the Gallicans and Protestants as a noble man who respected people 's dignity and lives. Janet Gray and other supporters of the hypothesis suggest that the name huguenote would be roughly equivalent to little Hugos, or those who want Hugo.",He was regarded by the Gallicans and Protestants,"who regarded hugues capet as a noble man ?
",148,195,the gallicans and protestants,0.6
116,116,"The French Confession of 1559 shows a decidedly Calvinistic influence. Sometime between 1550 and 1580, members of the Reformed church in France came to be commonly known as Huguenots.-LSB-citation needed-RSB-",Huguenots.-LSB-citation needed,"what were members of the reformed church in france commonly known as ?
",173,202,huguenots,0.0
117,117,"The French Confession of 1559 shows a decidedly Calvinistic influence. Sometime between 1550 and 1580, members of the Reformed church in France came to be commonly known as Huguenots.-LSB-citation needed-RSB-","Sometime between 1550 and 1580, members of the Reformed church in France came to be commonly known","when were the reformed church in france known as huguenots ?
",71,168,sometime between 1550 and 1580,0.47619047619047616
118,118,"In Wandsworth, their gardening skills benefited the Battersea market gardens. The Old Truman Brewery, then known as the Black Eagle Brewery, was founded in 1724. The flight of Huguenot refugees from Tours, France drew off most of the workers of its great silk mills which they had built.-LSB-citation needed-RSB-Some of these immigrants moved to Norwich, which had accommodated an earlier settlement of Walloon weavers.","the Black Eagle Brewery, was founded in 1724","when was the old truman brewery founded ?
",116,159,1724,0.25
119,119,"In Wandsworth, their gardening skills benefited the Battersea market gardens. The Old Truman Brewery, then known as the Black Eagle Brewery, was founded in 1724. The flight of Huguenot refugees from Tours, France drew off most of the workers of its great silk mills which they had built.-LSB-citation needed-RSB-Some of these immigrants moved to Norwich, which had accommodated an earlier settlement of Walloon weavers.","In Wandsworth, their gardening skills benefited the Battersea market gardens. The Old Truman Brewery, then known","what did the gardeners of the old truman brewery benefit ?
",0,111,battersea market gardens,0.35294117647058826
120,120," The first full-scale working railway steam locomotive was built by Richard Trevithick in the United Kingdom and, on 21 February 1804, the world 's first railway journey took place as Trevithick 's unnamed steam locomotive hauled a train along the tramway from the Pen-y-darren ironworks, near Merthyr Tydfil to Abercynon in south Wales. The design incorporated a number of important innovations that included using high-pressure steam which reduced the weight of the engine and increased its efficiency.","Trevithick 's unnamed steam locomotive hauled a train along the tramway from the Pen-y-darren ironworks, near Merthyr Tydfil to Abercynon in south Wales","where did the first railway journey take place ?
",184,335,"pen - y - darren ironworks , near merthyr tydfil to abercynon in south wales",0.5625000000000001
121,121," The first full-scale working railway steam locomotive was built by Richard Trevithick in the United Kingdom and, on 21 February 1804, the world 's first railway journey took place as Trevithick 's unnamed steam locomotive hauled a train along the tramway from the Pen-y-darren ironworks, near Merthyr Tydfil to Abercynon in south Wales. The design incorporated a number of important innovations that included using high-pressure steam which reduced the weight of the engine and increased its efficiency.","The first full-scale working railway steam locomotive was built by Richard Trevithick in the United Kingdom and, on 21 February 1804, the world 's first railway journey took place","what was the name of the first steam locomotive built in the world ?
",1,179,richard trevithick,0.14285714285714288
122,122,"These cylinders are designed to divide the work into equal shares for each expansion stage. As with the double expansion engine, if space is at a premium, then two smaller cylinders may be used for the low-pressure stage. Multiple expansion engines typically had the cylinders arranged inline, but various other formations were used.",with the double expansion engine,"what is an example of an engine where two smaller cylinders may be used for the low pressure stage ?
",95,126,the double expansion engine,0.8571428571428571
123,123,"These cylinders are designed to divide the work into equal shares for each expansion stage. As with the double expansion engine, if space is at a premium, then two smaller cylinders may be used for the low-pressure stage. Multiple expansion engines typically had the cylinders arranged inline, but various other formations were used.","if space is at a premium, then two smaller cylinders may be used for the low-pressure stage","what happens when space is at a premium for the low - pressure stage ?
",129,219,two smaller cylinders may be used,0.5714285714285715
124,124,"The combined setup gave a fair approximation of the ideal events, at the expense of increased friction and wear, and the mechanism tended to be complicated. The usual compromise solution has been to provide lap by lengthening rubbing surfaces of the valve in such a way as to overlap the port on the admission side, with the effect that the exhaust side remains open for a longer period after cut-off on the admission side has occurred. This expedient has since been generally considered satisfactory for most purposes and makes possible the use of the simpler Stephenson, Joy and Walschaerts motions.","to overlap the port on the admission side, with the effect that the exhaust side remains open for a longer period after cut-off on the admission side has occurred","what is the usual compromise solution to provide lap ?
",273,434,lengthening rubbing surfaces of the valve in such a way as to overlap the port on the admission side,0.31578947368421056
125,125,"The combined setup gave a fair approximation of the ideal events, at the expense of increased friction and wear, and the mechanism tended to be complicated. The usual compromise solution has been to provide lap by lengthening rubbing surfaces of the valve in such a way as to overlap the port on the admission side, with the effect that the exhaust side remains open for a longer period after cut-off on the admission side has occurred. This expedient has since been generally considered satisfactory for most purposes and makes possible the use of the simpler Stephenson, Joy and Walschaerts motions.",The usual compromise solution has been to provide lap by lengthening rubbing surfaces of the valve in such a way,"what was the usual solution to the problem of increased friction ?
",157,268,to provide lap by lengthening rubbing surfaces of the valve in such a way as to overlap the port on the admission side,0.6666666666666667
126,126," The working fluid in a Rankine cycle can operate as a closed loop system, where the working fluid is recycled continuously, or may be an ""open loop"" system, where the exhaust steam is directly released to the atmosphere, and a separate source of water feeding the boiler is supplied. Normally water is the fluid of choice due to its favourable properties, such as non-toxic and unreactive chemistry, abundance, low cost, and its thermodynamic properties.","a closed loop system, where the working fluid is recycled continuously, or may be an ""open loop"" system, where the exhaust steam is directly released to the atmosphere, and a separate source of water feeding the boiler is","how does the working fluid in a rankine cycle operate ?
",53,273,a closed loop system,0.17647058823529413
127,127," The working fluid in a Rankine cycle can operate as a closed loop system, where the working fluid is recycled continuously, or may be an ""open loop"" system, where the exhaust steam is directly released to the atmosphere, and a separate source of water feeding the boiler is supplied. Normally water is the fluid of choice due to its favourable properties, such as non-toxic and unreactive chemistry, abundance, low cost, and its thermodynamic properties.",The working fluid in a Rankine cycle can operate,"can a rankine cycle operate as a closed loop system ?
",1,48,the working fluid is recycled continuously,0.3333333333333333
128,128,"By staging the expansion in multiple cylinders, torque variability can be reduced. To derive equal work from lower-pressure steam requires a larger cylinder volume as this steam occupies a greater volume. Therefore, the bore, and often the stroke, are increased in low-pressure cylinders resulting in larger cylinders.",this steam occupies a greater volume,"why is a larger cylinder volume necessary to derive equal work from lower - pressure steam ?
",167,202,this steam occupies a greater volume,1.0
129,129,"By staging the expansion in multiple cylinders, torque variability can be reduced. To derive equal work from lower-pressure steam requires a larger cylinder volume as this steam occupies a greater volume. Therefore, the bore, and often the stroke, are increased in low-pressure cylinders resulting in larger cylinders.",derive equal work from lower-pressure steam requires a larger cylinder volume,"what is a drawback of staging the expansion in multiple cylinders ?
",86,162,torque variability can be reduced,0.0
130,130,"The simplest valve gears give events of fixed length during the engine cycle and often make the engine rotate in only one direction. Most however have a reversing mechanism which additionally can provide means for saving steam as speed and momentum are gained by gradually ""shortening the cutoff"" or rather, shortening the admission event; this in turn proportionately lengthens the expansion period. However, as one and the same valve usually controls both steam flows, a short cutoff at admission adversely affects the exhaust and compression periods which should ideally always be kept fairly constant; if the exhaust event is too brief, the totality of the exhaust steam cannot evacuate the cylinder, choking it and giving excessive compression (""kick back"").-LSB-citation needed-RSB-","speed and momentum are gained by gradually ""shortening the cutoff"" or rather, shortening the admission event; this","how is the reversing mechanism used to save steam ?
",230,343,"speed and momentum are gained by gradually "" shortening the cutoff "" or rather , shortening the admission event",0.9655172413793104
131,131,"The simplest valve gears give events of fixed length during the engine cycle and often make the engine rotate in only one direction. Most however have a reversing mechanism which additionally can provide means for saving steam as speed and momentum are gained by gradually ""shortening the cutoff"" or rather, shortening the admission event; this in turn proportionately lengthens the expansion period. However, as one and the same valve usually controls both steam flows, a short cutoff at admission adversely affects the exhaust and compression periods which should ideally always be kept fairly constant; if the exhaust event is too brief, the totality of the exhaust steam cannot evacuate the cylinder, choking it and giving excessive compression (""kick back"").-LSB-citation needed-RSB-",a reversing mechanism which additionally can provide means for saving steam,"what do most valve gears have ?
",151,225,a reversing mechanism,0.33333333333333337
132,132,Recent concerns about fuel sources and pollution have incited a renewed interest in steam both as a component of cogeneration processes and as a prime mover. This is becoming known as the Advanced Steam movement.-LSB-citation needed-RSB-,the Advanced Steam movement.-LSB-citation needed-RSB,"what is the renewed interest in steam called ?
",184,235,the advanced steam movement,0.5714285714285715
133,133,Recent concerns about fuel sources and pollution have incited a renewed interest in steam both as a component of cogeneration processes and as a prime mover. This is becoming known as the Advanced Steam movement.-LSB-citation needed-RSB-,This is becoming known,"is this movement known as the advanced steam movement ?
",158,179,this is becoming known as the advanced steam movement .,0.6666666666666666
134,134," Land-based steam engines could exhaust much of their steam, as feed water was usually readily available. Prior to and during World War I, the expansion engine dominated marine applications where high vessel speed was not essential.",feed water was usually readily available,"why did land - based steam engines exhaust much of their steam ?
",64,103,feed water was usually readily available,1.0
135,135," Land-based steam engines could exhaust much of their steam, as feed water was usually readily available. Prior to and during World War I, the expansion engine dominated marine applications where high vessel speed was not essential.",Land-based steam engines could exhaust much of their steam,"why was feed water readily available ?
",1,58,could exhaust much of their steam,0.8
136,136,"However, monitoring of atmospheric oxygen levels show a global downward trend, because of fossil-fuel burning. Oxygen is the most abundant element by mass in the Earth 's crust as part of oxide compounds such as silicon dioxide, making up almost half of the crust 's mass. ","part of oxide compounds such as silicon dioxide, making up almost half of the crust 's mass","how is oxygen found in the earth ' s crust ?
",180,270,oxide compounds,0.2222222222222222
137,137,"However, monitoring of atmospheric oxygen levels show a global downward trend, because of fossil-fuel burning. Oxygen is the most abundant element by mass in the Earth 's crust as part of oxide compounds such as silicon dioxide, making up almost half of the crust 's mass. ",Oxygen is the most abundant element by mass in the Earth 's crust,"what is the most abundant element in the earth ' s crust
",111,175,oxygen,0.16666666666666669
138,138,"Many major classes of organic molecules in living organisms, such as proteins, nucleic acids, carbohydrates, and fats, contain oxygen, as do the major inorganic compounds that are constituents of animal shells, teeth, and bone. Most of the mass of living organisms is oxygen as it is a part of water, the major constituent of lifeforms. Oxygen is used in cellular respiration and released by photosynthesis, which uses the energy of sunlight to produce oxygen from water.","it is a part of water, the major constituent of lifeforms","why is most of the mass of living organisms oxygen ?
",278,334,it is a part of water,0.7142857142857143
139,139,"Many major classes of organic molecules in living organisms, such as proteins, nucleic acids, carbohydrates, and fats, contain oxygen, as do the major inorganic compounds that are constituents of animal shells, teeth, and bone. Most of the mass of living organisms is oxygen as it is a part of water, the major constituent of lifeforms. Oxygen is used in cellular respiration and released by photosynthesis, which uses the energy of sunlight to produce oxygen from water.",Most of the mass of living organisms is oxygen,"what is the major constituent of lifeforms ?
",228,273,water,0.0
140,140,"Since ozone absorbs strongly in the UV region of the spectrum, the ozone layer of the upper atmosphere functions as a protective radiation shield for the planet. Near the Earth 's surface, it is a pollutant formed as a by-product of automobile exhaust. The metastable molecule tetraoxygen (O",a by-product of automobile exhaust,"how is ozone formed on the earth ' s surface ?
",217,250,as a by - product of automobile exhaust,0.6
141,141,"Since ozone absorbs strongly in the UV region of the spectrum, the ozone layer of the upper atmosphere functions as a protective radiation shield for the planet. Near the Earth 's surface, it is a pollutant formed as a by-product of automobile exhaust. The metastable molecule tetraoxygen (O","Near the Earth 's surface, it is a pollutant formed","is ozone a pollutant near the surface ?
",162,212,it is a pollutant,0.5454545454545454
142,142,"Sudden cabin pressure loss activates chemical oxygen generators above each seat, causing oxygen masks to drop. Pulling on the masks ""to start the flow of oxygen"" as cabin safety instructions dictate, forces iron filings into the sodium chlorate inside the canister. A steady stream of oxygen gas is then produced by the exothermic reaction.","cabin safety instructions dictate, forces iron filings into the sodium chlorate inside the canister","what happens to the iron filings in the oxygen masks ?
",165,263,a steady stream of oxygen gas is then produced by the exothermic reaction,0.0
143,143,"Sudden cabin pressure loss activates chemical oxygen generators above each seat, causing oxygen masks to drop. Pulling on the masks ""to start the flow of oxygen"" as cabin safety instructions dictate, forces iron filings into the sodium chlorate inside the canister. A steady stream of oxygen gas is then produced by the exothermic reaction.",to start the flow of oxygen,"what are the instructions for pulling on the oxygen masks ?
",133,159,to start the flow of oxygen,1.0
144,144," In 1973, Nixon named William E. Simon as the first Administrator of the Federal Energy Office, a short-term organization created to coordinate the response to the embargo. Simon allocated states the same amount of domestic oil for 1974 that each had consumed in 1972, which worked for states whose populations were not increasing.","the first Administrator of the Federal Energy Office, a short-term organization created to coordinate the response to the","what was william e . simon ' s role ?
",42,162,administrator of the federal energy office,0.5555555555555556
145,145," In 1973, Nixon named William E. Simon as the first Administrator of the Federal Energy Office, a short-term organization created to coordinate the response to the embargo. Simon allocated states the same amount of domestic oil for 1974 that each had consumed in 1972, which worked for states whose populations were not increasing.","In 1973, Nixon named William E. Simon","who was the first administrator of the federal energy office ?
",1,37,william e . simon,0.6
146,146,"British Prime Minister Edward Heath was so worried by this prospect that he ordered a British intelligence estimate of U.S. intentions, which concluded America ""might consider it could not tolerate a situation in which the U.S. and its allies were at the mercy of a small group of unreasonable countries,"" and that they would prefer a rapid operation to seize oilfields in Saudi Arabia and Kuwait, and possibly Abu Dhabi in military action was decided upon. Although the Soviet response to such an act would likely not involve force, intelligence warned ""the American occupation would need to last 10 years as the West developed alternative energy sources, and would result in the ` total alienation ' of the Arabs and much of the rest of the Third World."" ","the West developed alternative energy sources, and would result in the ` total alienation ' of the Arabs and much of the rest of the Third World","why did the soviets think the occupation of abu dhabi would need to last 10 years ?
",610,753,the west developed alternative energy sources,0.4
147,147,"British Prime Minister Edward Heath was so worried by this prospect that he ordered a British intelligence estimate of U.S. intentions, which concluded America ""might consider it could not tolerate a situation in which the U.S. and its allies were at the mercy of a small group of unreasonable countries,"" and that they would prefer a rapid operation to seize oilfields in Saudi Arabia and Kuwait, and possibly Abu Dhabi in military action was decided upon. Although the Soviet response to such an act would likely not involve force, intelligence warned ""the American occupation would need to last 10 years as the West developed alternative energy sources, and would result in the ` total alienation ' of the Arabs and much of the rest of the Third World."" ","Although the Soviet response to such an act would likely not involve force, intelligence warned ""the American occupation would need to last 10 years","how long did the soviets think the occupation of abu dhabi would last ?
",458,605,10 years,0.17391304347826084
148,148,"The crisis reduced the demand for large cars. Japanese imports, primarily the Toyota Corona, the Toyota Corolla, the Datsun B210, the Datsun 510, the Honda Civic, the Mitsubishi Galant (a captive import from Chrysler sold as the Dodge Colt), the Subaru DL, and later the Honda Accord all had four cylinder engines that were more fuel efficient than the typical American V8 and six cylinder engines. Japanese imports became mass-market leaders with unibody construction and front-wheel drive, which became de facto standards.","the Dodge Colt), the Subaru DL, and later the Honda Accord all had four cylinder engines that were more fuel efficient than the typical American V8 and six cylinder engines","what was the mitsubishi galant sold as ?
",225,396,dodge colt,0.14285714285714288
149,149,"The crisis reduced the demand for large cars. Japanese imports, primarily the Toyota Corona, the Toyota Corolla, the Datsun B210, the Datsun 510, the Honda Civic, the Mitsubishi Galant (a captive import from Chrysler sold as the Dodge Colt), the Subaru DL, and later the Honda Accord all had four cylinder engines that were more fuel efficient than the typical American V8 and six cylinder engines. Japanese imports became mass-market leaders with unibody construction and front-wheel drive, which became de facto standards.","the Datsun 510, the Honda Civic, the Mitsubishi Galant (a captive import from Chrysler sold","what were some japanese imports that had four cylinder engines ?
",130,220,more fuel efficient,0.0
150,150," Some buyers lamented the small size of the first Japanese compacts, and both Toyota and Nissan (then known as Datsun) introduced larger cars such as the Toyota Corona Mark II, the Toyota Cressida, the Mazda 616 and Datsun 810, which added passenger space and amenities such as air conditioning, power steering, AM-FM radios, and even power windows and central locking without increasing the price of the vehicle. A decade after the 1973 oil crisis, Honda, Toyota and Nissan, affected by the 1981 voluntary export restraints, opened US assembly plants and established their luxury divisions (Acura, Lexus and Infiniti, respectively) to distinguish themselves from their mass-market brands.",Datsun) introduced,"what was nissan ' s previous name ?
",111,128,datsun,0.6666666666666666
151,151," Some buyers lamented the small size of the first Japanese compacts, and both Toyota and Nissan (then known as Datsun) introduced larger cars such as the Toyota Corona Mark II, the Toyota Cressida, the Mazda 616 and Datsun 810, which added passenger space and amenities such as air conditioning, power steering, AM-FM radios, and even power windows and central locking without increasing the price of the vehicle. A decade after the 1973 oil crisis, Honda, Toyota and Nissan, affected by the 1981 voluntary export restraints, opened US assembly plants and established their luxury divisions (Acura, Lexus and Infiniti, respectively) to distinguish themselves from their mass-market brands.","Some buyers lamented the small size of the first Japanese compacts, and both Toyota and Nissan (then known","how did buyers react to the size of the first japanese compacts ?
",1,106,lamented,0.11764705882352941
152,152,"Generally speaking, while all member states recognise that EU law takes primacy over national law where this agreed in the Treaties, they do not accept that the Court of Justice has the final say on foundational constitutional questions affecting democracy and human rights. In the United Kingdom, the basic principle is that Parliament, as the sovereign expression of democratic legitimacy, can decide whether it wishes to expressly legislate against EU law. This, however, would only happen in the case of an express wish of the people to withdraw from the EU.","the sovereign expression of democratic legitimacy, can decide whether it wishes to expressly legislate against EU law","what is the basic principle in the united kingdom ?
",341,457,"parliament , as the sovereign expression of democratic legitimacy , can decide whether it wishes to expressly legislate against eu law",0.9411764705882353
153,153,"Generally speaking, while all member states recognise that EU law takes primacy over national law where this agreed in the Treaties, they do not accept that the Court of Justice has the final say on foundational constitutional questions affecting democracy and human rights. In the United Kingdom, the basic principle is that Parliament, as the sovereign expression of democratic legitimacy, can decide whether it wishes to expressly legislate against EU law. This, however, would only happen in the case of an express wish of the people to withdraw from the EU.","In the United Kingdom, the basic principle is that Parliament","in what country can parliament decide whether it wishes to expressly legislate against eu law ?
",275,335,the united kingdom,0.4
154,154,"In Foster v British Gas plc the Court of Justice held that Mrs Foster was entitled to bring a sex discrimination claim against her employer, British Gas plc, which made women retire at age 60 and men at 65, if (1) pursuant to a state measure, (2) it provided a public service, and (3) had special powers. This could also be true if the enterprise is privatised, as it was held with a water company that was responsible for basic water provision. ",it was held with a water company that was responsible for basic water provision,"how could the claim be held to be true if the enterprise is privatised ?
",365,443,it was held with a water company that was responsible for basic water provision,1.0
