,context,answer,question,start_idx,end_idx
149,"Following the acquisition of California by the United States , the division continued as part of the attempt by several pro-slavery politicians to arrange the division of Alta California at 36 degrees , 30 minutes , the line of the Missouri Compromise .Instead , the passing of the Compromise of 1850 enabled California to be admitted to the Union as a free state , preventing southern California from becoming its own separate slave state .Subsequently , Californios -LRB- dissatisfied with inequitable taxes and land laws -RRB- and pro-slavery southerners in the lightly populated `` Cow Counties '' of southern California attempted three times in the 1850s to achieve a separate statehood or territorial status separate from Northern California .","Instead , the passing of the Compromise of 1850 enabled California to be admitted to the Union","what prevented southern california from becoming a separate slave state ?
",253,346
150,"with a strong advocate in Senator Milton Latham .However , the secession crisis following the election of Abraham Lincoln in 1860 led to the proposal never coming to a vote .In 1900 , the Los Angeles Times defined southern California as including `` the seven counties of Los Angeles , San Bernardino , Orange , Riverside , San Diego , Ventura and Santa Barbara .",the secession crisis following the election of Abraham Lincoln in 1860,"what led to the proposal never coming to a vote ?
",59,128
151,"with a strong advocate in Senator Milton Latham .However , the secession crisis following the election of Abraham Lincoln in 1860 led to the proposal never coming to a vote .In 1900 , the Los Angeles Times defined southern California as including `` the seven counties of Los Angeles , San Bernardino , Orange , Riverside , San Diego , Ventura and Santa Barbara .",the proposal never coming to a vote,"what did the secession crisis lead to ?
",137,171
152,"The state is most commonly divided and promoted by its regional tourism groups as consisting of northern , central , and southern California regions .The two AAA Auto Clubs of the state , the California State Automobile Association and the Automobile Club of Southern California , choose to simplify matters by dividing the state along the lines where their jurisdictions for membership apply , as either northern or southern California , in contrast to the three-region point of view .Another influence is the geographical phrase South of the Tehachapis , which would split the southern region off at the crest of that transverse range , but in that definition , the desert portions of north Los Angeles County and eastern Kern and San Bernardino Counties would be included in the southern California region due to their remoteness from the central valley and interior desert landscape .",dividing the state along the lines,"how do the two aaa auto clubs of the state simplify matters ?
",311,344
153,"The state is most commonly divided and promoted by its regional tourism groups as consisting of northern , central , and southern California regions .The two AAA Auto Clubs of the state , the California State Automobile Association and the Automobile Club of Southern California , choose to simplify matters by dividing the state along the lines where their jurisdictions for membership apply , as either northern or southern California , in contrast to the three-region point of view .Another influence is the geographical phrase South of the Tehachapis , which would split the southern region off at the crest of that transverse range , but in that definition , the desert portions of north Los Angeles County and eastern Kern and San Bernardino Counties would be included in the southern California region due to their remoteness from the central valley and interior desert landscape .","where their jurisdictions for membership apply , as either northern or southern California , in contrast to the three-region point of view .","how do the two aaa auto clubs divide the state ?
",346,485
154,"The two AAA Auto Clubs of the state , the California State Automobile Association and the Automobile Club of Southern California , choose to simplify matters by dividing the state along the lines where their jurisdictions for membership apply , as either northern or southern California , in contrast to the three-region point of view .Another influence is the geographical phrase South of the Tehachapis , which would split the southern region off at the crest of that transverse range , but in that definition , the desert portions of north Los Angeles County and eastern Kern and San Bernardino Counties would be included in the southern California region due to their remoteness from the central valley and interior desert landscape .Southern California consists of a heavily developed urban environment , home to some of the largest urban areas in the state , along with vast areas that have been left undeveloped .",their remoteness from the central valley and interior desert landscape,"why are the desert portions of north los angeles county and eastern kern and san bernardino counties included in the southern california region ?
",666,735
155,"The two AAA Auto Clubs of the state , the California State Automobile Association and the Automobile Club of Southern California , choose to simplify matters by dividing the state along the lines where their jurisdictions for membership apply , as either northern or southern California , in contrast to the three-region point of view .Another influence is the geographical phrase South of the Tehachapis , which would split the southern region off at the crest of that transverse range , but in that definition , the desert portions of north Los Angeles County and eastern Kern and San Bernardino Counties would be included in the southern California region due to their remoteness from the central valley and interior desert landscape .Southern California consists of a heavily developed urban environment , home to some of the largest urban areas in the state , along with vast areas that have been left undeveloped .","Another influence is the geographical phrase South of the Tehachapis , which would split the southern region off at the crest of that transverse range , but in that definition , the desert portions of north Los Angeles County and eastern Kern and San Bernardino Counties would be included in the southern California region","what is another influence on the two auto clubs ?
",336,657
156,"The urban area is also host to an international metropolitan region in the form of San Diego -- Tijuana , created by the urban area spilling over into Baja California .Traveling south on Interstate 5 , the main gap to continued urbanization is Camp Pendleton .The cities and communities along Interstate 15 and Interstate 215 are so inter-related that Temecula and Murrieta have as much connection with the San Diego metropolitan area as they do with the Inland Empire .",Traveling south on Interstate 5,"how is camp pendleton from san diego ?
",168,198
157,"The urban area is also host to an international metropolitan region in the form of San Diego -- Tijuana , created by the urban area spilling over into Baja California .Traveling south on Interstate 5 , the main gap to continued urbanization is Camp Pendleton .The cities and communities along Interstate 15 and Interstate 215 are so inter-related that Temecula and Murrieta have as much connection with the San Diego metropolitan area as they do with the Inland Empire .",the main gap to continued urbanization is Camp Pendleton .,"what is the main gap to continued urbanization ?
",202,259
158,"Traveling south on Interstate 5 , the main gap to continued urbanization is Camp Pendleton .The cities and communities along Interstate 15 and Interstate 215 are so inter-related that Temecula and Murrieta have as much connection with the San Diego metropolitan area as they do with the Inland Empire .To the east , the United States Census Bureau considers the San Bernardino and Riverside County areas , Riverside-San Bernardino area as a separate metropolitan area from Los Angeles County .",The cities and communities along Interstate 15 and Interstate 215 are so inter-related,"why do temecula and murrieta have as much connection as the san diego metropolitan area ?
",92,177
159,"Traveling south on Interstate 5 , the main gap to continued urbanization is Camp Pendleton .The cities and communities along Interstate 15 and Interstate 215 are so inter-related that Temecula and Murrieta have as much connection with the San Diego metropolitan area as they do with the Inland Empire .To the east , the United States Census Bureau considers the San Bernardino and Riverside County areas , Riverside-San Bernardino area as a separate metropolitan area from Los Angeles County .",Temecula and Murrieta have as much connection with the San Diego metropolitan area as they do with the Inland Empire .,"are temecula or murrieta connected to the san diego metropolitan area ?
",184,301
160,"A .and Orange Counties , there are some differences in development , as most of San Bernardino and Riverside Counties -LRB- the non-desert portions -RRB- were developed in the 1980s and 1990s .Newly developed exurbs formed in the Antelope Valley north of Los Angeles , the Victor Valley and the Coachella Valley with the Imperial Valley .",most of San Bernardino and Riverside Counties -LRB- the non-desert portions -RRB- were developed in the 1980s and 1990s .,"what are the major differences between a . and orange counties ?
",72,192
161,"A .and Orange Counties , there are some differences in development , as most of San Bernardino and Riverside Counties -LRB- the non-desert portions -RRB- were developed in the 1980s and 1990s .Newly developed exurbs formed in the Antelope Valley north of Los Angeles , the Victor Valley and the Coachella Valley with the Imperial Valley .","Orange Counties , there are some differences in development","are there any differences between san bernardino and orange counties ?
",7,65
162,"Serious rain can occur unusually .In the summers , temperature ranges are 90-60 's while as winters are 70-50 's , usually all of Southern California have Mediterranean climate .But snow is very rare in the Southwest of the state , it occurs on the Southeast of the state .","winters are 70-50 's , usually all of Southern California have Mediterranean climate .","does southern california have a mediterranean climate ?
",92,177
163,"Serious rain can occur unusually .In the summers , temperature ranges are 90-60 's while as winters are 70-50 's , usually all of Southern California have Mediterranean climate .But snow is very rare in the Southwest of the state , it occurs on the Southeast of the state .","In the summers , temperature ranges are 90-60 's while","what are the temperature ranges in southern california ?
",34,87
164,"Each year , the southern California area has about 10,000 earthquakes .Nearly all of them are so small that they are not felt .Only several hundred are greater than magnitude 3 .",Nearly all of them are so small,"why are most of the earthquakes not felt ?
",71,101
165,"Each year , the southern California area has about 10,000 earthquakes .Nearly all of them are so small that they are not felt .Only several hundred are greater than magnitude 3 .",they are not felt .,"what happens to most of the earthquakes in southern california ?
",108,126
166,"Southern California is divided culturally , politically , and economically into distinctive regions , each containing its own culture and atmosphere , anchored usually by a city with both national and sometimes global recognition , which are often the hub of economic activity for its respective region and being home to many tourist destinations .Each region is further divided into many culturally distinct areas but as a whole combine to create the southern California atmosphere .As of the 2010 United States Census , southern California has a population of 22,680,010 .",a whole combine to create the southern California atmosphere .,"what is the effect of dividing southern california into culturally distinct areas ?
",422,483
167,"Southern California is divided culturally , politically , and economically into distinctive regions , each containing its own culture and atmosphere , anchored usually by a city with both national and sometimes global recognition , which are often the hub of economic activity for its respective region and being home to many tourist destinations .Each region is further divided into many culturally distinct areas but as a whole combine to create the southern California atmosphere .As of the 2010 United States Census , southern California has a population of 22,680,010 .",Each region is further divided into many culturally distinct areas but,"what makes up the southern california atmosphere ?
",348,417
168,"Each region is further divided into many culturally distinct areas but as a whole combine to create the southern California atmosphere .As of the 2010 United States Census , southern California has a population of 22,680,010 .Despite a reputation for high growth rates , southern California 's rate grew less than the state average of 10 .","of the 2010 United States Census , southern California has a population of 22,680,010 .","what is the population of southern california ?
",139,225
169,"Each region is further divided into many culturally distinct areas but as a whole combine to create the southern California atmosphere .As of the 2010 United States Census , southern California has a population of 22,680,010 .Despite a reputation for high growth rates , southern California 's rate grew less than the state average of 10 .",Each region is further divided into many culturally distinct areas but as a whole combine to create the southern California atmosphere .,"what is the atmosphere of southern california ?
",0,135
170,"Despite a reputation for high growth rates , southern California 's rate grew less than the state average of 10 .0 % in the 2000s as California 's growth became concentrated in the northern part of the state due to a stronger , tech-oriented economy in the Bay Area and an emerging Greater Sacramento region .Southern California consists of one Combined Statistical Area , eight Metropolitan Statistical Areas , one international metropolitan area , and multiple metropolitan divisions .","a stronger , tech-oriented economy in the Bay Area and an emerging Greater Sacramento region","why did california ' s growth become concentrated in the northern part of the state ?
",215,306
171,"Despite a reputation for high growth rates , southern California 's rate grew less than the state average of 10 .0 % in the 2000s as California 's growth became concentrated in the northern part of the state due to a stronger , tech-oriented economy in the Bay Area and an emerging Greater Sacramento region .Southern California consists of one Combined Statistical Area , eight Metropolitan Statistical Areas , one international metropolitan area , and multiple metropolitan divisions .",0 % in the 2000s as California 's growth became concentrated in the northern part of the state,"what was the growth rate of southern california in the 2000 ' s ?
",113,206
172,"Southern California 's economy is diverse and one of the largest in the United States .It is dominated and heavily dependent upon abundance of petroleum , as opposed to other regions where automobiles not nearly as dominant , the vast majority of transport runs on this fuel .Southern California is famous for tourism and Hollywood -LRB- film , television , and music -RRB- .","opposed to other regions where automobiles not nearly as dominant , the vast majority of transport runs on this fuel .","what is the main difference between southern california ' s economy and other regions ?
",158,275
173,"Southern California 's economy is diverse and one of the largest in the United States .It is dominated and heavily dependent upon abundance of petroleum , as opposed to other regions where automobiles not nearly as dominant , the vast majority of transport runs on this fuel .Southern California is famous for tourism and Hollywood -LRB- film , television , and music -RRB- .",It is dominated and heavily dependent upon abundance of petroleum,"why is southern california ' s economy diverse ?
",87,151
174,"The region was a leader in the housing bubble 2001 -- 2007 , and has been heavily impacted by the housing crash .Since the 1920s , motion pictures , petroleum and aircraft manufacturing have been major industries .In one of the richest agricultural regions in the U .","the 1920s , motion pictures , petroleum and aircraft manufacturing have been major industries .","since what time have motion pictures , petroleum and aircraft manufacturing been a major industry ?
",119,213
175,"The region was a leader in the housing bubble 2001 -- 2007 , and has been heavily impacted by the housing crash .Since the 1920s , motion pictures , petroleum and aircraft manufacturing have been major industries .In one of the richest agricultural regions in the U .","The region was a leader in the housing bubble 2001 -- 2007 , and has been heavily impacted by the housing crash .","was the region a leader in the housing bubble ?
",0,112
176,"The move has been followed by staff cuts , increased subscription prices -LRB- including 9 % in Sky 's family package -RRB- and the dropping of the 3D channel .While BSkyB had been excluded from being a part of the ONdigital consortium , thereby making them a competitor by default , BSkyB was able to join ITV Digital 's free-to-air replacement , Freeview , in which it holds an equal stake with the BBC , ITV , Channel 4 and National Grid Wireless .Prior to October 2005 , three BSkyB channels were available on this platform : Sky News , Sky Three , and Sky Sports News .",making them a competitor by default,"why was bskyb excluded from being part of the ondigital consortium ?
",246,280
177,"The move has been followed by staff cuts , increased subscription prices -LRB- including 9 % in Sky 's family package -RRB- and the dropping of the 3D channel .While BSkyB had been excluded from being a part of the ONdigital consortium , thereby making them a competitor by default , BSkyB was able to join ITV Digital 's free-to-air replacement , Freeview , in which it holds an equal stake with the BBC , ITV , Channel 4 and National Grid Wireless .Prior to October 2005 , three BSkyB channels were available on this platform : Sky News , Sky Three , and Sky Sports News .",", BSkyB was able to join ITV Digital 's free-to-air replacement , Freeview , in which it holds an equal stake with the BBC , ITV , Channel 4 and National Grid Wireless .","what made bskyb a competitor by default ?
",282,450
178,"However , this was replaced by Sky Three on 31 October 2005 , which was itself later re-branded as ` Pick TV ' in 2011 .BSkyB initially charged additional subscription fees for using a Sky + PVR with their service ; waiving the charge for subscribers whose package included two or more premium channels .This changed as from 1 July 2007 , and now customers that have Sky + and subscribe to any BSkyB subscription package get Sky + included at no extra charge .",using a Sky + PVR with their service,"what did bskyb initially charge additional subscription fees for ?
",177,212
179,"However , this was replaced by Sky Three on 31 October 2005 , which was itself later re-branded as ` Pick TV ' in 2011 .BSkyB initially charged additional subscription fees for using a Sky + PVR with their service ; waiving the charge for subscribers whose package included two or more premium channels .This changed as from 1 July 2007 , and now customers that have Sky + and subscribe to any BSkyB subscription package get Sky + included at no extra charge .",BSkyB initially charged additional subscription fees,"what did bskyb initially charge for using a sky + pvr with their service ?
",120,171
180,"BSkyB initially charged additional subscription fees for using a Sky + PVR with their service ; waiving the charge for subscribers whose package included two or more premium channels .This changed as from 1 July 2007 , and now customers that have Sky + and subscribe to any BSkyB subscription package get Sky + included at no extra charge .Customers that do not subscribe to BSkyB 's channels can still pay a monthly fee to enable Sky + functions .","from 1 July 2007 , and now customers that have Sky + and subscribe to any BSkyB subscription package get Sky + included at no extra","when did the additional subscription fees for sky + pvr change ?
",200,330
181,"BSkyB initially charged additional subscription fees for using a Sky + PVR with their service ; waiving the charge for subscribers whose package included two or more premium channels .This changed as from 1 July 2007 , and now customers that have Sky + and subscribe to any BSkyB subscription package get Sky + included at no extra charge .Customers that do not subscribe to BSkyB 's channels can still pay a monthly fee to enable Sky + functions .",This changed,"what happened on july 1 , 2007 ?
",184,195
182,"Customers that do not subscribe to BSkyB 's channels can still pay a monthly fee to enable Sky + functions .In January 2010 BSkyB discontinued the Sky + Box , limited the standard Sky Box to Multiroom upgrade only and started to issue the Sky + HD Box as standard , thus giving all new subscribers the functions of Sky + .In February 2011 BSkyB discontinued the non-HD variant of its Multiroom box , offering a smaller version of the SkyHD box without Sky + functionality .","In January 2010 BSkyB discontinued the Sky + Box , limited the standard Sky Box to Multiroom upgrade only and started to issue the Sky + HD Box as standard","what happened to the sky + box in 2010 ?
",108,262
183,"Customers that do not subscribe to BSkyB 's channels can still pay a monthly fee to enable Sky + functions .In January 2010 BSkyB discontinued the Sky + Box , limited the standard Sky Box to Multiroom upgrade only and started to issue the Sky + HD Box as standard , thus giving all new subscribers the functions of Sky + .In February 2011 BSkyB discontinued the non-HD variant of its Multiroom box , offering a smaller version of the SkyHD box without Sky + functionality .",giving all new subscribers the functions of Sky + .,"what did bskyb do with the sky + hd box ?
",271,321
184,"Customers that do not subscribe to BSkyB 's channels can still pay a monthly fee to enable Sky + functions .In January 2010 BSkyB discontinued the Sky + Box , limited the standard Sky Box to Multiroom upgrade only and started to issue the Sky + HD Box as standard , thus giving all new subscribers the functions of Sky + .In February 2011 BSkyB discontinued the non-HD variant of its Multiroom box , offering a smaller version of the SkyHD box without Sky + functionality .",standard Sky Box to Multiroom upgrade only and started to issue the Sky + HD Box as standard,"what did bskyb do in january 2010 ?
",171,262
185,"Customers that do not subscribe to BSkyB 's channels can still pay a monthly fee to enable Sky + functions .In January 2010 BSkyB discontinued the Sky + Box , limited the standard Sky Box to Multiroom upgrade only and started to issue the Sky + HD Box as standard , thus giving all new subscribers the functions of Sky + .In February 2011 BSkyB discontinued the non-HD variant of its Multiroom box , offering a smaller version of the SkyHD box without Sky + functionality .","January 2010 BSkyB discontinued the Sky + Box , limited the standard Sky Box to Multiroom upgrade only and started to issue the Sky + HD Box","when did bskyb discontinue the sky + box ?
",111,250
186,"In September 2007 , Sky launched a new TV advertising campaign targeting Sky + at women .As of 31 March 2008 , Sky had 3,393,000 Sky + users .BSkyB utilises the VideoGuard pay-TV scrambling system owned by NDS , a Cisco Systems company .","of 31 March 2008 , Sky had 3,393,000 Sky + users .","how many sky + users were there as of march 2008 ?
",92,141
187,"In September 2007 , Sky launched a new TV advertising campaign targeting Sky + at women .As of 31 March 2008 , Sky had 3,393,000 Sky + users .BSkyB utilises the VideoGuard pay-TV scrambling system owned by NDS , a Cisco Systems company .","In September 2007 , Sky launched a new TV advertising campaign targeting Sky + at women .","when did sky launch a new tv advertising campaign ?
",0,88
188,"The failure to renew the existing carriage agreements negotiated with NTL and Telewest resulted in Virgin Media removing the basic channels from the network on 1 March 2007 .Virgin Media claimed that BSkyB had substantially increased the asking price for the channels , a claim which BSkyB denied , on the basis that their new deal offered `` substantially more value '' by including HD channels and Video On Demand content which was not previously carried by cable .In July 2013 , the English High Court of Justice found that Microsoft 's use of the term `` SkyDrive '' infringed on Sky 's right to the `` Sky '' trademark .",including HD channels,"what did bskyb claim to have done to increase the value of the channels ?
",374,394
189,"The failure to renew the existing carriage agreements negotiated with NTL and Telewest resulted in Virgin Media removing the basic channels from the network on 1 March 2007 .Virgin Media claimed that BSkyB had substantially increased the asking price for the channels , a claim which BSkyB denied , on the basis that their new deal offered `` substantially more value '' by including HD channels and Video On Demand content which was not previously carried by cable .In July 2013 , the English High Court of Justice found that Microsoft 's use of the term `` SkyDrive '' infringed on Sky 's right to the `` Sky '' trademark .",and Video On Demand content which was not previously carried by cable .,"what did bskyb claim to have added to their deal with virgin media ?
",396,466
190,"On 27 January 2014 , Microsoft announced `` that SkyDrive will soon become OneDrive '' and `` SkyDrive Pro '' becomes `` OneDrive for Business '' .The service started on 1 September 1993 based on the idea from the then chief executive officer , Sam Chisholm and Rupert Murdoch , of converting the company business strategy to an entirely fee-based concept .The new package included four channels formerly available free-to-air , broadcasting on Astra 's satellites , as well as introducing new channels .","the idea from the then chief executive officer , Sam Chisholm and Rupert Murdoch , of converting the company business strategy to an entirely fee-based concept","why did microsoft start onedrive in 1993 ?
",196,354
191,"On 27 January 2014 , Microsoft announced `` that SkyDrive will soon become OneDrive '' and `` SkyDrive Pro '' becomes `` OneDrive for Business '' .The service started on 1 September 1993 based on the idea from the then chief executive officer , Sam Chisholm and Rupert Murdoch , of converting the company business strategy to an entirely fee-based concept .The new package included four channels formerly available free-to-air , broadcasting on Astra 's satellites , as well as introducing new channels .",The service started on 1 September 1993,"when did skydrive for business begin ?
",147,185
192,"The new package included four channels formerly available free-to-air , broadcasting on Astra 's satellites , as well as introducing new channels .The service continued until the closure of BSkyB 's analogue service on 27 September 2001 , due to the launch and expansion of the Sky Digital platform .Some of the channels did broadcast either in the clear or soft encrypted -LRB- whereby a Videocrypt decoder was required to decode , without a subscription card -RRB- prior to their addition to the Sky Multichannels package .",the launch and expansion of the Sky Digital platform,"what caused the closure of bskyb ' s analogue service ?
",246,297
193,"The new package included four channels formerly available free-to-air , broadcasting on Astra 's satellites , as well as introducing new channels .The service continued until the closure of BSkyB 's analogue service on 27 September 2001 , due to the launch and expansion of the Sky Digital platform .Some of the channels did broadcast either in the clear or soft encrypted -LRB- whereby a Videocrypt decoder was required to decode , without a subscription card -RRB- prior to their addition to the Sky Multichannels package .","The service continued until the closure of BSkyB 's analogue service on 27 September 2001 ,","how long did the sky multichannels service last ?
",147,237
194,"On Thursday 18 May 2006 , and continuing through the weekend before launch , people were reporting that BSkyB had either cancelled or rescheduled its installation .Finally , the BBC reported that 17,000 customers had yet to receive the service due to failed deliveries .On 31 March 2012 , Sky announced the total number of homes with Sky + HD was 4,222,000 .",failed deliveries,"why were 17 , 000 customers not able to receive sky + hd ?
",251,267
195,"On Thursday 18 May 2006 , and continuing through the weekend before launch , people were reporting that BSkyB had either cancelled or rescheduled its installation .Finally , the BBC reported that 17,000 customers had yet to receive the service due to failed deliveries .On 31 March 2012 , Sky announced the total number of homes with Sky + HD was 4,222,000 .","Finally , the BBC reported that 17,000 customers had yet to receive the service","how many customers were reported to have failed to receive the service ?
",164,242
196,"The announcement came a day after Setanta Sports confirmed that it would launch in March as a subscription service on the digital terrestrial platform , and on the same day that NTL 's services re-branded as Virgin Media .However , industry sources believe BSkyB will be forced to shelve plans to withdraw its channels from Freeview and replace them with subscription channels , due to possible lost advertising revenue .Provided is a universal Ku band LNB -LRB- 9 .",possible lost advertising revenue,"why do industry sources believe bskyb will be forced to withdraw its channels from freeview ?
",386,418
197,"The announcement came a day after Setanta Sports confirmed that it would launch in March as a subscription service on the digital terrestrial platform , and on the same day that NTL 's services re-branded as Virgin Media .However , industry sources believe BSkyB will be forced to shelve plans to withdraw its channels from Freeview and replace them with subscription channels , due to possible lost advertising revenue .Provided is a universal Ku band LNB -LRB- 9 .","However , industry sources believe BSkyB will be forced to shelve plans to withdraw its channels from Freeview and replace them with subscription channels ,","what do industry sources think will happen to bskyb ' s channels ?
",222,377
198,"600 GHz -RRB- which is fitted at the end of the dish and pointed at the correct satellite constellation ; most digital receivers will receive the free to air channels .Some broadcasts are free-to-air and unencrypted , some are encrypted but do not require a monthly subscription -LRB- known as free-to-view -RRB- , some are encrypted and require a monthly subscription , and some are pay-per-view services .To view the encrypted content a VideoGuard UK equipped receiver -LRB- all of which are dedicated to the Sky service , and can not be used to decrypt other services -RRB- needs to be used .","free-to-view -RRB- , some are encrypted and require","what does lrb stand for ?
",294,344
199,"600 GHz -RRB- which is fitted at the end of the dish and pointed at the correct satellite constellation ; most digital receivers will receive the free to air channels .Some broadcasts are free-to-air and unencrypted , some are encrypted but do not require a monthly subscription -LRB- known as free-to-view -RRB- , some are encrypted and require a monthly subscription , and some are pay-per-view services .To view the encrypted content a VideoGuard UK equipped receiver -LRB- all of which are dedicated to the Sky service , and can not be used to decrypt other services -RRB- needs to be used .","Some broadcasts are free-to-air and unencrypted , some are encrypted but do not require a monthly subscription -LRB- known","what is free - to - view ?
",168,289
200,"The BBC was given the highlights of most of the matches , while BSkyB paying # 304m for the Premier League rights , would give them a monopoly of all live matches , up to 60 per year from the 1992 season .Murdoch described sport as a `` battering ram '' for pay-television , providing a strong customer base .A few weeks after the deal , ITV went to the High Court to get an injunction as it believed their bid details had been leaked before the decision was taken .","a `` battering ram '' for pay-television , providing a strong customer base .","how did murdoch describe the premier league ?
",232,308
201,"The BBC was given the highlights of most of the matches , while BSkyB paying # 304m for the Premier League rights , would give them a monopoly of all live matches , up to 60 per year from the 1992 season .Murdoch described sport as a `` battering ram '' for pay-television , providing a strong customer base .A few weeks after the deal , ITV went to the High Court to get an injunction as it believed their bid details had been leaked before the decision was taken .",Murdoch described sport,"what did murdoch say was a battering ram for pay television ?
",205,227
202,"Murdoch described sport as a `` battering ram '' for pay-television , providing a strong customer base .A few weeks after the deal , ITV went to the High Court to get an injunction as it believed their bid details had been leaked before the decision was taken .ITV also asked the Office of Fair Trading to investigate since it believed Rupert Murdoch 's media empire via its newspapers had influenced the deal .",it believed their bid details had been leaked before the decision was taken .,"why did itv go to the high court ?
",184,260
203,"Murdoch described sport as a `` battering ram '' for pay-television , providing a strong customer base .A few weeks after the deal , ITV went to the High Court to get an injunction as it believed their bid details had been leaked before the decision was taken .ITV also asked the Office of Fair Trading to investigate since it believed Rupert Murdoch 's media empire via its newspapers had influenced the deal .","A few weeks after the deal , ITV went to the High Court to get an injunction","when did itv go to the high court to get an injunction
",104,179
204,"A few weeks after the deal , ITV went to the High Court to get an injunction as it believed their bid details had been leaked before the decision was taken .ITV also asked the Office of Fair Trading to investigate since it believed Rupert Murdoch 's media empire via its newspapers had influenced the deal .A few days later neither action took effect , ITV believed BSkyB was telephoned and informed of its # 262m bid , and Premier League advised BSkyB to increase its counter bid .",it believed Rupert Murdoch 's media empire via its newspapers had influenced the deal .,"why did itv ask the office of fair trading to investigate ?
",220,306
205,"A few weeks after the deal , ITV went to the High Court to get an injunction as it believed their bid details had been leaked before the decision was taken .ITV also asked the Office of Fair Trading to investigate since it believed Rupert Murdoch 's media empire via its newspapers had influenced the deal .A few days later neither action took effect , ITV believed BSkyB was telephoned and informed of its # 262m bid , and Premier League advised BSkyB to increase its counter bid .",ITV also asked the Office of Fair Trading to investigate,"who did itv ask to investigate the leaked bid details ?
",157,212
206,"BSkyB 's direct-to-home satellite service became available in 10 million homes in 2010 , Europe 's first pay-TV platform in to achieve that milestone .Confirming it had reached its target , the broadcaster said its reach into 36 % of households in the UK represented an audience of more than 25m people .The target was first announced in August 2004 , since then an additional 2 .",Confirming it had reached its target,"when did bskyb announce its reach into 36 % of households ?
",151,186
207,"BSkyB 's direct-to-home satellite service became available in 10 million homes in 2010 , Europe 's first pay-TV platform in to achieve that milestone .Confirming it had reached its target , the broadcaster said its reach into 36 % of households in the UK represented an audience of more than 25m people .The target was first announced in August 2004 , since then an additional 2 .",the broadcaster said its reach into 36 % of households in the UK represented an audience of more than 25m people .,"how many households did bskyb reach in 2010 ?
",190,303
208,"Confirming it had reached its target , the broadcaster said its reach into 36 % of households in the UK represented an audience of more than 25m people .The target was first announced in August 2004 , since then an additional 2 .4m customers had subscribed to BSkyB 's direct-to-home service .",then an additional 2 . 4m customers had subscribed to BSkyB 's direct-to-home service,"how many customers subscribed to bskyb ' s direct - to - home service ?
",-1,83
209,"Confirming it had reached its target , the broadcaster said its reach into 36 % of households in the UK represented an audience of more than 25m people .The target was first announced in August 2004 , since then an additional 2 .4m customers had subscribed to BSkyB 's direct-to-home service .",The target was first announced in August 2004,"when was bskyb ' s target target ?
",153,197
210,"Media commentators had debated whether the figure could be reached as the growth in subscriber numbers elsewhere in Europe flattened .The Daily Mail newspaper reported in 2012 that the UK government 's benefits agency was checking claimants ' `` Sky TV bills to establish if a woman in receipt of benefits as a single mother is wrongly claiming to be living alone '' -- as , it claimed , subscription to sports channels would betray a man 's presence in the household .In December , the UK 's parliament heard a claim that a subscription to BSkyB was ` often damaging ' , along with alcohol , tobacco and gambling .","a single mother is wrongly claiming to be living alone '' -- as , it claimed , subscription to sports channels would betray a man 's presence in the household .","why was the uk government checking claimants for sky tv bills ?
",309,468
211,"Media commentators had debated whether the figure could be reached as the growth in subscriber numbers elsewhere in Europe flattened .The Daily Mail newspaper reported in 2012 that the UK government 's benefits agency was checking claimants ' `` Sky TV bills to establish if a woman in receipt of benefits as a single mother is wrongly claiming to be living alone '' -- as , it claimed , subscription to sports channels would betray a man 's presence in the household .In December , the UK 's parliament heard a claim that a subscription to BSkyB was ` often damaging ' , along with alcohol , tobacco and gambling .",The Daily Mail newspaper reported in 2012 that the UK government 's benefits agency was checking claimants ' `` Sky TV bills to establish if a woman in receipt of benefits,"what did the daily mail report in 2012 ?
",134,304
212,"Conservative MP Alec Shelbrooke was proposing the payments of benefits and tax credits on a `` Welfare Cash Card '' , in the style of the Supplemental Nutrition Assistance Program , that could be used to buy only `` essentials '' .The agreements include fixed annual carriage fees of # 30m for the channels with both channel suppliers able to secure additional capped payments if their channels meet certain performance-related targets .Currently there is no indication as to whether the new deal includes the additional Video On Demand and High Definition content which had previously been offered by BSkyB .",their channels meet certain performance-related targets .,"channel suppliers can secure additional capped payments if what ?
",380,436
213,"Conservative MP Alec Shelbrooke was proposing the payments of benefits and tax credits on a `` Welfare Cash Card '' , in the style of the Supplemental Nutrition Assistance Program , that could be used to buy only `` essentials '' .The agreements include fixed annual carriage fees of # 30m for the channels with both channel suppliers able to secure additional capped payments if their channels meet certain performance-related targets .Currently there is no indication as to whether the new deal includes the additional Video On Demand and High Definition content which had previously been offered by BSkyB .",The agreements include fixed annual carriage fees of # 30m for the channels with both channel suppliers able to secure additional capped payments,"how much would the channel suppliers have to pay for the benefits ?
",231,375
214,"Currently there is no indication as to whether the new deal includes the additional Video On Demand and High Definition content which had previously been offered by BSkyB .As part of the agreements , both BSkyB and Virgin Media agreed to terminate all High Court proceedings against each other relating to the carriage of their respective basic channels .The economy of Victoria is highly diversified : service sectors including financial and property services , health , education , wholesale , retail , hospitality and manufacturing constitute the majority of employment .","part of the agreements , both BSkyB and Virgin Media agreed to terminate all High Court proceedings against each other relating to the carriage of their respective basic channels .","what happened to the high court proceedings between bskyb and virgin media ?
",175,354
