,Unnamed: 0,Unnamed: 0.1,PatternID,Text,Cause,Effect,cause_question,effect_question
83,83,84,80,"The UK refused to sign the Social Charter and was exempt from the legislation covering Social Charter issues unless it agreed to be bound by the legislation. The UK subsequently was the only member state to veto the Social Charter being included as the ""Social Chapter"" of the 1992 Maastricht Treaty-instead, an Agreement on Social Policy was added as a protocol. Again, the UK was exempt from legislation arising from the protocol, unless it agreed to be bound by it.","the ""Social Chapter"" of the 1992 Maastricht Treaty-instead, an Agreement on Social Policy was added as a",The UK subsequently was the only member state to veto the Social Charter being included,"for what purpose did the uk veto the social charter being included ?
","why was the uk not included as the "" social chapter "" of the 1992 maastricht treaty ?
"
84,84,85,80,"The UK refused to sign the Social Charter and was exempt from the legislation covering Social Charter issues unless it agreed to be bound by the legislation. The UK subsequently was the only member state to veto the Social Charter being included as the ""Social Chapter"" of the 1992 Maastricht Treaty-instead, an Agreement on Social Policy was added as a protocol. Again, the UK was exempt from legislation arising from the protocol, unless it agreed to be bound by it.","Social Chapter"" of the 1992 Maastricht Treaty-instead, an Agreement on Social Policy was added as a","the ""Social Chapter"" of the 1992 Maastricht Treaty-instead, an Agreement on Social Policy was added","why was the uk the only member state to veto the social charter being included ?
","why did the uk veto the social charter being included ?
"
85,85,86,80,"EU Competition law has its origins in the European Coal and Steel Community (ECSC) agreement between France, Italy, Belgium, the Netherlands, Luxembourg and Germany in 1951 following the second World War. The agreement aimed to prevent Germany from re-establishing dominance in the production of coal and steel as members felt that its dominance had contributed to the outbreak of the war. Article 65 of the agreement banned cartels and article 66 made provisions for concentrations, or mergers, and the abuse of a dominant position by companies.",members felt that its dominance had contributed to the outbreak of the war,The agreement aimed to prevent Germany from re-establishing dominance in the production of coal and steel,"why did the ecsc aim to prevent germany from reestablishing dominance in the production of coal and steel ?
","for what purpose was the european coal and steel community ( ecsc ) agreement signed in 1951 following the second world war ?
"
86,86,87,80,"The treaty also established principles on competition law for member states, with article 90 covering public undertakings, and article 92 making provisions on state aid. Regulations on mergers were not included as member states could not establish consensus on the issue at the time. ",member states could not establish consensus on the issue at the time,Regulations on mergers were not included,"why were regulations on mergers not included in the treaty ?
","what was not included as member states could not establish consensus on the issue at the time ?
"
87,87,88,80,"'' In addition, although not clearly listed, environmental protection can justify restrictions on trade as an overriding requirement derived from TFEU article 11. More generally, it has been increasingly acknowledged that fundamental human rights should take priority over all trade rules.",an overriding requirement derived from TFEU article,"In addition, although not clearly listed, environmental protection can justify restrictions on trade","why can environmental protection justify restrictions on trade ?
","why is environmental protection an overriding requirement derived from tfeu article 11 ?
"
88,88,89,80,"The aim of the law was to prevent cut throat competition, not to hinder trade. The Court of Justice held, as ""in law and in fact"" it was an equally applicable ""selling arrangement"" (not something that alters a product 's content) it was outside the scope of article 34, and so did not need to be justified.","in law and in fact"" it was an equally applicable ""selling arrangement"" (not something that alters a product 's content)",The Court of Justice held,"why did the court of justice hold it was outside the scope of article 34 ?
","what court held it was an equally applicable "" selling arrangement "" ?
"
89,89,90,80,"By contrast a citizen, who is ""any person having the nationality of a Member State"" (TFEU article 20 (1)), has rights to seek work, vote in local and European elections, but more restricted rights to claim social security. In practice, free movement has become politically contentious as nationalist political parties have manipulated fears about immigrants taking away people 's jobs and benefits (paradoxically at the same time). Nevertheless, practically ""all available research finds little impact"" of ""labour mobility on wages and employment of local workers"".",nationalist political parties have manipulated fears about immigrants taking away people 's jobs and benefits (paradoxically at the same time),"In practice, free movement has become politically contentious","why has free movement become politically contentious ?
","have nationalist political parties manipulated fears about immigrants taking away people ' s jobs and benefits ?
"
90,90,91,80,"In Reyners v Belgium the Court of Justice held that a refusal to admit a lawyer to the Belgian bar because he lacked Belgian nationality was unjustified. TFEU article 49 says states are exempt from infringing others ' freedom of establishment when they exercise ""official authority"", but this did an advocate 's work (as opposed to a court 's) was not official. By contrast in Commission v Italy the Court of Justice held that a requirement for lawyers in Italy to comply with maximum tariffs unless there was an agreement with a client was not a restriction.",opposed to a court 's) was not official,"TFEU article 49 says states are exempt from infringing others ' freedom of establishment when they exercise ""official authority"", but this did an advocate 's work (","why was an advocate ' s work not official ?
","why was reyners v belgium unjustified ?
"
91,91,92,80,"This meant the Daily Mail newspaper 's parent company could not evade tax by shifting its residence to the Netherlands without first settling its tax bills in the UK. The UK did not need to justify its action, as rules on company seats were not yet harmonised. By contrast, in Centros Ltd v Erhversus-og Selkabssyrelsen the Court of Justice found that a UK limited company operating in Denmark could not be required to comply with Denmark 's minimum share capital rules.",rules on company seats were not yet harmonised,The UK did not need to justify its action,"why did the uk not need to justify its action ?
","why did the daily mail newspaper ' s parent company move its residence to the netherlands without settling its tax bills in the uk ?
"
92,92,93,80," For a long time, it was thought that the Amazon rainforest was only ever sparsely populated, as it was impossible to sustain a large population through agriculture given the poor soil. Archeologist Betty Meggers was a prominent proponent of this idea, as described in her book Amazonia: Man and Culture in a Counterfeit Paradise.",it was impossible to sustain a large population through agriculture given the poor soil,"For a long time, it was thought that the Amazon rainforest was only ever sparsely populated","why was it thought that the amazon rainforest was only ever sparsely populated ?
","why was it thought that the amazon rainforest could not sustain a large population through agriculture ?
"
93,93,94,80,"In ctenophores, these layers are two cells deep, while those in cnidarians are only one cell deep. Some authors combined ctenophores and cnidarians in one phylum, Coelenterata, as both groups rely on water flow through the body cavity for both digestion and respiration. Increasing awareness of the differences persuaded more recent authors to classify them as separate phyla.",both groups rely on water flow through the body cavity for both digestion and respiration,"In ctenophores, these layers are two cells deep, while those in cnidarians are only one cell deep. Some authors combined ctenophores and cnidarians in one phylum, Coelenterata","why did some authors combine ctenophores and cnidarians in one phylum , coelenterata ?
","in what phylum do ctenophores and cnidarians rely on water flow through the body cavity for digestion and respiration ?
"
94,94,95,80,"Fertilization is generally external, although platyctenids ' eggs are fertilized inside their parents ' bodies and kept there until they hatch. The young are generally planktonic and in most species look like miniature cydippids, gradually changing into their adult shapes as they grow. The exceptions are the beroids, whose young are miniature beroids with large mouths and no tentacles, and the platyctenids, whose young live as cydippid-like plankton until they reach near-adult size, but then sink to the bottom and rapidly metamorphose into the adult form.",they grow,"young are generally planktonic and in most species look like miniature cydippids, gradually changing into their adult shapes","when do the young of platyctenids gradually change into their adult shapes ?
","what do the young look like as they grow ?
"
95,95,96,80,"The young are generally planktonic and in most species look like miniature cydippids, gradually changing into their adult shapes as they grow. The exceptions are the beroids, whose young are miniature beroids with large mouths and no tentacles, and the platyctenids, whose young live as cydippid-like plankton until they reach near-adult size, but then sink to the bottom and rapidly metamorphose into the adult form. In at least some species, juveniles are capable of reproduction before reaching the adult size and shape.",cydippid-like plankton until they reach near-adult size,"The exceptions are the beroids, whose young are miniature beroids with large mouths and no tentacles, and the platyctenids, whose young live","how do the platyctenids live ?
","are there any exceptions to the general planktonic nature of the young ?
"
96,96,97,80,"The situation was aggravated by other factors, such as over-fishing and long-term environmental changes that promoted the growth of the Mnemiopsis population. The later accidental introduction of Beroe helped to mitigate the problem, as Beroe preys on other ctenophores. ",Beroe preys on other ctenophores,The later accidental introduction of Beroe helped to mitigate the problem,"why did the accidental introduction of beroe help to mitigate the problem ?
","why did beroe prey on other ctenophores ?
"
97,97,98,80," Almost all species are hermaphrodites, in other words they function as both males and females at the same time--except that in two species of the genus Ocryopsis individuals remain of the same single sex all their lives. The gonads are located in the parts of the internal canal network under the comb rows, and eggs and sperm are released via pores in the epidermis.",both males and females at the same time--except that in two species of the genus Ocryopsis individuals remain of the same single sex all their,"Almost all species are hermaphrodites, in other words they function","how do almost all species of hermaphrodites function ?
","are all species hermaphrodites ?
"
98,98,99,80,"Members of the genus Haeckelia prey on jellyfish and incorporate their prey 's nematocysts (stinging cells) into their own tentacles instead of colloblasts. Ctenophores have been compared to spiders in their wide range of techniques from capturing prey--some hang motionless in the water using their tentacles as ""webs"", some are ambush predators like Salticid jumping spiders, and some dangle a sticky droplet at the end of a fine thread, as bolas spiders do. This variety explains the wide range of body forms in a phylum with rather few species.","webs"", some are ambush predators like Salticid jumping spiders, and some dangle a",some hang motionless in the water using their tentacles,"for what purpose do some ctenophores hang motionless in the water using their tentacles ?
","how do ctenophores capture prey ?
"
99,99,100,80,"This position would suggest that neural and muscle cell types were either lost in major animal lineages (e.g., Porifera) or that they evolved independently in the ctenophore lineage. However, other researchers have argued that the placement of Ctenophora as sister to all other animals is a statistical anomaly caused by the high rate of evolution in ctenophore genomes, and that Porifera (sponges) is the earliest-diverging animal phylum instead. Ctenophores and sponges are also the only known animal phyla that lack any true hox genes.","sister to all other animals is a statistical anomaly caused by the high rate of evolution in ctenophore genomes, and that Porifera (sponges) is the earliest-diverging animal phylum instead","However, other researchers have argued that the placement of Ctenophora","why have other researchers argued that the placement of ctenophora as sister to all other animals is an anomaly ?
","what is a statistical anomaly caused by the high rate of evolution in ctenophore genomes ?
"
100,100,101,80,"The Tower District neighborhood is just north of downtown Fresno proper, and one-half mile south of Fresno City College. Although the neighborhood was known as a residential area prior, the early commercial establishments of the Tower District began with small shops and services that flocked to the area shortly after World War II. The character of small local businesses largely remains today.","a residential area prior, the early commercial establishments of the Tower District began with small shops and services that flocked to the area shortly after World War II",the neighborhood was known,"what was the neighborhood known as before ?
","how was the tower district known as a residential area prior ?
"
101,101,102,80,"Another section, Brookhaven, on the southern edge of the West Side south of Jensen and west of Elm, was given the name by the Fresno City Council in an effort to revitalize the neighborhood 's image. The isolated subdivision was for years known as the ""Dogg Pound"" in reference to a local gang, and as of late 2008 was still known for high levels of violent crime. ","the ""Dogg Pound"" in reference to a local gang, and as of late 2008 was still known for high levels of violent crime",The isolated subdivision was for years known,"what was the isolated subdivision known as for years ?
","why was the subdivision known as the "" dogg pound "" ?
"
102,102,103,80,"Average annual precipitation is around 11.5 inches (292.1 mm), which, by definition, would classify the area as a semidesert. Most of the wind rose direction occurrences derive from the northwest, as winds are driven downward along the axis of the California Central Valley; in December, January and February there is an increased presence of southeastern wind directions in the wind rose statistics. Fresno meteorology was selected in a national U.S. Environmental Protection Agency study for analysis of equilibrium temperature for use of ten-year meteorological data to represent a warm, dry western United States locale.",winds are driven downward along the axis of the California Central Valley;,Most of the wind rose direction occurrences derive from the northwest,"why do most of the wind rose direction occurrences originate from the northwest ?
","where do most wind rose occurrences originate from ?
"
103,103,104,80," Baran developed the concept of distributed adaptive message block switching during his research at the RAND Corporation for the US Air Force into survivable communications networks, first presented to the Air Force in the summer of 1961 as briefing B-265, later published as RAND report P-2626 in 1962, and finally in report RM 3420 in 1964. Report P-2626 described a general architecture for a large-scale, distributed, survivable communications network.","briefing B-265, later published as RAND report P-2626 in 1962, and finally in report RM 3420 in 1964","Baran developed the concept of distributed adaptive message block switching during his research at the RAND Corporation for the US Air Force into survivable communications networks, first presented to the Air Force in the summer of 1961","for what purpose was the concept of distributed adaptive message block switching first presented to the air force in 1961 ?
","what did baran develop during his research at the rand corporation for the us air force
"
104,104,106,80,"Routing a packet requires the node to look up the connection id in a table. The packet header can be small, as it only needs to contain this code and any information, such as length, timestamp, or sequence number, which is different for different packets. ","it only needs to contain this code and any information, such as length, timestamp, or sequence number, which is different for different packets",The packet header can be small,"why can the packet header be small ?
","is the packet header small or large ?
"
105,105,107,145,"Frame Relay is a modified version of ISDN 's layer two protocol, LAPD and LAPB. As such, its integrity operations pertain only between nodes on a link, not end-to-end. Any retransmissions must be carried out by higher layer protocols.",such,"its integrity operations pertain only between nodes on a link, not end-to-end.","why does its integrity operations pertain only between nodes on a link , not end - to - end ?
","why is frame relay a modified version of lapd and lapb ?
"
106,106,108,80," Merit Network, Inc., an independent non-profit 501 (c) (3) corporation governed by Michigan 's public universities, was formed in 1966 as the Michigan Educational Research Information Triad to explore computer networking between three of Michigan 's public universities as a means to help the state 's educational and economic development. With initial support from the State of Michigan and the National Science Foundation (NSF), the packet-switched network was first demonstrated in December 1971 when an interactive host to host connection was made between the IBM mainframe computer systems at the University of Michigan in Ann Arbor and Wayne State University in Detroit.",the Michigan Educational Research Information Triad to explore computer networking between three of Michigan 's public universities as a means to help the state 's educational and economic development,"Merit Network, Inc., an independent non-profit 501 (c) (3) corporation governed by Michigan 's public universities, was formed in 1966","for what purpose was merit network , inc . formed in 1966 ?
","when was merit network , inc . formed ?
"
107,107,109,80," Merit Network, Inc., an independent non-profit 501 (c) (3) corporation governed by Michigan 's public universities, was formed in 1966 as the Michigan Educational Research Information Triad to explore computer networking between three of Michigan 's public universities as a means to help the state 's educational and economic development. With initial support from the State of Michigan and the National Science Foundation (NSF), the packet-switched network was first demonstrated in December 1971 when an interactive host to host connection was made between the IBM mainframe computer systems at the University of Michigan in Ann Arbor and Wayne State University in Detroit.",a means to help the state 's educational and economic,the Michigan Educational Research Information Triad to explore computer networking between three of Michigan 's public universities,"for what purpose was merit network , inc . formed in 1966 ?
","for what purpose was merit network , inc . formed in 1966 ?
"
108,108,110,80, The Very high-speed Backbone Network Service (vBNS) came on line in April 1995 as part of a National Science Foundation (NSF) sponsored project to provide high-speed interconnection between NSF-sponsored supercomputing centers and select access points in the United States. The network was engineered and operated by MCI Telecommunications under a cooperative agreement with the NSF.,part of a National Science Foundation (NSF) sponsored project to provide high-speed interconnection between NSF-sponsored supercomputing centers and select access points in the United States,The Very high-speed Backbone Network Service (vBNS) came on line in April 1995,"for what purpose did the very high - speed backbone network service come on line in april 1995 ?
","when did the network come on line ?
"
109,109,111,145,"The plague struck various countries in the Middle East during the pandemic, leading to serious depopulation and permanent change in both economic and social structures. As it spread to western Europe, the disease entered the region from southern Russia also. By autumn 1347, the plague reached Alexandria in Egypt, probably through the port 's trade with Constantinople, and ports on the Black Sea.",it spread to western Europe,the disease entered the region from southern Russia also.,"why did the disease enter the region from southern russia also ?
","how did the plague spread to western europe ?
"
110,110,112,145,"Symptoms include fever, cough, and blood-tinged sputum. As the disease progresses, sputum becomes free flowing and bright red. Septicemic plague is the least common of the three forms, with a mortality rate near 100%.",the disease progresses,sputum becomes free flowing and bright red.,"when does sputum become free flowing and bright red ?
","what happens as the disease progresses ?
"
111,111,113,80,"It is recognised that an epidemiological account of the plague is as important as an identification of symptoms, but researchers are hampered by the lack of reliable statistics from this period. Most work has been done on the spread of the plague in England, and even estimates of overall population at the start vary by over 100% as no census was undertaken between the time of publication of the Domesday Book and the year 1377. Estimates of plague victims are usually extrapolated from figures from the clergy.",no census was undertaken between the time of publication of the Domesday Book and the year 1377,"the spread of the plague in England, and even estimates of overall population at the start vary by over 100%","why do estimates of the population at the start vary by over 100 % ?
","what has most work been done on ?
"
112,112,114,80,"In addition to arguing that the rat population was insufficient to account for a bubonic plague pandemic, sceptics of the bubonic plague theory point out that the symptoms of the Black Death are not unique (and arguably in some accounts may differ from bubonic plague); that transference via fleas in goods was likely to be of marginal significance; and that the DNA results may be flawed and might not have been repeated elsewhere, despite extensive samples from other mass graves. Other arguments include the lack of accounts of the death of rats before outbreaks of plague between the 14th and 17th centuries; temperatures that are too cold in northern Europe for the survival of fleas; that, despite primitive transport systems, the spread of the Black Death was much faster than that of modern bubonic plague; that mortality rates of the Black Death appear to be very high; that, while modern bubonic plague is largely endemic as a rural disease, the Black Death indiscriminately struck urban and rural areas; and that the pattern of the Black Death, with major outbreaks in the same areas separated by 5 to 15 years, differs from modern bubonic plague--which often becomes endemic for decades with annual flare-ups. ","a rural disease, the Black Death indiscriminately struck urban and rural areas; and that the pattern of the Black Death, with major outbreaks in the same areas separated by 5 to 15 years, differs from modern bubonic plague--which often becomes endemic for decades with annual flare-ups","Other arguments include the lack of accounts of the death of rats before outbreaks of plague between the 14th and 17th centuries; temperatures that are too cold in northern Europe for the survival of fleas; that, despite primitive transport systems, the spread of the Black Death was much faster than that of modern bubonic plague; that mortality rates of the Black Death appear to be very high; that, while modern bubonic plague is largely endemic","why is modern bubonic plague largely endemic ?
","why is the spread of the black death indiscriminately struck urban and rural areas ?
"
113,113,115,80,"Twigg suggested that the cause was a form of anthrax, and Norman Cantor (2001) thought it may have been a combination of anthrax and other pandemics. Scott and Duncan have argued that the pandemic was a form of infectious disease that characterise as hemorrhagic plague similar to Ebola. Archaeologist Barney Sloane has argued that there is insufficient evidence of the extinction of a large number of rats in the archaeological record of the medieval waterfront in London and that the plague spread too quickly to support the thesis that the Y. pestis was spread from fleas on rats; he argues that transmission must have been person to person.",hemorrhagic plague similar to Ebola,Scott and Duncan have argued that the pandemic was a form of infectious disease that characterise,"what have scott and duncan argued the pandemic was a form of infectious disease that characterise as ?
","why was the pandemic similar to ebola ?
"
114,114,116,80,"A similar situation with igneous rocks occurs when xenoliths are found. These foreign bodies are picked up as magma or lava flows, and are incorporated, later to cool in the matrix. As a result, xenoliths are older than the rock which contains them.","magma or lava flows, and are incorporated, later to cool in the matrix",These foreign bodies are picked up,"what are these foreign bodies picked up as when igneous rocks are found ?
","what happens when xenoliths are found in igneous rocks ?
"
115,115,117,145,"The principle of faunal succession is based on the appearance of fossils in sedimentary rocks. As organisms exist at the same time period throughout the world, their presence or (sometimes) absence may be used to provide a relative age of the formations in which they are found. Based on principles laid out by William Smith almost a hundred years before the publication of Charles Darwin 's theory of evolution, the principles of succession were developed independently of evolutionary thought.",organisms exist at the same time period throughout the world,their presence or (sometimes) absence may be used to provide a relative age of the formations in which they are found.,"why may their presence or absence be used to provide a relative age of the formations in which they are found ?
","why do organisms exist at the same time period throughout the world ?
"
116,116,118,80,"The pharma (as it was referred to) often operated through a retail shop which, in addition to ingredients for medicines, sold tobacco and patent medicines. Often the place that did this was called an apothecary and several languages have this as the dominant term, though their practices are more akin to a modern pharmacy, in English the term apothecary would today be seen as outdated or only approproriate if herbal remedies were on offer to a large extent. The pharmas also used many other herbs not listed.","the dominant term, though their practices are more akin to a modern pharmacy",the place that did this was called an apothecary and several languages have this,"why do several languages have the term apothecary ?
","what was the dominant term for the pharma ?
"
117,117,119,80,In the UK the role of a PhT has grown and responsibility has been passed on to them to manage the pharmacy department and specialised areas in pharmacy practice allowing pharmacists the time to specialise in their expert field as medication consultants spending more time working with patients and in research. A pharmacy technician once qualified has to register as a professional on the General Pharmaceutical Council (GPhC) register. The GPhC is the governing body for pharmacy health care professionals and this is who regulates the practice of pharmacists and pharmacy technicians.,a professional on the General Pharmaceutical Council (GPhC) register,A pharmacy technician once qualified has to register,"a pharmacy technician once qualified has to register as what ?
","how does a pharmacy technician register as a professional on the general pharmaceutical council ( gphc ) register ?
"
118,118,120,80,"Abu al-Qasim al-Zahrawi (Abulcasis) (936--1013) pioneered the preparation of medicines by sublimation and distillation. His Liber servitoris is of particular interest, as it provides the reader with recipes and explains how to prepare the ` simples ' from which were compounded the complex drugs then generally used. Sabur Ibn Sahl (d 869), was, however, the first physician to initiate pharmacopoedia, describing a large variety of drugs and remedies for ailments.",it provides the reader with recipes and explains how to prepare the ` simples ' from which were compounded the complex drugs then generally used,His Liber servitoris is of particular interest,"why is his liber servitoris of particular interest ?
","for what purpose did abu al - qasim al - zahrawi provide the reader with recipes and explains how to prepare the ` simples ' from which were compounded complex drugs then generally used ?
"
119,119,121,80,"He devoted in fact a whole volume to simple drugs in The Canon of Medicine. Of great impact were also the works by al-Maridini of Baghdad and Cairo, and Ibn al-Wafid (1008--1074), both of which were printed in Latin more than fifty times, appearing as De Medicinis universalibus et particularibus by ` Mesue ' the younger, and the Medicamentis simplicibus by ` Abenguefit '. Peter of Abano (1250--1316) translated and added a supplement to the work of al-Maridini under the title De Veneris.","De Medicinis universalibus et particularibus by ` Mesue ' the younger, and the Medicamentis simplicibus by","impact were also the works by al-Maridini of Baghdad and Cairo, and Ibn al-Wafid (1008--1074), both of which were printed in Latin more than fifty times, appearing","what were the names of the works by al - maridini and ibn al - wafid ?
","of great impact were the works of whom ?
"
120,120,122,80,"many pharmacists practicing in hospitals gain more education and training after pharmacy school through a pharmacy practice residency and sometimes followed by another residency in a specific area. Those pharmacists are often referred to as clinical pharmacists and they often specialize in various disciplines of pharmacy. For example, there are pharmacists who specialize in hematology/oncology, HIV/AIDS, infectious disease, critical care, emergency medicine, toxicology, nuclear pharmacy, pain management, psychiatry, anti-coagulation clinics, herbal medicine, neurology/epilepsy management, pediatrics, neonatal pharmacists and more.",clinical pharmacists and they often specialize in various disciplines of,Those pharmacists are often referred to,"what are pharmacists who specialize in hematology / oncology often referred to as ?
","who are clinical pharmacists ?
"
121,121,123,80,"Traditionally consultant pharmacists were usually independent business owners, though in the United States many now work for several large pharmacy management companies (primarily Omnicare, Kindred Healthcare and PharMerica). This trend may be gradually reversing as consultant pharmacists begin to work directly with patients, primarily because many elderly people are now taking numerous medications but continue to live outside of institutional settings. Some community pharmacies employ consultant pharmacists and/or provide consulting services.","consultant pharmacists begin to work directly with patients, primarily",This trend may be gradually reversing,"why are many elderly people now taking numerous medications but still remain outside of institutional settings ?
","what happens as consultant pharmacists begin to work directly with patients ?
"
122,122,124,80,Some customers consider this to be more convenient and private method rather than traveling to a community drugstore where another customer might overhear about the drugs that they take. Internet pharmacies (also known as online pharmacies) are also recommended to some patients by their physicians if they are homebound. ,online pharmacies) are also recommended to,(also known,"what are internet pharmacies also known as by their physicians if they are homebound ?
","for what purpose are internet pharmacies recommended to some patients if they are homebound ?
"
123,123,125,145,"Pharmacy informaticists work in many practice areas of pharmacy, however, they may also work in information technology departments or for healthcare information technology vendor companies. As a practice area and specialist domain, pharmacy informatics is growing quickly to meet the needs of major national and international patient information projects and health system interoperability goals. Pharmacists in this area are trained to participate in medication management system development, deployment and optimization.",a practice area and specialist domain,pharmacy informatics is growing quickly to meet the needs of major national and international patient information projects and health system interoperability goals.,"for what purpose is pharmacy informatics growing quickly to meet the needs of major national and international patient information projects ?
","for what purpose is pharmacy informatics growing ?
"
124,124,127,80," Non-revolutionary civil disobedience is a simple disobedience of laws on the grounds that they are judged ""wrong"" by an individual conscience, or as part of an effort to render certain laws ineffective, to cause their repeal, or to exert pressure to get one 's political wishes on some other issue. Revolutionary civil disobedience is more of an active attempt to overthrow a government (or to change cultural traditions, social customs, religious beliefs, etc...","part of an effort to render certain laws ineffective, to cause their repeal, or to exert pressure to get one 's political wishes on some other issue","they are judged ""wrong"" by an individual conscience, or","for what purpose does non - revolutionary civil disobedience occur ?
","why do non - revolutionary civil disobedience of laws occur ?
"
125,125,128,80,"An important decision for civil disobedients is whether or not to plead guilty. There is much debate on this point, as some believe that it is a civil disobedient 's duty to submit to the punishment prescribed by law, while others believe that defending oneself in court will increase the possibility of changing the unjust law. It has also been argued that either choice is compatible with the spirit of civil disobedience.","some believe that it is a civil disobedient 's duty to submit to the punishment prescribed by law, while others believe that defending oneself in court will increase the possibility of changing the unjust law",There is much debate on this point,"why is there so much debate on whether or not to plead guilty ?
","is it an important decision for civil disobedients to plead guilty ?
"
126,126,129,80,"I do n't deny it; in fact, I am proud of it. I feel I did the right thing by violating this particular law; I am guilty as charged,"" but that pleading not guilty sends a message of, ""Guilt implies wrong-doing. I feel I have done no wrong.","charged,"" but that pleading not guilty sends a message of, ""Guilt implies wrong-doing",I am guilty,"why do i feel i did the right thing ?
","what is the charge of violating this law ?
"
127,127,130,80,"The key point is that the spirit of protest should be maintained all the way, whether it is done by remaining in jail, or by evading it. To accept jail penitently as an accession to ` the rules ' is to switch suddenly to a spirit of subservience, to demean the seriousness of the protest... In particular, the neo-conservative insistence on a guilty plea should be eliminated.""","an accession to ` the rules ' is to switch suddenly to a spirit of subservience, to demean the seriousness of the protest","The key point is that the spirit of protest should be maintained all the way, whether it is done by remaining in jail, or by evading it. To accept jail penitently","to accept jail penitently as what ?
","why should the spirit of protest be maintained all the way ?
"
128,128,131,80," Steven Barkan writes that if defendants plead not guilty, ""they must decide whether their primary goal will be to win an acquittal and avoid imprisonment or a fine, or to use the proceedings as a forum to inform the jury and the public of the political circumstances surrounding the case and their reasons for breaking the law via civil disobedience. '' A technical defense may enhance the chances for acquittal but make for more boring proceedings and reduced press coverage.","Barkan writes that if defendants plead not guilty, ""they must decide whether their primary goal will be to win an acquittal and avoid imprisonment or a fine, or to use the proceedings as a","Steven Barkan writes that if defendants plead not guilty, ""they must decide whether their primary goal will be to win an acquittal and avoid imprisonment or a fine, or to use the proceedings","what does steven barkan write about the purpose of the proceedings ?
","why do defendants have to decide if they will win an acquittal or not ?
"
129,129,132,145,"Cost of construction on a per square meter (or per square foot) basis for houses can vary dramatically based on site conditions, local regulations, economies of scale (custom designed homes are often more expensive to build) and the availability of skilled tradespeople. As residential construction (as well as all other types of construction) can generate a lot of waste, careful planning again is needed here. ",residential construction ( as well as all other types of construction ) can generate a lot of waste,careful planning again is needed here.,"why is careful planning needed here ?
","as residential construction can generate a lot of waste , what is needed ?
"
130,130,133,80,"In a form of additive building construction, similar to the additive manufacturing techniques for manufactured parts, building printing is making it possible to flexibly construct small commercial buildings and private habitations in around 20 hours, with built-in plumbing and electrical facilities, in one continuous build, using large 3D printers. Working versions of 3D-printing building technology are already printing 2 metres (6 ft 7 in) of building material per hour as of January 2013-LSB-update-RSB-, with the next-generation printers capable of 3.5 metres (11 ft) per hour, sufficient to complete a building in a week. Dutch architect Janjaap Ruijssenaars 's performative architecture 3D-printed building is scheduled to be built in 2014.","of January 2013-LSB-update-RSB-, with the next-generation printers capable of 3.5 metres (11 ft) per hour, sufficient to complete a building in a week",Working versions of 3D-printing building technology are already printing 2 metres (6 ft 7 in) of building material per hour,"as of what date are working versions of 3d - printing building technology already printing 2 meters of building material per hour ?
","how much building material has been printed as of january 2013 ?
"
131,131,134,80,"In the past, architects, interior designers, engineers, developers, construction managers, and general contractors were more likely to be entirely separate companies, even in the larger firms. Presently, a firm that is nominally an ""architecture"" or ""construction management"" firm may have experts from all related fields as employees, or to have an associated company that provides each necessary skill. Thus, each such firm may offer itself as ""one-stop shopping"" for a construction project, from beginning to end.","employees, or to have an associated company that provides each necessary skill","Presently, a firm that is nominally an ""architecture"" or ""construction management"" firm may have experts from all related fields","for what purpose may an "" architecture "" or "" construction management "" firm have experts from all related fields ?
","why are architects , interior designers , engineers , developers , and general contractors now considered to be all separate companies ?
"
132,132,136,145,"Once these have been hired, they begin building the first phase of the project. As they build phase 1, they design phase 2. This is in contrast to a design-bid-build contract, where the project is completely designed by the owner, then bid on, then completed.",they build phase 1,they design phase 2.,"when do they design phase 2 ?
","as they build phase 1 , what do they do ?
"
133,133,137,145,"In the United States, the industry in 2014 has around $ 960 billion in annual revenue according to statistics tracked by the Census Bureau, of which $ 680 billion is private (split evenly between residential and nonresidential) and the remainder is government. As of 2005, there were about 667,000 firms employing 1 million contractors (200,000 general contractors, 38,000 heavy, and 432,000 specialty); the average contractor employed fewer than 10 employees. As a whole, the industry employed an estimated 5.8 million as of April 2013, with a 13.2% unemployment rate.",of 2005,"there were about 667,000 firms employing 1 million contractors (200,000 general contractors, 38,000 heavy, and 432,000 specialty); the average contractor employed fewer than 10 employees.","as of what year were there about 667 , 000 firms employing 1 million contractors ?
","how many contractors were there as of 2005 ?
"
134,134,138,145,"As of 2005, there were about 667,000 firms employing 1 million contractors (200,000 general contractors, 38,000 heavy, and 432,000 specialty); the average contractor employed fewer than 10 employees. As a whole, the industry employed an estimated 5.8 million as of April 2013, with a 13.2% unemployment rate. In the United States, approximately 828,000 women were employed in the construction industry as of 2011.",a whole,"the industry employed an estimated 5.8 million as of April 2013, with a 13.2% unemployment rate.","for what purpose did the construction industry employ 5 . 8 million as of april 2013 ?
","how many people worked in the construction industry as of april 2013 ?
"
