,Pattern_id,Text,Cause,Effect,cause_question,effect_question
260,80,"Generally speaking , while all member states recognise that EU law takes primacy over national law where this agreed in the Treaties , they do not accept that the Court of Justice has the final say on foundational constitutional questions affecting democracy and human rights .In the United Kingdom , the basic principle is that Parliament , as the sovereign expression of democratic legitimacy , can decide whether it wishes to expressly legislate against EU law .This , however , would only happen in the case of an express wish of the people to withdraw from the EU .","the sovereign expression of democratic legitimacy , can decide whether it wishes to expressly legislate against EU law .","In the United Kingdom , the basic principle is that Parliament","what is the basic principle in the united kingdom ?
","in what country can parliament decide whether it wishes to expressly legislate against eu law ?
"
261,0,"This , however , would only happen in the case of an express wish of the people to withdraw from the EU .It was held in R -LRB- Factortame Ltd -RRB- v Secretary of State for Transport that `` whatever limitation of its sovereignty Parliament accepted when it enacted the European Communities Act 1972 was entirely voluntary '' and so `` it has always been clear '' that UK courts have a duty `` to override any rule of national law found to be in conflict with any directly enforceable rule of Community law .More recently the UK Supreme Court noted that in R -LRB- HS2 Action Alliance Ltd -RRB- v Secretary of State for Transport , although the UK constitution is uncodified , there could be `` fundamental principles '' of common law , and Parliament `` did not either contemplate or authorise the abrogation '' of those principles when it enacted the European Communities Act 1972 .",It was held in R -LRB- Factortame Ltd -RRB- v Secretary of State for Transport that `` whatever limitation of its sovereignty Parliament accepted when it enacted the European Communities Act 1972 was entirely voluntary '',`` it has always been clear '' that UK courts have a duty `` to override any rule of national law found to be in conflict with any directly enforceable rule of Community,"what was held in r lrb - factortame ltd . - rrb - v secretary of state for transport ?
","what did the uk supreme court say in r lrb - factortame ltd . v secretary of state for transport ?
"
262,15,"More recently the UK Supreme Court noted that in R -LRB- HS2 Action Alliance Ltd -RRB- v Secretary of State for Transport , although the UK constitution is uncodified , there could be `` fundamental principles '' of common law , and Parliament `` did not either contemplate or authorise the abrogation '' of those principles when it enacted the European Communities Act 1972 .The view of the German Constitutional Court from the Solange I and Solange II decisions is that if the EU does not comply with its basic constitutional rights and principles -LRB- particularly democracy , the rule of law and the social state principles -RRB- then it can not override German law .However , as the nicknames of the judgments go , `` so long as '' the EU works towards the democratisation of its institutions , and has a framework that protects fundamental human rights , it would not review EU legislation for compatibility with German constitutional principles .",the EU does not comply with its basic constitutional rights and principles -LRB- particularly democracy,the rule of law and the social state principles -RRB- then it can not override German law .,"what does the german constitutional court believe the eu cannot override german law ?
","what principles did the german constitutional court say the eu cannot override german law ?
"
263,82,"The view of the German Constitutional Court from the Solange I and Solange II decisions is that if the EU does not comply with its basic constitutional rights and principles -LRB- particularly democracy , the rule of law and the social state principles -RRB- then it can not override German law .However , as the nicknames of the judgments go , `` so long as '' the EU works towards the democratisation of its institutions , and has a framework that protects fundamental human rights , it would not review EU legislation for compatibility with German constitutional principles .Most other member states have expressed similar reservations .","However , as the nicknames of the judgments go , `` so long","protects fundamental human rights , it would not review EU legislation for compatibility with German constitutional principles .","how long does it take for the german constitutional court to believe the eu can override german law ?
","what does the german constitutional court believe the eu can override german law ?
"
264,14,"Both member states and the Commission have a general legal right or `` standing '' -LRB- locus standi -RRB- to bring claims against EU institutions and other member states for breach of the treaties .From the EU 's foundation , the Court of Justice also held that the Treaties allowed citizens or corporations to bring claims against EU and member state institutions for violation of the Treaties and Regulations , if they were properly interpreted as creating rights and obligations .However , under Directives , citizens or corporations were said in 1986 to not be allowed to bring claims against other non-state parties .",they were properly interpreted as creating rights and obligations .,"From the EU 's foundation , the Court of Justice also held that the Treaties allowed citizens or corporations to bring claims against EU and member state institutions for violation of the Treaties and Regulations ,","the court of justice held that citizens or corporations could bring claims against eu and member state institutions for violation of the treaties and regulations ?
","what did the court of justice hold about the treaties ?
"
265,14,"However , under Directives , citizens or corporations were said in 1986 to not be allowed to bring claims against other non-state parties .This meant courts of member states were not bound to apply an EU law where a national rule conflicted , even though the member state government could be sued , if it would impose an obligation on another citizen or corporation .These rules on `` direct effect '' limit the extent to which member state courts are bound to administer EU law .",it would impose an obligation on another citizen or corporation .,"This meant courts of member states were not bound to apply an EU law where a national rule conflicted , even though the member state government could be sued ,","what could a member state government be sued for ?
","what was the benefit of the directives ?
"
266,15,"Although it is generally accepted that EU law has primacy , not all EU laws give citizens standing to bring claims : that is , not all EU laws have `` direct effect '' .In Van Gend en Loos v Nederlandse Administratie der Belastingen it was held that the provisions of the Treaties -LRB- and EU Regulations -RRB- are directly effective , if they are -LRB- 1 -RRB- clear and unambiguous -LRB- 2 -RRB- unconditional , and -LRB- 3 -RRB- did not require EU or national authorities to take further action to implement them .Van Gend en Loos , a postal company , claimed that what is now TFEU article 30 prevented the Dutch Customs Authorities charging tariffs , when it imported urea-formaldehyde plastics from Germany to the Netherlands .",they are -LRB- 1 -RRB- clear and unambiguous -LRB- 2 -RRB- unconditional,and -LRB- 3 -RRB- did not require EU or national authorities to take further action to implement them .,"what criteria were used to determine if the provisions of the treaties - lrb and eu regulations - rrb - are directly effective ?
","in van gend en loos v nederlandse administratie der belastingen it was held that the provisions of the treaties - lrb - and eu regulations - rrb - are directly effective if they are clear and unambiguous , and what else ?
"
267,0,"Van Gend en Loos , a postal company , claimed that what is now TFEU article 30 prevented the Dutch Customs Authorities charging tariffs , when it imported urea-formaldehyde plastics from Germany to the Netherlands .After a Dutch court made a reference , the Court of Justice held that even though the Treaties did not `` expressly '' confer a right on citizens or companies to bring claims , they could do so .Historically , international treaties had only allowed states to have legal claims for their enforcement , but the Court of Justice proclaimed `` the Community constitutes a new legal order of international law '' .","After a Dutch court made a reference , the Court of Justice held that even though the Treaties did not `` expressly '' confer a right on citizens or companies to bring claims , they could do",". Historically , international treaties had only allowed states to have legal claims for their enforcement , but the Court of Justice proclaimed `` the Community constitutes a new legal order of international law ''","what did the court of justice hold ?
","what did the court of justice say about this claim ?
"
268,76,"Historically , international treaties had only allowed states to have legal claims for their enforcement , but the Court of Justice proclaimed `` the Community constitutes a new legal order of international law '' .Because article 30 clearly , unconditionally and immediately stated that no quantitative restrictions could be placed on trade , without a good justification , Van Gend en Loos could recover the money it paid for the tariff .EU Regulations are the same as Treaty provisions in this sense , because as TFEU article 288 states , they are ` directly applicable in all Member States ' .","article 30 clearly , unconditionally and immediately stated that no quantitative restrictions could be placed on trade , without a good justification , Van Gend en Loos could recover the money it paid for the tariff .","Historically , international treaties had only allowed states to have legal claims for their enforcement , but the Court of Justice proclaimed `` the Community constitutes a new legal order of international law '' .","why did the court of justice declare the community constitutes a new legal order of international law ?
","what did the court of justice declare about international treaties ?
"
269,76,"Because article 30 clearly , unconditionally and immediately stated that no quantitative restrictions could be placed on trade , without a good justification , Van Gend en Loos could recover the money it paid for the tariff .EU Regulations are the same as Treaty provisions in this sense , because as TFEU article 288 states , they are ` directly applicable in all Member States ' .Moreover , member states comes under a duty not to replicate Regulations in their own law , in order to prevent confusion .","as TFEU article 288 states , they are ` directly applicable in all Member States ' .",EU Regulations are the same as Treaty provisions in this sense,"why are eu regulations the same as treaty provisions ?
","why are eu regulations similar to treaty provisions ?
"
270,67,"Moreover , member states comes under a duty not to replicate Regulations in their own law , in order to prevent confusion .For instance , in Commission v Italy the Court of Justice held that Italy had breached a duty under the Treaties , both by failing to operate a scheme to pay farmers a premium to slaughter cows -LRB- to reduce dairy overproduction -RRB- , and by reproducing the rules in a decree with various additions .`` Regulations , '' held the Court of Justice , `` come into force solely by virtue of their publication '' and implementation could have the effect of `` jeopardizing their simultaneous and uniform application in the whole of the Union .",failing to operate a scheme to pay farmers a premium to slaughter cows -LRB- to reduce dairy overproduction -RRB-,", and","what did the court of justice hold that italy had breached a duty under the treaties ?
","the court of justice held that italy had breached a duty under the treaties by failing to operate a scheme to pay farmers a premium to slaughter cows , and by reproducing rules with various additions ?
"
271,14,"On the other hand , some Regulations may themselves expressly require implementing measures , in which case those specific rules should be followed .While the Treaties and Regulations will have direct effect -LRB- if clear , unconditional and immediate -RRB- , Directives do not generally give citizens -LRB- as opposed to the member state -RRB- standing to sue other citizens .In theory , this is because TFEU article 288 says Directives are addressed to the member states and usually `` leave to the national authorities the choice of form and methods '' to implement .","clear , unconditional and immediate -RRB- , Directives do not generally give citizens -LRB- as opposed to the member state -RRB- standing to sue other citizens .",the Treaties and Regulations will have direct effect -LRB-,"what is one way that directives can have direct effect on citizens ?
","what will happen if clear , unconditional and immediate - rrb ?
"
272,100,"While the Treaties and Regulations will have direct effect -LRB- if clear , unconditional and immediate -RRB- , Directives do not generally give citizens -LRB- as opposed to the member state -RRB- standing to sue other citizens .In theory , this is because TFEU article 288 says Directives are addressed to the member states and usually `` leave to the national authorities the choice of form and methods '' to implement .In part this reflects that directives often create minimum standards , leaving member states to apply higher standards .",TFEU article 288 says Directives are addressed to the member states and usually `` leave to the national authorities the choice of form and methods '' to implement .,"the Treaties and Regulations will have direct effect -LRB- if clear , unconditional and immediate -RRB- , Directives do not generally give citizens -LRB- as opposed to the member state -RRB- standing to sue other citizens . In theory","why does tfeu article 288 say directives are addressed to the member states ?
","why are directives not always the same ?
"
273,48,"For example , the Working Time Directive requires that every worker has at least 4 weeks paid holidays each year , but most member states require more than 28 days in national law .However , on the current position adopted by the Court of Justice , citizens have standing to make claims based on national laws that implement Directives , but not from Directives themselves .Directives do not have so called `` horizontal '' direct effect -LRB- i .","national laws that implement Directives , but not from Directives themselves .","However , on the current position adopted by the Court of Justice , citizens have standing to make claims","on the current position of the court of justice , citizens have standing to make claims based on what ?
","do citizens have standing to make claims based on national laws ?
"
274,0,"However , on the current position adopted by the Court of Justice , citizens have standing to make claims based on national laws that implement Directives , but not from Directives themselves .Directives do not have so called `` horizontal '' direct effect -LRB- i .e .",Directives do not have,called `` horizontal '' direct effect -LRB- i .,"what kind of direct effect do directives not have ?
","what do directives not have ?
"
275,0,"The Court of Justice refused , but there are five large exceptions .First , if a Directive 's deadline for implementation is not met , the member state can not enforce conflicting laws , and a citizen may rely on the Directive in such an action -LRB- so called `` vertical '' direct effect -RRB- .So , in Pubblico Ministero v Ratti because the Italian government had failed to implement a Directive 73/173/EEC on packaging and labelling solvents by the deadline , it was estopped from enforcing a conflicting national law from 1963 against Mr Ratti 's solvent and varnish business .","First , if a Directive 's deadline for implementation is not met , the member state can not enforce conflicting laws , and a citizen may rely on the Directive in such an action -LRB-",called `` vertical '' direct effect -RRB- .,"what are the five large exceptions to the directives ?
","what is the action called when a citizen can rely on a directive to enforce conflicting laws ?
"
276,15,"The Court of Justice refused , but there are five large exceptions .First , if a Directive 's deadline for implementation is not met , the member state can not enforce conflicting laws , and a citizen may rely on the Directive in such an action -LRB- so called `` vertical '' direct effect -RRB- .So , in Pubblico Ministero v Ratti because the Italian government had failed to implement a Directive 73/173/EEC on packaging and labelling solvents by the deadline , it was estopped from enforcing a conflicting national law from 1963 against Mr Ratti 's solvent and varnish business .",a Directive 's deadline for implementation is not met,"the member state can not enforce conflicting laws , and a citizen","when can a member state not enforce conflicting laws ?
","what happens if a directive ' s deadline is not met ?
"
277,0,"First , if a Directive 's deadline for implementation is not met , the member state can not enforce conflicting laws , and a citizen may rely on the Directive in such an action -LRB- so called `` vertical '' direct effect -RRB- .So , in Pubblico Ministero v Ratti because the Italian government had failed to implement a Directive 73/173/EEC on packaging and labelling solvents by the deadline , it was estopped from enforcing a conflicting national law from 1963 against Mr Ratti 's solvent and varnish business .A member state could `` not rely , as against individuals , on its own failure to perform the obligations which the Directive entails .",", if a Directive 's deadline for implementation is not met , the member state can not enforce conflicting laws , and a citizen may rely on the Directive in such an action -LRB- so called `` vertical '' direct effect -RRB-","in Pubblico Ministero v Ratti because the Italian government had failed to implement a Directive 73/173/EEC on packaging and labelling solvents by the deadline , it was estopped from enforcing a conflicting national law from 1963 against Mr Ratti 's solvent and varnish business .","what is one way a member state can enforce a directive ' s laws ?
","why was the italian government estopped from enforcing a national law ?
"
278,0,"Second , a citizen or company can invoke a Directive , not just in a dispute with a public authority , but in a dispute with another citizen or company .So , in CIA Security v Signalson and Securitel the Court of Justice held that a business called CIA Security could defend itself from allegations by competitors that it had not complied with a Belgian decree from 1991 about alarm systems , on the basis that it had not been notified to the Commission as a Directive required .Third , if a Directive gives expression to a `` general principle '' of EU law , it can be invoked between private non-state parties before its deadline for implementation .","Second , a citizen or company can invoke a Directive , not just in a dispute with a public authority , but in a dispute with another citizen or company","in CIA Security v Signalson and Securitel the Court of Justice held that a business called CIA Security could defend itself from allegations by competitors that it had not complied with a Belgian decree from 1991 about alarm systems , on the basis that it had not been notified to the Commission as a Directive required .","what is one way a citizen can invoke a directive ?
","what did the court of justice hold in cia security v signalson and securitel ?
"
279,76,"She claimed that the law not counting her years under age 25 was unlawful age discrimination under the Employment Equality Framework Directive .The Court of Justice held that the Directive could be relied on by her because equality was also a general principle of EU law .Third , if the defendant is an emanation of the state , even if not central government , it can still be bound by Directives .",equality was also a general principle of EU law .,The Court of Justice held that the Directive could be relied on by her,"why did the court of justice hold that the directive could be relied on ?
","what did the court of justice hold about the directive ?
"
280,80,"In Foster v British Gas plc the Court of Justice held that Mrs Foster was entitled to bring a sex discrimination claim against her employer , British Gas plc , which made women retire at age 60 and men at 65 , if -LRB- 1 -RRB- pursuant to a state measure , -LRB- 2 -RRB- it provided a public service , and -LRB- 3 -RRB- had special powers .This could also be true if the enterprise is privatised , as it was held with a water company that was responsible for basic water provision .Fourth , national courts have a duty to interpret domestic law `` as far as possible in the light of the wording and purpose of the directive '' .",it was held with a water company that was responsible for basic water provision .,This could also be true if the enterprise is privatised,"how can a privatised enterprise be held to have special powers ?
","what could be true if the enterprise is privatised ?
"
281,14,"In Foster v British Gas plc the Court of Justice held that Mrs Foster was entitled to bring a sex discrimination claim against her employer , British Gas plc , which made women retire at age 60 and men at 65 , if -LRB- 1 -RRB- pursuant to a state measure , -LRB- 2 -RRB- it provided a public service , and -LRB- 3 -RRB- had special powers .This could also be true if the enterprise is privatised , as it was held with a water company that was responsible for basic water provision .Fourth , national courts have a duty to interpret domestic law `` as far as possible in the light of the wording and purpose of the directive '' .",the enterprise is privatised,This could also be true,"when can a claim be brought against british gas plc ?
","what could happen if the enterprise is privatised ?
"
282,90,"Textbooks -LRB- though not the Court itself -RRB- often called this `` indirect effect '' .In Marleasing SA v La Comercial SA the Court of Justice held that a Spanish Court had to interpret its general Civil Code provisions , on contracts lacking cause or defrauding creditors , to conform with the First Company Law Directive article 11 , that required incorporations would only be nullified for a fixed list of reasons .The Court of Justice quickly acknowledged that the duty of interpretation can not contradict plain words in a national statute .",incorporations,"In Marleasing SA v La Comercial SA the Court of Justice held that a Spanish Court had to interpret its general Civil Code provisions , on contracts lacking cause or defrauding creditors , to conform with the First Company Law Directive article 11","what would only be nullified for a fixed list of reasons ?
","in what case did the spanish court hold that incorporations would only be nullified for a fixed list of reasons ?
"
283,15,"The Court of Justice quickly acknowledged that the duty of interpretation can not contradict plain words in a national statute .But , fifth , if a member state has failed to implement a Directive , a citizen may not be able to bring claims against other non-state parties , but can sue the member state itself for failure to implement the law .So , in Francovich v Italy , the Italian government had failed to set up an insurance fund for employees to claim unpaid wages if their employers had gone insolvent , as the Insolvency Protection Directive required .",a member state has failed to implement a Directive,"a citizen may not be able to bring claims against other non-state parties , but can sue the member state itself for failure to implement the law .","what can cause a citizen to not be able to bring claims against non - state parties ?
","what happens if a member state has failed to implement a directive ?
"
284,0,"But , fifth , if a member state has failed to implement a Directive , a citizen may not be able to bring claims against other non-state parties , but can sue the member state itself for failure to implement the law .So , in Francovich v Italy , the Italian government had failed to set up an insurance fund for employees to claim unpaid wages if their employers had gone insolvent , as the Insolvency Protection Directive required .Francovich , the former employee of a bankrupt Venetian firm , was therefore allowed to claim 6 million Lira from the Italian government in damages for his loss .","But , fifth , if a member state has failed to implement a Directive , a citizen may not be able to bring claims against other non-state parties , but can sue the member state itself for failure to implement the law","in Francovich v Italy , the Italian government had failed to set up an insurance fund for employees to claim unpaid wages if their employers had gone insolvent , as the Insolvency Protection Directive required .","what happens if a member state fails to implement a directive ?
","what was the case of francovich v italy ?
"
285,1,"So , in Francovich v Italy , the Italian government had failed to set up an insurance fund for employees to claim unpaid wages if their employers had gone insolvent , as the Insolvency Protection Directive required .Francovich , the former employee of a bankrupt Venetian firm , was therefore allowed to claim 6 million Lira from the Italian government in damages for his loss .The Court of Justice held that if a Directive would confer identifiable rights on individuals , and there is a causal link between a member state 's violation of EU and a claimant 's loss , damages must be paid .","Francovich , the former employee of a bankrupt Venetian firm , was",allowed to claim 6 million Lira from the Italian government in damages for his loss .,"who was allowed to claim 6 million lira in damages ?
","what was francovich allowed to do in relation to his loss ?
"
286,15,"Francovich , the former employee of a bankrupt Venetian firm , was therefore allowed to claim 6 million Lira from the Italian government in damages for his loss .The Court of Justice held that if a Directive would confer identifiable rights on individuals , and there is a causal link between a member state 's violation of EU and a claimant 's loss , damages must be paid .The fact that the incompatible law is an Act of Parliament is no defence .",a Directive would confer identifiable rights on individuals,"and there is a causal link between a member state 's violation of EU and a claimant 's loss , damages must be paid .","the court of justice held that damages must be paid if what ?
","what must be paid if a directive would confer identifiable rights on individuals ?
"
287,79,"Accepted general principles of European Union Law include fundamental rights -LRB- see human rights -RRB- , proportionality , legal certainty , equality before the law and subsidiarity .Proportionality is recognised one of the general principles of European Union law by the European Court of Justice since the 1950s .According to the general principle of proportionality the lawfulness of an action depends on whether it was appropriate and necessary to achieve the objectives legitimately pursued .",the 1950s . According to the general principle of proportionality the lawfulness of an action depends on whether it was appropriate and necessary to achieve the objectives legitimately pursued,Proportionality is recognised one of the general principles of European Union law by the European Court of Justice,"when was proportionality recognized by the european court of justice ?
","is proportionality recognized by the european court of justice ?
"
288,79,"The principle of proportionality is also recognised in Article 5 of the EC Treaty , stating that `` any action by the Community shall not go beyond what is necessary to achieve the objectives of this Treaty '' .The concept of legal certainty is recognised one of the general principles of European Union law by the European Court of Justice since the 1960s .It is an important general principle of international law and public law , which predates European Union law .","the 1960s . It is an important general principle of international law and public law , which predates European Union law",The concept of legal certainty is recognised one of the general principles of European Union law by the European Court of Justice,"when was the concept of legal certainty recognized by the european court of justice ?
","what is one of the general principles of european union law
"
289,77,"The adoption of laws which will have legal effect in the European Union must have a proper legal basis .Legislation in member states which implements European Union law must be worded so that it is clearly understandable by those who are subject to the law .In European Union law the general principle of legal certainty prohibits Ex post facto laws , i .",Legislation in member states which implements European Union law must be worded,it is clearly understandable by those who are subject to the law .,"what must be done to make the european union law understandable by those who are subject to the law ?
","what must legislation in member states which implements european union law be worded so that it is understood by whom ?
"
290,80,"The doctrine of legitimate expectation , which has its roots in the principles of legal certainty and good faith , is also a central element of the general principle of legal certainty in European Union law .The legitimate expectation doctrine holds that and that `` those who act in good faith on the basis of law as it is or seems to be should not be frustrated in their expectations '' .Fundamental rights , as in human rights , were first recognised by the European Court of Justice in the late 60s and fundamental rights are now regarded as integral part of the general principles of European Union law .",it is or seems to be should not be frustrated in their expectations '' .,The legitimate expectation doctrine holds that and that `` those who act in good faith on the basis of law,"what does the legitimate expectation doctrine say about those who act in good faith ?
","what does the legitimate expectation doctrine hold ?
"
291,80,"Fundamental rights , as in human rights , were first recognised by the European Court of Justice in the late 60s and fundamental rights are now regarded as integral part of the general principles of European Union law .As such the European Court of Justice is bound to draw inspiration from the constitutional traditions common to the member states .Therefore , the European Court of Justice can not uphold measures which are incompatible with fundamental rights recognised and protected in the constitutions of member states .",such the European Court of Justice is bound to draw inspiration from the constitutional traditions common to the member states .,"human rights , were first recognised by the European Court of Justice in the late 60s and fundamental rights are now regarded as integral part of the general principles of European Union law .","why is the european court of justice unable to uphold measures which are incompatible with fundamental rights ?
","when did the european court of justice recognize fundamental rights ?
"
292,1,"As such the European Court of Justice is bound to draw inspiration from the constitutional traditions common to the member states .Therefore , the European Court of Justice can not uphold measures which are incompatible with fundamental rights recognised and protected in the constitutions of member states .The European Court of Justice also found that `` international treaties for the protection of human rights on which the member states have collaborated or of which they are signatories , can supply guidelines which should be followed within the framework of Community law .",As such the European Court of Justice is bound to draw inspiration from the constitutional traditions common to the member states,the European Court of Justice can not uphold measures which are incompatible with fundamental rights recognised and protected in the constitutions of member states .,"what does the european court of justice have to draw inspiration from
","what can the european court of justice not uphold ?
"
293,4,"It was not envisaged for European Union measures , that is legislative and administrative actions by European Union institutions , to be subject to human rights .At the time the only concern was that member states should be prevented from violating human rights , hence the establishment of the European Convention on Human Rights in 1950 and the establishment of the European Court of Human Rights .The European Court of Justice recognised fundamental rights as general principle of European Union law as the need to ensure that European Union measures are compatible with the human rights enshrined in member states ' constitution became ever more apparent .",At the time the only concern was that member states should be prevented from violating human rights,the establishment of the European Convention on Human Rights in 1950 and the establishment of the European Court of Human Rights . The European Court of Justice recognised fundamental rights as general principle of European Union law as the need to ensure that European Union measures are compatible with the human rights enshrined in member states ' constitution became ever more apparent,"why was the european convention on human rights established ?
","why did the european court of justice recognize fundamental rights ?
"
294,80,"At the time the only concern was that member states should be prevented from violating human rights , hence the establishment of the European Convention on Human Rights in 1950 and the establishment of the European Court of Human Rights .The European Court of Justice recognised fundamental rights as general principle of European Union law as the need to ensure that European Union measures are compatible with the human rights enshrined in member states ' constitution became ever more apparent .In 1999 the European Council set up a body tasked with drafting a European Charter of Human Rights , which could form the constitutional basis for the European Union and as such tailored specifically to apply to the European Union and its institutions .",general principle of European Union law as the need to ensure that European Union measures are compatible with the human rights enshrined in member states ' constitution became ever more,The European Court of Justice recognised fundamental rights,"why did the european court of justice recognize fundamental rights ?
","what is the general principle of european union law ?
"
295,80,"The European Court of Justice recognised fundamental rights as general principle of European Union law as the need to ensure that European Union measures are compatible with the human rights enshrined in member states ' constitution became ever more apparent .In 1999 the European Council set up a body tasked with drafting a European Charter of Human Rights , which could form the constitutional basis for the European Union and as such tailored specifically to apply to the European Union and its institutions .The Charter of Fundamental Rights of the European Union draws a list of fundamental rights from the European Convention on Human Rights and Fundamental Freedoms , the Declaration on Fundamental Rights produced by the European Parliament in 1989 and European Union Treaties .",such tailored specifically to apply to the European Union and its,"In 1999 the European Council set up a body tasked with drafting a European Charter of Human Rights , which could form the constitutional basis for the European Union and","what was the purpose of the european charter of human rights ?
","what did the european council set up in 1999 ?
"
296,80,"The Charter of Fundamental Rights of the European Union draws a list of fundamental rights from the European Convention on Human Rights and Fundamental Freedoms , the Declaration on Fundamental Rights produced by the European Parliament in 1989 and European Union Treaties .The 2007 Lisbon Treaty explicitly recognised fundamental rights by providing in Article 6 -LRB- 1 -RRB- that `` The Union recognises the rights , freedoms and principles set out in the Charter of Fundamental Rights of the European Union of 7 December 2000 , as adopted at Strasbourg on 12 December 2007 , which shall have the same legal value as the Treaties .Therefore , the Charter of Fundamental Rights of the European Union has become an integral part of European Union law , codifying the fundamental rights which were previously considered general principles of European Union law .","adopted at Strasbourg on 12 December 2007 , which shall have the same legal value as the Treaties .","The 2007 Lisbon Treaty explicitly recognised fundamental rights by providing in Article 6 -LRB- 1 -RRB- that `` The Union recognises the rights , freedoms and principles set out in the Charter of Fundamental Rights of the European Union of 7 December 2000","when was the charter of fundamental rights of the european union adopted ?
","what does the charter of fundamental rights of the european union state
"
297,1,"The 2007 Lisbon Treaty explicitly recognised fundamental rights by providing in Article 6 -LRB- 1 -RRB- that `` The Union recognises the rights , freedoms and principles set out in the Charter of Fundamental Rights of the European Union of 7 December 2000 , as adopted at Strasbourg on 12 December 2007 , which shall have the same legal value as the Treaties .Therefore , the Charter of Fundamental Rights of the European Union has become an integral part of European Union law , codifying the fundamental rights which were previously considered general principles of European Union law .In effect , after the Lisbon Treaty , the Charter and the Convention now co-exist under European Union law , though the former is enforced by the European Court of Justice in relation to European Union measures , and the latter by the European Court of Human Rights in relation to measures by member states .","The 2007 Lisbon Treaty explicitly recognised fundamental rights by providing in Article 6 -LRB- 1 -RRB- that `` The Union recognises the rights , freedoms and principles set out in the Charter of Fundamental Rights of the European Union of 7 December 2000 , as adopted at Strasbourg on 12 December 2007 , which shall have the same legal value as the Treaties","the Charter of Fundamental Rights of the European Union has become an integral part of European Union law , codifying the fundamental rights which were previously considered general principles of European Union law .","what did the 2007 lisbon treaty say about fundamental rights ?
","what has happened to the charter of fundamental rights of the european union ?
"
298,80,"The UK refused to sign the Social Charter and was exempt from the legislation covering Social Charter issues unless it agreed to be bound by the legislation .The UK subsequently was the only member state to veto the Social Charter being included as the `` Social Chapter '' of the 1992 Maastricht Treaty - instead , an Agreement on Social Policy was added as a protocol .Again , the UK was exempt from legislation arising from the protocol , unless it agreed to be bound by it .","the `` Social Chapter '' of the 1992 Maastricht Treaty - instead , an Agreement on Social Policy was added as a",The UK subsequently was the only member state to veto the Social Charter being included,"why did the uk veto the social charter ?
","what happened to the uk ' s veto of the social charter ?
"
299,80,"The UK refused to sign the Social Charter and was exempt from the legislation covering Social Charter issues unless it agreed to be bound by the legislation .The UK subsequently was the only member state to veto the Social Charter being included as the `` Social Chapter '' of the 1992 Maastricht Treaty - instead , an Agreement on Social Policy was added as a protocol .Again , the UK was exempt from legislation arising from the protocol , unless it agreed to be bound by it .","Social Chapter '' of the 1992 Maastricht Treaty - instead , an Agreement on Social Policy was added as a","the `` Social Chapter '' of the 1992 Maastricht Treaty - instead , an Agreement on Social Policy was added","what was added to the maastricht treaty ?
","why did the uk not sign the social charter ?
"
300,83,"The protocol was to become known as `` Social Chapter '' , despite not actually being a chapter of the Maastricht Treaty .To achieve aims of the Agreement on Social Policy the European Union was to `` support and complement '' the policies of member states .Following the election of the UK Labour Party to government in 1997 , the UK formally subscribed to the Agreement on Social Policy , which allowed it to be included with minor amendments as the Social Chapter of the 1997 Treaty of Amsterdam .",To achieve aims of the Agreement on,`` support and complement '' the policies of member states .,"why was the european union to support and complement the policies of member states ?
","what was the european union to do to achieve the aims of the agreement on social policy ?
"
301,80,"EU Competition law has its origins in the European Coal and Steel Community -LRB- ECSC -RRB- agreement between France , Italy , Belgium , the Netherlands , Luxembourg and Germany in 1951 following the second World War .The agreement aimed to prevent Germany from re-establishing dominance in the production of coal and steel as members felt that its dominance had contributed to the outbreak of the war .Article 65 of the agreement banned cartels and article 66 made provisions for concentrations , or mergers , and the abuse of a dominant position by companies .",members felt that its dominance had contributed to the outbreak of the war .,The agreement aimed to prevent Germany from re-establishing dominance in the production of coal and steel,"why did the agreement aim to prevent germany from re - establishing dominance in the production of coal and steel ?
","what was the purpose of the agreement ?
"
302,80,"The treaty also established principles on competition law for member states , with article 90 covering public undertakings , and article 92 making provisions on state aid .Regulations on mergers were not included as member states could not establish consensus on the issue at the time .Today , the Treaty of Lisbon prohibits anti-competitive agreements in Article 101 -LRB- 1 -RRB- , including price fixing .",member states could not establish consensus on the issue at the time .,Regulations on mergers were not included,"why were mergers not included in the treaty of lisbon ?
","what was not included in the treaty of lisbon ?
"
303,14,"According to Article 101 -LRB- 2 -RRB- any such agreements are automatically void .Article 101 -LRB- 3 -RRB- establishes exemptions , if the collusion is for distributional or technological innovation , gives consumers a `` fair share '' of the benefit and does not include unreasonable restraints that risk eliminating competition anywhere -LRB- or compliant with the general principle of European Union law of proportionality -RRB- .Article 102 prohibits the abuse of dominant position , such as price discrimination and exclusive dealing .","the collusion is for distributional or technological innovation , gives consumers a `` fair share '' of the benefit and does not include unreasonable restraints that risk eliminating competition anywhere -LRB- or compliant with the general principle of European Union law of proportionality -RRB- .","Article 101 -LRB- 3 -RRB- establishes exemptions ,","what are the reasons for exemptions ?
","what does article 101 - lrb - 3 - rrb establish
"
