,Unnamed: 0,Unnamed: 0.1,PatternID,Text,Cause,Effect,cause_question,effect_question
305,305,315,76,"Along with giving the offender his ""just deserts"", achieving crime control via incapacitation and deterrence is a major goal of criminal punishment. Brownlee argues, ""Bringing in deterrence at the level of justification detracts from the law 's engagement in a moral dialogue with the offender as a rational person because it focuses attention on the threat of punishment and not the moral reasons to follow this law."" Leonard Hubert Hoffmann writes, ""In deciding whether or not to impose punishment, the most important consideration would be whether it would do more harm than good.",it focuses attention on the threat of punishment and not the moral reasons to follow this law,"Brownlee argues, ""Bringing in deterrence at the level of justification detracts from the law 's engagement in a moral dialogue with the offender as a rational person","why does deterrence at the level of justification detract from a moral dialogue with the offender ?
","why does brownlee believe that bringing in deterrence at the level of justification detracts from the law ?
"
306,306,316,76, French Huguenot explorer Jean Ribault charted the St. Johns River in 1562 calling it the River of May because he discovered it in May. Ribault erected a stone column near present-day Jacksonville claiming the newly discovered land for France.,he discovered it in May,French Huguenot explorer Jean Ribault charted the St. Johns River in 1562 calling it the River of May,"why did ribault call the river the river of may ?
","why was the river named the river of may ?
"
307,307,317,76,"The justification for this is that a lack of education leads directly to lower incomes, and thus lower aggregate savings and investment. Conversely, education raises incomes and promotes growth because it helps to unleash the productive potential of the poor. ",it helps to unleash the productive potential of the poor,"Conversely, education raises incomes and promotes growth","why does education raise incomes and promote growth ?
","why does education help the poor ?
"
308,308,318,76," Conservative researchers have argued that income inequality is not significant because consumption, rather than income should be the measure of inequality, and inequality of consumption is less extreme than inequality of income in the US. Will Wilkinson of the libertarian Cato Institute states that ""the weight of the evidence shows that the run-up in consumption inequality has been considerably less dramatic than the rise in income inequality,"" and consumption is more important than income.","consumption, rather than income should be the measure of inequality, and inequality of consumption is less extreme than inequality of income in the US",Conservative researchers have argued that income inequality is not significant,"why have conservative researchers argued that income inequality is not significant ?
","why is income inequality not significant ?
"
309,309,319,76,Some theories popular from the 1950s to 2011 incorrectly stated that inequality had a positive effect on economic development. Analyses based on comparing yearly equality figures to yearly growth rates were misleading because it takes several years for effects to manifest as changes to economic growth. IMF economists found a strong association between lower levels of inequality in developing countries and sustained periods of economic growth.,it takes several years for effects to manifest as changes to economic growth,Analyses based on comparing yearly equality figures to yearly growth rates were misleading,"why were analyses based on comparing yearly equality figures to yearly growth rates misleading ?
","why did some theories say that inequality had a positive effect on economic development ?
"
310,310,320,76,Kublai created the Imperial Academy of Medicine to manage medical treatises and the education of new doctors. Confucian scholars were attracted to the medical profession because it ensured a high income and medical ethics were compatible with Confucian virtues. ,it ensured a high income and medical ethics were compatible with Confucian virtues,Confucian scholars were attracted to the medical profession,"why were confucian scholars attracted to the medical profession ?
","why was the imperial academy of medicine created ?
"
311,311,321,76,"Huihui doctors staffed at two imperial hospitals were responsible for treating the imperial family and members of the court. Chinese physicians opposed Western medicine because its humoral system contradicted the yin-yang and wuxing philosophy underlying traditional Chinese medicine. No Chinese translation of Western medical works is known, but it is possible that the Chinese had access to Avicenna 's The Canon of Medicine.",its humoral system contradicted the yin-yang and wuxing philosophy underlying traditional Chinese medicine,Chinese physicians opposed Western medicine,"why did chinese physicians oppose western medicine ?
","why did chinese physicians oppose western medicine ?
"
312,312,322,76,"The earlier they surrendered to the Mongols, the higher they were placed, the more the held out, the lower they were ranked. The Northern Chinese were ranked higher and Southern Chinese were ranked lower because southern China withstood and fought to the last before caving in. Major commerce during this era gave rise to favorable conditions for private southern Chinese manufacturers and merchants.",southern China withstood and fought to the last before caving in,The Northern Chinese were ranked higher and Southern Chinese were ranked lower,"why were the southern chinese ranked lower ?
","why were the northern chinese ranked higher and lower ?
"
313,313,323,76,"It is now known that the MHC makeup on the surface of those cells is altered and the NK cells become activated through recognition of ""missing self"". Normal body cells are not recognized and attacked by NK cells because they express intact self MHC antigens. Those MHC antigens are recognized by killer cell immunoglobulin receptors (KIR) which essentially put the brakes on NK cells.",they express intact self MHC antigens,Normal body cells are not recognized and attacked by NK cells,"why are normal body cells not recognized and attacked by nk cells ?
","why are normal body cells not recognized by nk cells ?
"
314,314,324,76,"Throughout the lifetime of an animal, these memory cells remember each specific pathogen encountered and can mount a strong response if the pathogen is detected again. This is ""adaptive"" because it occurs during the lifetime of an individual as an adaptation to infection with that pathogen and prepares the immune system for future challenges. Immunological memory can be in the form of either passive short-term memory or active long-term memory.",it occurs during the lifetime of an individual as an adaptation to infection with that pathogen and prepares the immune system for future challenges,"This is ""adaptive","why is adaptive memory adaptive ?
","why does memory occur during the lifetime of an individual ?
"
315,315,325,76,"Breast milk or colostrum also contains antibodies that are transferred to the gut of the infant and protect against bacterial infections until the newborn can synthesize its own antibodies. This is passive immunity because the fetus does not actually make any memory cells or antibodies--it only borrows them. This passive immunity is usually short-term, lasting from a few days up to several months.",the fetus does not actually make any memory cells or antibodies--it only borrows them,This is passive immunity,"why is passive immunity ?
","why does the fetus not make any memory cells or antibodies ?
"
316,316,326,76,"The principle behind vaccination (also called immunization) is to introduce an antigen from a pathogen in order to stimulate the immune system and develop specific immunity against that particular pathogen without causing disease associated with that organism. This deliberate induction of an immune response is successful because it exploits the natural specificity of the immune system, as well as its inducibility. With infectious disease remaining one of the leading causes of death in the human population, vaccination represents the most effective manipulation of the immune system mankind has developed.","it exploits the natural specificity of the immune system, as well as its inducibility",This deliberate induction of an immune response is successful,"why is this deliberate induction of an immune response successful ?
","why is vaccination successful ?
"
317,317,327,76,"A natural number greater than 1 that is not a prime number is called a composite number. For example, 5 is prime because 1 and 5 are its only positive integer factors, whereas 6 is composite because it has the divisors 2 and 3 in addition to 1 and 6. The fundamental theorem of arithmetic establishes the central role of primes in number theory: any integer greater than 1 can be expressed as a product of primes that is unique up to ordering.",it has the divisors 2 and 3 in addition to 1 and 6,whereas 6 is composite,"why is 6 a composite number ?
","what happens to 6 because it has divisors 2 and 3 in addition to 1 and 6 ?
"
318,318,328,76,"The Rhine-Meuse Delta is a tidal delta, shaped not only by the sedimentation of the rivers, but also by tidal currents. This meant that high tide formed a serious risk because strong tidal currents could tear huge areas of land into the sea. Before the construction of the Delta Works, tidal influence was palpable up to Nijmegen, and even today, after the regulatory action of the Delta Works, the tide acts far inland.",strong tidal currents could tear huge areas of land into the sea,This meant that high tide formed a serious risk,"why did high tide form a serious risk ?
","why was the rhine - meuse delta formed ?
"
319,319,329,76,"During this time, the lower Rhine flowed roughly west through the Netherlands and extended to the southwest, through the English Channel and finally, to the Atlantic Ocean. The English Channel, the Irish Channel and most of the North Sea were dry land, mainly because sea level was approximately 120 m (390 ft) lower than today. ",sea level was approximately 120 m (390 ft) lower than today,"The English Channel, the Irish Channel and most of the North Sea were dry land, mainly","why were the english channel , the irish channel and most of the north sea dry land ?
","why did the lower rhine flow through these areas ?
"
320,320,330,76,"The German invasion in 1939, the massacre of the Jewish population and deportations to concentration camps led to the uprising in the Warsaw ghetto in 1943 and to the major and devastating Warsaw Uprising between August and October 1944. Warsaw gained the title of the ""Phoenix City"" because it has survived many wars, conflicts and invasions throughout its long history. Most notably, the city required painstaking rebuilding after the extensive damage it suffered in World War II, which destroyed 85% of its buildings.","it has survived many wars, conflicts and invasions throughout its long history","Warsaw gained the title of the ""Phoenix City","why did warsaw gain the title of "" phoenix city "" ?
","what happened to warsaw because it has survived many wars , conflicts and invasions ?
"
321,321,331,76,"The first remedial measure was the Warsaw area enlargement (1951)--but the city authorities were still forced to introduce residency registration limitations: only the spouses and children of the permanent residents as well as some persons of public importance (like renowned specialists) were allowed to get the registration, hence halving the population growth in the following years. It also bolstered some kind of conviction among Poles that Varsovians thought of themselves as better only because they lived in the capital. Unfortunately this belief still lives on in Poland (although not as much as it used to be)--even though since 1990 there are no limitations to residency registration anymore.",they lived in the capital,It also bolstered some kind of conviction among Poles that Varsovians thought of themselves as better,"why did poles believe that varsovians were better than poles ?
","why did people believe that varsovians were better than other poles ?
"
322,322,332,76,"The contemporaneous French philosopher Voltaire referred to Canada disparagingly as nothing more than a few acres of snow. The British, for their part, were happy to take New France, as defence of their North American colonies would no longer be an issue and also because they already had ample places from which to obtain sugar. Spain, which traded Florida to Britain to regain Cuba, also gained Louisiana, including New Orleans, from France in compensation for its losses.",they already had ample places from which to obtain sugar,"The British, for their part, were happy to take New France, as defence of their North American colonies would no longer be an issue and","why were the british happy to take new france ?
","why did the british take new france ?
"
323,323,333,76,"This is because, for orthogonal components, the components of the vector sum are uniquely determined by the scalar addition of the components of the individual vectors. Orthogonal components are independent of each other because forces acting at ninety degrees to each other have no effect on the magnitude or direction of the other. Choosing a set of orthogonal basis vectors is often done by considering what set of basis vectors will make the mathematics most convenient.",forces acting at ninety degrees to each other have no effect on the magnitude or direction of the other,Orthogonal components are independent of each other,"why are orthogonal components independent of each other ?
","why do forces acting at ninety degrees have no effect on each other ?
"
324,324,334,64," The further decline of Byzantine state-of-affairs paved the road to a third attack in 1185, when a large Norman army invaded Dyrrachium, owing to the betrayal of high Byzantine officials. Some time later, Dyrrachium--one of the most important naval bases of the Adriatic--fell again to Byzantine hands.",the betrayal of high Byzantine officials,"The further decline of Byzantine state-of-affairs paved the road to a third attack in 1185, when a large Norman army invaded Dyrrachium","why did the norman army invade dyrrachium ?
","why did the normans invade dyrrachium ?
"
325,325,335,64,"This approach exploits the fact that in those bands it is possible to discriminate the vegetation 's reflectance from its fluorescence, which is much weaker. The measurement is technically difficult owing to the low signal-to-noise ratio and the physical structure of vegetation; but it has been proposed as a possible method of monitoring the carbon cycle from satellites on a global scale. ",the low signal-to-noise ratio and the physical structure of vegetation,The measurement is technically difficult,"why is the measurement of vegetation ' s reflectance difficult ?
","why is it difficult to measure the reflectance of vegetation ?
"
326,326,336,24,"This relationship eventually produced closer ties of blood through the marriage of Emma, sister of Duke Richard II of Normandy, and King Ethelred II of England. Because of this, Ethelred fled to Normandy in 1013, when he was forced from his kingdom by Sweyn Forkbeard. His stay in Normandy (until 1016) influenced him and his sons by Emma, who stayed in Normandy after Cnut the Great 's conquest of the isle.","This relationship eventually produced closer ties of blood through the marriage of Emma, sister of Duke Richard II of Normandy, and King Ethelred II of England","Ethelred fled to Normandy in 1013, when he was forced from his kingdom by Sweyn Forkbeard","why did ethelred flee to normandy ?
","why did ethelred flee to normandy ?
"
327,327,337,24,"Forces act in a particular direction and have sizes dependent upon how strong the push or pull is. Because of these characteristics, forces are classified as ""vector quantities"". This means that forces follow a different set of mathematical rules than physical quantities that do not have direction (denoted scalar quantities).",Forces act in a particular direction and have sizes dependent upon how strong the push or pull is,"characteristics, forces are classified as ""vector quantities","why are forces classified as vector quantities ?
","why are forces classified as vector quantities ?
"
328,328,338,83,"William invaded Scotland in 1072, riding as far as Abernethy where he met up with his fleet of ships. Malcolm submitted, paid homage to William and surrendered his son Duncan as a hostage, beginning a series of arguments as to whether the Scottish Crown owed allegiance to the King of England. ","Malcolm submitted, paid homage to William and surrendered his",whether the Scottish Crown owed allegiance to the King of England,"what happened to malcolm ' s son ?
","why did malcolm surrender his son ?
"
329,329,339,83,"This expedient has since been generally considered satisfactory for most purposes and makes possible the use of the simpler Stephenson, Joy and Walschaerts motions. Corliss, and later, poppet valve gears had separate admission and exhaust valves driven by trip mechanisms or cams profiled so as to give ideal events; most of these gears never succeeded outside of the stationary marketplace due to various other issues including leakage and more delicate mechanisms. ","Corliss, and later, poppet valve gears had separate admission and exhaust valves driven by trip mechanisms or cams profiled",give ideal events; most of these gears never succeeded outside of the stationary marketplace due to various other issues including leakage and more delicate mechanisms,"why did poppet valve gears fail outside of the stationary marketplace ?
","why did poppet valve gears have separate admission and exhaust valves ?
"
330,330,340,83," Before the St. Elizabeth 's flood (1421), the Meuse flowed just south of today 's line Merwede-Oude Maas to the North Sea and formed an archipelago-like estuary with Waal and Lek. This system of numerous bays, estuary-like extended rivers, many islands and constant changes of the coastline, is hard to imagine today.","Before the St. Elizabeth 's flood (1421), the Meuse flowed just south",the North Sea and formed an archipelago-like estuary with Waal and Lek,"why did the meuse form an estuary with waal and lek ?
","what happened to the meuse before the st . elizabeth ' s flood ?
"
331,331,346,0,"Until the oil shock, the price had also remained fairly stable versus other currencies and commodities. OPEC ministers had not developed institutional mechanisms to update prices in sync with changing market conditions, so their real incomes lagged. The substantial price increases of 1973--1974 largely returned their prices and corresponding incomes to Bretton Woods levels in terms of commodities such as gold.",OPEC ministers had not developed institutional mechanisms to update prices in sync with changing market conditions,their real incomes lagged,"why did opec ministers ' real incomes lag ?
","why were opec ministers not able to update prices in sync with changing market conditions ?
"
332,332,361,0,"Mrs Geraets-Smits claimed she should be reimbursed by Dutch social insurance for costs of receiving treatment in Germany. The Dutch health authorities regarded the treatment unnecessary, so she argued this restricted the freedom (of the German health clinic) to provide services. Several governments submitted that hospital services should not be regarded as economic, and should not fall within article 56.",The Dutch health authorities regarded the treatment unnecessary,she argued this restricted the freedom (of the German health clinic) to provide services,"why did mrs geraets - smits claim she should be reimbursed ?
","why did mrs geraets - smits claim the treatment was unnecessary ?
"
333,333,363,0,"However, the colonists were unable to manage their fields and the crops because of the loss of soil fertility and weed invasion. The soils in the Amazon are productive for just a short period of time, so farmers are constantly moving to new areas and clearing more land. These farming practices led to deforestation and caused extensive environmental damage.",The soils in the Amazon are productive for just a short period of time,farmers are constantly moving to new areas and clearing more land,"why were the colonists unable to manage their fields and crops ?
","why are the soils in the amazon so productive ?
"
334,334,367,0,"Therefore, the second scale shows the most recent eon with an expanded scale. The second scale compresses the most recent era, so the most recent era is expanded in the third scale. Since the Quaternary is a very short period with short epochs, it is further expanded in the fourth scale.",The second scale compresses the most recent era,the most recent era is expanded in the third scale,"why is the most recent era expanded in the third scale ?
","what happens to the most recent era in the second scale ?
"
335,335,374,0,"The school color is crimson, which is also the name of the Harvard sports teams and the daily newspaper, The Harvard Crimson. The color was unofficially adopted (in preference to magenta) by an 1875 vote of the student body, although the association with some form of red can be traced back to 1858, when Charles William Eliot, a young graduate student who would later become Harvard 's 21st and longest-serving president (1869--1909), bought red bandanas for his crew so they could more easily be distinguished by spectators at a regatta. ","The color was unofficially adopted (in preference to magenta) by an 1875 vote of the student body, although the association with some form of red can be traced back to 1858, when Charles William Eliot, a young graduate student who would later become Harvard 's 21st and longest-serving president (1869--1909), bought red bandanas for his crew",they could more easily be distinguished by spectators at a regatta,"why was crimson chosen as the school color ?
","why did charles william eliot buy red bandanas ?
"
336,336,379,0,"During the Yuan dynasty, the Emperor Kublai Khan invited the southern Duke Yansheng Kong Zhu to return to Qufu. Kong Zhu refused, and gave up the title, so the northern branch of the family kept the title of Duke Yansheng. The southern branch still remained in Quzhou where they lived to this day.","Kong Zhu refused, and gave up the title",the northern branch of the family kept the title of Duke Yansheng,"why did kong zhu not return to qufu ?
","what happened when kong zhu refused to return to qufu ?
"
337,337,382,0,"Several layers of passive protection are provided by the mother. During pregnancy, a particular type of antibody, called IgG, is transported from mother to baby directly across the placenta, so human babies have high levels of antibodies even at birth, with the same range of antigen specificities as their mother. Breast milk or colostrum also contains antibodies that are transferred to the gut of the infant and protect against bacterial infections until the newborn can synthesize its own antibodies.","a particular type of antibody, called IgG, is transported from mother to baby directly across the placenta","human babies have high levels of antibodies even at birth, with the same range of antigen specificities as their mother","what happens during pregnancy ?
","what happens when the igg is transported from mother to baby during pregnancy ?
"
338,338,383,0,"This is called antigenic variation. An example is HIV, which mutates rapidly, so the proteins on its viral envelope that are essential for entry into its host target cell are constantly changing. These frequent changes in antigens may explain the failures of vaccines directed at this virus.","An example is HIV, which mutates rapidly",the proteins on its viral envelope that are essential for entry into its host target cell are constantly changing,"what is antigenic variation ?
","why does hiv mutate rapidly ?
"
339,339,385,0," Most early Greeks did not even consider 1 to be a number, so they could not consider it to be a prime. By the Middle Ages and Renaissance many mathematicians included 1 as the first prime number.",Most early Greeks did not even consider 1 to be a number,they could not consider it to be a prime,"why did early greeks not consider 1 to be a number ?
","why did early greeks not consider 1 to be a number ?
"
340,340,387,0,"For example, a given test might pass all the time if applied to a prime number, but pass only with probability p if applied to a composite number. If we repeat the test n times and pass every time, then the probability that our number is composite is 1 / (1-p) n, which decreases exponentially with the number of tests, so we can be as sure as we like (though never perfectly sure) that the number is prime. On the other hand, if the test ever fails, then we know that the number is composite.","If we repeat the test n times and pass every time, then the probability that our number is composite is 1 / (1-p) n, which decreases exponentially with the number of tests",we can be as sure as we like (though never perfectly sure) that the number is prime,"what happens if we repeat the test n times and pass every time ?
","what happens if we repeat the test n times and pass every time ?
"
341,341,388,0,"If we have a number b that we want to test for primality, then we work out nb (mod b) for a random value of n as our test. A flaw with this test is that there are some composite numbers (the Carmichael numbers) that satisfy the Fermat identity even though they are not prime, so the test has no way of distinguishing between prime numbers and Carmichael numbers. Carmichael numbers are substantially rarer than prime numbers, though, so this test can be useful for practical purposes.",A flaw with this test is that there are some composite numbers (the Carmichael numbers) that satisfy the Fermat identity even though they are not prime,the test has no way of distinguishing between prime numbers and Carmichael numbers,"why is the nb ( mod b ) test not able to distinguish between prime and carmichael numbers ?
","what is a flaw with the nb ( mod b ) test ?
"
342,342,389,0,"A flaw with this test is that there are some composite numbers (the Carmichael numbers) that satisfy the Fermat identity even though they are not prime, so the test has no way of distinguishing between prime numbers and Carmichael numbers. Carmichael numbers are substantially rarer than prime numbers, though, so this test can be useful for practical purposes. More powerful extensions of the Fermat primality test, such as the Baillie-PSW, Miller-Rabin, and Solovay-Strassen tests, are guaranteed to fail at least some of the time when applied to a composite number.","Carmichael numbers are substantially rarer than prime numbers, though",this test can be useful for practical purposes,"why can this test be useful for practical purposes ?
","why are carmichael numbers more common than prime numbers ?
"
343,343,390,0,"Since the Rhine contributes most of the water, the shorter term Rhine Delta is commonly used. However, this name is also used for the river delta where the Rhine flows into Lake Constance, so it is clearer to call the larger one Rhine-Meuse delta, or even Rhine--Meuse--Scheldt delta, as the Scheldt ends in the same delta. ","However, this name is also used for the river delta where the Rhine flows into Lake Constance","it is clearer to call the larger one Rhine-Meuse delta, or even Rhine--Meuse--Scheldt delta, as the Scheldt ends in the same delta","why is the shorter term rhine delta used ?
","why is it easier to refer to the river delta where the rhine flows into lake constance ?
"
344,344,395,0,"Governor Vaudreuil, who harboured ambitions to become the French commander in chief (in addition to his role as governor), acted during the winter of 1756 before those reinforcements arrived. Scouts had reported the weakness of the British supply chain, so he ordered an attack against the forts Shirley had erected at the Oneida Carry. In the March Battle of Fort Bull, French forces destroyed the fort and large quantities of supplies, including 45,000 pounds of gunpowder.",Scouts had reported the weakness of the British supply chain,he ordered an attack against the forts Shirley had erected at the Oneida Carry,"why did governor vaudreuil order an attack against the forts shirley had erected ?
","what happened when scouts reported the weakness of the british supply chain ?
"
345,345,397,0,"Since electrons are fermions, they cannot occupy the same quantum mechanical state as other electrons. When the electrons in a material are densely packed together, there are not enough lower energy quantum mechanical states for them all, so some of them must be in higher energy states. This means that it takes energy to pack them together.","When the electrons in a material are densely packed together, there are not enough lower energy quantum mechanical states for them all",some of them must be in higher energy states,"why do some electrons have to be in higher energy states ?
","what happens when electrons are densely packed together ?
"
346,346,398,17,Finally should be noted the intercourse between French Crusaders traveling to the Holy Land who brought with them French artefacts with which to gift the churches at which they stopped in southern Italy amongst their Norman cousins. For this reason many south Italian churches preserve works from France alongside their native pieces. ,Finally should be noted the intercourse between French Crusaders traveling to the Holy Land who brought with them French artefacts with which to gift the churches at which they stopped in southern Italy amongst their Norman cousins,many south Italian churches preserve works from France alongside their native pieces,"why do many south italian churches preserve works from france ?
","why do many south italian churches preserve works from france ?
"
347,347,399,17,"The quantitative answer to this particular problem instance is of little use for solving other instances of the problem, such as asking for a round trip through all sites in Milan whose total length is at most 10 km. For this reason, complexity theory addresses computational problems and not particular problem instances. ","The quantitative answer to this particular problem instance is of little use for solving other instances of the problem, such as asking for a round trip through all sites in Milan whose total length is at most 10 km",complexity theory addresses computational problems and not particular problem instances,"why does complexity theory address computational problems and not particular problems ?
","why is complexity theory used ?
"
348,348,400,17," Steven Barkan writes that if defendants plead not guilty, ""they must decide whether their primary goal will be to win an acquittal and avoid imprisonment or a fine, or to use the proceedings as a forum to inform the jury and the public of the political circumstances surrounding the case and their reasons for breaking the law via civil disobedience. '' A technical defense may enhance the chances for acquittal but make for more boring proceedings and reduced press coverage.","Steven Barkan writes that if defendants plead not guilty, ""they must decide whether their primary goal will be to win an acquittal and avoid imprisonment or a fine, or to use the proceedings as a",for breaking the law via civil disobedience,"what happens if a defendant plead not guilty ?
","why would a defendant plead not guilty ?
"
349,349,401,17,"Although building construction projects typically include various common elements, such as design, financial, estimating and legal considerations, many projects of varying sizes reach undesirable end results, such as structural collapse, cost overruns, and/or litigation. For this reason, those with experience in the field make detailed plans and maintain careful oversight during the project to ensure a positive outcome. ","Although building construction projects typically include various common elements, such as design, financial, estimating and legal considerations, many projects of varying sizes reach undesirable end results, such as structural collapse, cost overruns, and/or litigation",those with experience in the field make detailed plans and maintain careful oversight during the project to ensure a positive outcome,"why do architects make careful plans during a construction project ?
","what happens when a project reaches an undesirable end result ?
"
350,350,402,17,"From 1421 to 1904, the Meuse and Waal merged further upstream at Gorinchem to form Merwede. For flood protection reasons, the Meuse was separated from the Waal through a lock and diverted into a new outlet called ""Bergse Maas"", then Amer and then flows into the former bay Hollands Diep. ","From 1421 to 1904, the Meuse and Waal merged further upstream at Gorinchem to form Merwede","the Meuse was separated from the Waal through a lock and diverted into a new outlet called ""Bergse Maas"", then Amer and then flows into the former bay Hollands","what happened between 1421 and 1904
","what happened to the meuse for flood protection ?
"
351,351,403,17,"Imperialism and colonialism have been used in order to describe one 's superiority, domination and influence upon a person or group of people. Robert Young writes that while imperialism operates from the center, is a state policy and is developed for ideological as well as financial reasons, colonialism is simply the development for settlement or commercial intentions. Colonialism in modern usage also tends to imply a degree of geographic separation between the colony and the imperial power.","Robert Young writes that while imperialism operates from the center, is a state policy and is developed",colonialism is simply the development for settlement or commercial intentions,"why is imperialism considered a state policy ?
","why does robert young believe colonialism is not a state policy ?
"
352,352,404,56," Computational complexity theory is a branch of the theory of computation in theoretical computer science that focuses on classifying computational problems according to their inherent difficulty, and relating those classes to each other. A computational problem is understood to be a task that is in principle amenable to being solved by a computer, which is equivalent to stating that the problem may be solved by mechanical application of mathematical steps, such as an algorithm.",their inherent difficulty,and relating those classes to each other,"why does computational complexity theory classify computational problems ?
","why does computational complexity theory focus on classifying computational problems ?
"
353,353,405,56,"While the concept of a ""social market economy"" was only introduced into EU law in 2007, free movement and trade were central to European development since the Treaty of Rome 1957. According to the standard theory of comparative advantage, two countries can both benefit from trade even if one of them has a less productive economy in all respects. Like in other regional organisations such as the North American Free Trade Association, or the World Trade Organisation, breaking down barriers to trade, and enhancing free movement of goods, services, labour and capital, is meant to reduce consumer prices.",the standard theory of comparative advantage,two countries can both benefit from trade even,"why can two countries both benefit from trade even if they have a less productive economy ?
","what happens if one country has a less productive economy in all respects ?
"
354,354,406,56,"This means the basic ""worker"" rights in TFEU article 45 function as a specific expression of the general rights of citizens in TFEU articles 18 to 21. According to the Court of Justice, a ""worker"" is anybody who is economically active, which includes everyone in an employment relationship, ""under the direction of another person"" for ""remuneration"". A job, however, need not be paid in money for someone to be protected as a worker.",the Court of Justice,"a ""worker"" is anybody who is economically active, which includes everyone in an employment relationship, ""under the direction of another person"" for ""remuneration","who says that a worker is anybody who is economically active ?
","what does the court of justice say about a worker ?
"
355,355,407,56,"Packet mode communication may be implemented with or without intermediate forwarding nodes (packet switches or routers). Packets are normally forwarded by intermediate network nodes asynchronously using first-in, first-out buffering, but may be forwarded according to some scheduling discipline for fair queuing, traffic shaping, or for differentiated or guaranteed quality of service, such as weighted fair queuing or leaky bucket. In case of a shared physical medium (such as radio or 10BASE5), the packets may be delivered according to a multiple access scheme.",some scheduling discipline for fair queuing,"traffic shaping, or for differentiated or guaranteed","why are packets forwarded ?
","why are packets forwarded according to a scheduling discipline ?
"
356,356,408,56,"The plague repeatedly returned to haunt Europe and the Mediterranean throughout the 14th to 17th centuries. According to Biraben, the plague was present somewhere in Europe in every year between 1346 and 1671. The Second Pandemic was particularly widespread in the following years:",Biraben,the plague was present somewhere in Europe in every year between 1346 and 1671,"who said that the plague was present somewhere in europe between 1346 and 1671 ?
","what did biraben say about the plague ?
"
357,357,409,56,"Subsequent outbreaks, though severe, marked the retreat from most of Europe (18th century) and northern Africa (19th century). According to Geoffrey Parker, ""France alone lost almost a million people to the plague in the epidemic of 1628--31."" ",Geoffrey Parker,France alone lost almost a million people to the plague in the epidemic of 1628--31,"who said that france lost almost a million people to the plague ?
","what happened to the population of france during the plague ?
"
358,358,410,56,"As a result, the judge increased her sentence from 40 to 60 days. This action was upheld because, according to the U.S. Court of Appeals for the First Circuit, her statement suggested a lack of remorse, an attempt to avoid responsibility for her actions, and even a likelihood of repeating her illegal actions. Some of the other allocution speeches given by the protesters complained about mistreatment from government officials.",the U.S. Court of Appeals for the First Circuit,"her statement suggested a lack of remorse, an attempt to avoid responsibility for her actions, and even a likelihood of repeating her illegal actions","who upheld the judge ' s decision ?
","why was the sentence increased ?
"
359,359,411,56," In the United States, the industry in 2014 has around $ 960 billion in annual revenue according to statistics tracked by the Census Bureau, of which $ 680 billion is private (split evenly between residential and nonresidential) and the remainder is government. As of 2005, there were about 667,000 firms employing 1 million contractors (200,000 general contractors, 38,000 heavy, and 432,000 specialty); the average contractor employed fewer than 10 employees.",statistics,of which $ 680 billion is private (split evenly between residential and nonresidential) and the remainder is,"why is the us contractor industry tracked by the census bureau ?
","what happens to the remainder of the revenue ?
"
360,360,412,56,"The Harvard University Library System is centered in Widener Library in Harvard Yard and comprises nearly 80 individual libraries holding over 18 million volumes. According to the American Library Association, this makes it the largest academic library in the United States, and one of the largest in the world. Cabot Science Library, Lamont Library, and Widener Library are three of the most popular libraries for undergraduates to use, with easy access and central locations.",the American Library Association,"this makes it the largest academic library in the United States, and one of the largest in the world","who said the harvard university library system is the largest academic library in the us ?
","why is the widener library the largest library in the us ?
"
361,361,413,56," According to the United States Census Bureau, the city has a total area of 874.3 square miles (2,264 km2), making Jacksonville the largest city in land area in the contiguous United States; of this, 86.66% (757.7 sq mi or 1,962 km2) is land and; 13.34% (116.7 sq mi or 302 km2) is water. Jacksonville surrounds the town of Baldwin.",the United States Census Bureau,"the city has a total area of 874.3 square miles (2,264 km2), making Jacksonville the largest city in land area in the contiguous United States; of this, 86.66% (757.7 sq mi or 1,962 km2) is land and; 13.34% (116.7 sq mi or 302 km2) is water","who said jacksonville has a total area of 874 . 3 square miles ?
","what does the us census bureau say about jacksonville ' s land area ?
"
362,362,414,56,"A January 2014 report by Oxfam claims that the 85 wealthiest individuals in the world have a combined wealth equal to that of the bottom 50% of the world 's population, or about 3.5 billion people. According to a Los Angeles Times analysis of the report, the wealthiest 1% owns 46% of the world 's wealth; the 85 richest people, a small part of the wealthiest 1%, own about 0.7% of the human population 's wealth, which is the same as the bottom half of the population. More recently, in January 2015, Oxfam reported that the wealthiest 1 percent will own more than half of the global wealth by 2016.",a Los Angeles Times analysis of the report,"the wealthiest 1% owns 46% of the world 's wealth; the 85 richest people, a small part of the wealthiest 1%, own about 0.7% of the human population 's wealth, which is the same as the bottom half of the population","who said the wealthiest 1 % owns 46 % of the world ' s wealth ?
","what did the los angeles times say about the wealth of the 85 wealthiest individuals ?
"
363,363,415,56,"According to PolitiFact the top 400 richest Americans ""have more wealth than half of all Americans combined."" According to the New York Times on July 22, 2014, the ""richest 1 percent in the United States now own more wealth than the bottom 90 percent"". Inherited wealth may help explain why many Americans who have become rich may have had a ""substantial head start"".",the New York Times on July,"2014, the ""richest 1 percent in the United States now own more wealth than the bottom 90 percent","who said the richest 1 percent in the us now own more wealth than the bottom 90 percent ?
","what happened on july 22 , 2014 ?
"
