Text,Question,Answer,Template
"The opposite happens to retain body heat .","To what end is the opposite happening?","to retain body heat","AmPncQgTemplate"
"The catalyst can go on to catalyze many more reactions .","To what end can the catalyst go?","to catalyze many more reactions","AmPncQgTemplate"
"This is important because the station has a microgravity environment .","Why is this so important?","because the station has a microgravity environment","AmCauQgTemplate"
"Do you ride a bus or have someone drive you to school ? Motor vehicles need energy from fossil fuels to run .","To what end do cars need energy from fossil fuels?","to run","AmPncQgTemplate"
"The scientists will use existing wells and may drill test wells to check for concentrations and monitor the movement of the plume .","To what end are scientists allowed to drill wells?","to check for concentrations and monitor the movement of the plume","AmPncQgTemplate"
"You can also take the following steps to avoid picking up pathogens or spreading them to others .","To what end can you also take the following steps?","to avoid picking up pathogens or spreading them to others","AmPncQgTemplate"
"Why has climate stability been beneficial for human civilization ? Stability has allowed the expansion of agriculture and the development of towns and cities .","Why has climate stability been beneficial to human civilisation?","Why","AmCauQgTemplate"
"Irrigation , the ability to clear large swaths of land for farming efficiently , and the development of farm machines powered by fossil fuels allowed people to grow more food and transport it to where it was needed .","For what purpose are large tracts of land cleaned efficiently?","for farming","AmPncQgTemplate"
"They are usually given antibiotics to kill the bacteria .","For what purpose are antibiotics usually given to you?","to kill the bacteria","AmPncQgTemplate"
"To learn more about hydrogen bonding and when it occurs , see the video at this URL : ( 0:58 ) .","For what purpose do you see the video on this URL?","To learn more about hydrogen bonding and when it occurs","AmPncQgTemplate"
"The muscle relaxes to let food pass into the stomach .","For what purpose does the muscle relax?","to let food pass into the stomach","AmPncQgTemplate"
"That s why there is greater air resistance against the parachute than the skydivers body .","Why is the air resistance against the parachute greater than the body of the parachutist?","why","AmCauQgTemplate"
"Brain and spinal cord injuries most commonly occur because of car crashes or sports accidents .","Why do brain and spinal cord injuries occur most frequently?","because of car crashes or sports accidents","AmCauQgTemplate"
"The two types of vibrating fields combine to create an electromagnetic wave .","To what end do the two types of vibration fields combine?","to create an electromagnetic wave","AmPncQgTemplate"
"Anaerobic exercises use a resistance against which the muscle has to work to lift or push away .","For what purpose does the muscle work?","to lift or push away","AmPncQgTemplate"
"The data is fed into computers so that it can be studied .","For what purpose is the data fed into computers?","so that it can be studied","AmPncQgTemplate"
"To find the efficiency of the machine , substitute these values into the equation for efficiency : 6000 J 100 % = 75 % 8000 J Q : Rani puts 7500 joules of work into pushing a box up a ramp , but only 6700 joules of work actually go into moving the box .","For what purpose do these values replace the efficiency equation: 6000 J 100% = 75% 8000 J Q?","To find the efficiency of the machine","AmPncQgTemplate"
"Wastes must be flushed out to keep animals healthy .","What is the purpose of flushing the waste?","to keep animals healthy","AmPncQgTemplate"
"That s why they re called pollutants .","Why so?","why","AmCauQgTemplate"
"That s why they re called pollutants .","Why are they called pollutants again?","why","AmCauQgTemplate"
"To balance electrical charge , an atom may share its electron with another atom , give it away , or receive an electron from another atom .","To what end does an atom give it away?","To balance electrical charge","AmPncQgTemplate"
"To balance electrical charge , an atom may share its electron with another atom , give it away , or receive an electron from another atom .","For what purpose does an atom receive an electron from another atom?","To balance electrical charge","AmPncQgTemplate"
"This force is needed to overcome the electric force of repulsion between positive protons .","What is the purpose of this force?","to overcome the electric force of repulsion between positive protons","AmPncQgTemplate"
"Since almost every galaxy in the universe has a redshift , almost every galaxy is moving away from Earth .","Why has almost every galaxy moved away from Earth?","Since almost every galaxy in the universe has a redshift","AmCauQgTemplate"
"By 1970 , it was clear that something needed to be done to protect air quality .","To what end did something have to be done?","to protect air quality","AmPncQgTemplate"
"By 1970 , it was clear that something needed to be done to protect air quality .","To what end is something being done?","to protect air quality","AmPncQgTemplate"
"As a result , the paper clips will stick to the magnet and also to each other .","Why do the paper clips stick to the magnet and also to each other?","As a result","AmCauQgTemplate"
"From the equation for rusting , you can see that four atoms of iron combine with three molecules of oxygen to form two molecules of iron oxide .","For what purpose do four iron atoms combine with three oxygen molecules?","to form two molecules of iron oxide","AmPncQgTemplate"
"But did you know that thermal energy can also be used to keep things cool ? Cooling systems such as air conditioners and refrigerators transfer thermal energy in order to keep homes and cars cool or to keep food cold .","To what end do cooling systems such as air conditioners and refrigerators transfer thermal energy?","in order to keep homes and cars cool or to keep food cold","AmPncQgTemplate"
"Oil coats the surfaces of moving parts and makes them slippery so there is less friction .","To what end do oil make them slippery?","so there is less friction","AmPncQgTemplate"
"Because all electromagnetic waves travel at the same speed through space , a wave with a shorter wavelength must have a higher frequency , and vice versa .","Why does a wave with shorter wavelength have a higher frequency?","Because all electromagnetic waves travel at the same speed through space","AmCauQgTemplate"
"If a river floods often , the floodplain develops a thick layer of rich soil because of all the deposits .","Why does a thick layer of fertile soil form in the floodplain when a river often floods?","because of all the deposits","AmCauQgTemplate"
"They are dry because they are in continental interiors or rain shadows .","Why are they dry?","because they are in continental interiors or rain shadows","AmCauQgTemplate"
"The lenses focus images farther forward in the eye , so they are on the retina instead of behind it .","To what end are the lenses focusing images farther forward in the eye?","so they are on the retina instead of behind it","AmPncQgTemplate"
"Acids also react with metals to produce hydrogen gas .","To what end do acids react with metals?","to produce hydrogen gas","AmPncQgTemplate"
"Sweat from sweat glands in the skin evaporates to cool the body .","For what purpose does sweat evaporate from sweat glands in the skin?","to cool the body","AmPncQgTemplate"
"Q : Why do copper and carbon differ in their ability to conduct electricity ? A : Atoms of metals such as copper easily give up valence electrons .","Why do copper and carbon differ in their ability to conduct electricity?","Why","AmCauQgTemplate"
"We need a really big unit to measure distances out in space because distances between stars are so great .","Why do we need a really large unit to measure distances in space?","because distances between stars are so great","AmCauQgTemplate"
"Then the valve closes so the blood ca nt flow back into the right atrium .","To what end then does the valve close?","so the blood ca nt flow back into the right atrium","AmPncQgTemplate"
"Sounds that people need to hear , such as the voices of co - workers , are not interfered with in this way and may be amplified instead so they can be heard more clearly .","To what end can sounds that people need to hear, such as the voices of co-workers, be amplified instead?","so they can be heard more clearly","AmPncQgTemplate"
"The molecules that come together to start a chemical reaction are the reactants .","For what purpose do the molecules come together?","to start a chemical reaction","AmPncQgTemplate"
"Because of the mutations , abnormal cells divide uncontrollably .","Why do abnormal cells divide uncontrollably?","Because of the mutations","AmCauQgTemplate"
"The placenta continues to develop and grow to meet the needs of the growing fetus .","For what purpose does the placenta grow?","to meet the needs of the growing fetus","AmPncQgTemplate"
"Both fluorine and lithium are highly reactive elements because of their number of valence electrons .","Why are fluorine and lithium highly reactive elements?","because of their number of valence electrons","AmCauQgTemplate"
"The electricity may have to travel many meters to reach the light .","For what purpose does the current travel many meters?","to reach the light","AmPncQgTemplate"
"These glacial erratics are noticeable because they are a different rock type from the surrounding bedrock .","Why are these glacial malformations conspicuous?","because they are a different rock type from the surrounding bedrock","AmCauQgTemplate"
"After rainfall , there can be enough runoff pollution that beaches must be closed to prevent the spread of disease from pollutants .","To what end do beaches have to be closed?","to prevent the spread of disease from pollutants","AmPncQgTemplate"
"This is important because skin that has been damaged by ultraviolet light is at greater risk of developing skin cancer .","Why is this so important?","because skin that has been damaged by ultraviolet light is at greater risk of developing skin cancer","AmCauQgTemplate"
"The water is heated by the hot rock and then pumped back to the surface for use .","What was the purpose of bringing the water pump to the surface?","for use","AmPncQgTemplate"
"In this process , carbon dioxide and water combine to form glucose .","To what end do carbon dioxide and water combine in this process?","to form glucose","AmPncQgTemplate"
"The word planet is a Greek term meaning wanderer , as these bodies move across the sky at different speeds from the stars , which appear fixed in the same positions relative to each other .","Why is the word planet a Greek term that means wandering?","as these bodies move across the sky at different speeds from the stars , which appear fixed in the same positions relative to each other","AmCauQgTemplate"
"A magnet can exert force over a distance because the magnet is surrounded by a magnetic field .","Why can a magnet exert force over a distance?","because the magnet is surrounded by a magnetic field","AmCauQgTemplate"
"Carbon is a very common ingredient of matter because it can combine with itself and with many other elements .","Why is carbon a widespread component of matter?","because it can combine with itself and with many other elements","AmCauQgTemplate"
"An object with more mass has greater thermal energy than an object with less mass because it has more atoms .","Why does an object with more mass have more thermal energy than an object with less mass?","because it has more atoms","AmCauQgTemplate"
"In nuclear fusion , two or more small nuclei combine to form a single , larger nucleus .","To what end do two or more small nuclei combine in nuclear fusion?","to form a single , larger nucleus","AmPncQgTemplate"
"When the bladder is about half full , a sphincter relaxes to let urine flow out of the bladder and into the urethra .","For what purpose does a sphincter relax when the bladder is about half full?","to let urine flow out of the bladder and into the urethra","AmPncQgTemplate"
"They also study how climate will change in response to global warming .","Why is climate change how?","in response to global warming","AmCauQgTemplate"
"They "" want "" to gain electrons so they will have a full outer energy level .","To what end have they gained electrons?","so they will have a full outer energy level","AmPncQgTemplate"
"This is necessary so the correct amino acid is always selected .","To what end is this necessary?","so the correct amino acid is always selected","AmPncQgTemplate"
"Pollutants include materials that are naturally occurring but are added to the atmosphere so that they are there in larger quantities than normal .","For what purpose are materials added to the atmosphere?","so that they are there in larger quantities than normal","AmPncQgTemplate"
"For example , putting sand on an icy sidewalk increases friction so you are less likely to slip .","To what end does laying sand on an icy pavement increase friction?","so you are less likely to slip","AmPncQgTemplate"
"With all wedges , the trade - off is that the output force is applied over a shorter distance , so force may need to be applied to the wedge repeatedly to push it through the object .","To what end can repeated force be exerted on the wedge?","to push it through the object","AmPncQgTemplate"
"Why do we need so much energy ? The main reason is that almost everything that happens on Earth involves energy .","Why do we need so much energy?","Why","AmCauQgTemplate"
"However , you should see a doctor to be sure .","For what purpose should you consult a doctor?","to be sure","AmPncQgTemplate"
"Acid droplets move down through acidic soils to lower the pH of streams and lakes even more .","To what end do drops of acid sink down?","to lower the pH of streams and lakes even more","AmPncQgTemplate"
"For this reason , anthracite coal burns more cleanly than bituminous coal .","Why does anthracite coal burn cleaner than bituminous coal?","For this reason","AmCauQgTemplate"
"We need them for food and clothing , for building materials and energy .","Why do we need them?","for food and clothing , for building materials and energy","AmPncQgTemplate"
"Permanent teeth come in to replace them .","To what end do permanent teeth come into play?","to replace them","AmPncQgTemplate"
"For example , acids can conduct electricity because they consist of charged particles in solution .","Why can acids conduct electricity?","because they consist of charged particles in solution","AmCauQgTemplate"
"For an ecosystem to be stable , populations in that system must be healthy , and that usually means reproducing as much as their environment allows .","To what end will the populations in this system be healthy?","For an ecosystem to be stable","AmPncQgTemplate"
"When activation energy is lower , more reactant particles have enough energy to react so the reaction goes faster .","To what end do more reaction particles have enough energy to react at lower activation energy?","so","AmPncQgTemplate"
"For more information on exoskeleton suits , see http://science .","For what purpose do you see http: / / science?","For more information on exoskeleton suits","AmPncQgTemplate"
"Less energy is needed to get renewable energy sources .","Why is less energy needed?","to get renewable energy sources","AmPncQgTemplate"
"The deep - water zone does not have photosynthesis since there is no sunlight .","Why is there no photosynthesis in the deep-water zone?","since there is no sunlight","AmCauQgTemplate"
"That s why it is incorrect to call Coriolis a force .","Why is it wrong to call Coriolis a force?","why","AmCauQgTemplate"
"From the graphs , you can see that both types of reactions need the same amount of activation energy in order to get started .","To what end do both reaction types require the same amount of activation energy?","in order to get started","AmPncQgTemplate"
"Minimizing of waste may be difficult to achieve for individuals and households , but here are some starting points that you can include in your daily routine to reduce the use of resources : Turn lights off when not using them .","To what end can you incorporate some starting points into your everyday life?","to reduce the use of resources","AmPncQgTemplate"
"The ancient atmosphere and oceans would be toxic to modern life , but they set the stage for life to begin .","To what end have they set the stage?","for life to begin","AmPncQgTemplate"
"Everyday , women living in the refugee camps of Darfur , Sudan must walk for up to seven hours outside the safety of the camps to collect firewood for cooking , putting them at risk for violent attacks .","To what end must women living in the Darfur refugee camps in Sudan be subjected every day on foot to violent attacks outside the safety of the camps?","to collect firewood for cooking","AmPncQgTemplate"
"Everyday , women living in the refugee camps of Darfur , Sudan must walk for up to seven hours outside the safety of the camps to collect firewood for cooking , putting them at risk for violent attacks .","To what end do women living in the Darfur refugee camps in Sudan collect firewood?","for cooking","AmPncQgTemplate"
"But do you know why ? Friction causes the molecules on rubbing surfaces to move faster , so they have more energy .","Why has friction caused the molecules to move faster on friction surfaces?","why","AmCauQgTemplate"
"The acid is what causes the milk to curdle to form cheese .","What is the purpose of the milk?","to form cheese","AmPncQgTemplate"
"She also must provide all the nutrients and other substances needed for normal growth and development .","What was the purpose of all the nutrients and other substances?","for normal growth and development","AmPncQgTemplate"
"It is a good basis for organizing elements because each element has a unique number of protons and atomic mass is an indirect way of organizing elements by number of protons .","Why is it a good basis for organizing elements?","because each element has a unique number of protons and atomic mass is an indirect way of organizing elements by number of protons","AmCauQgTemplate"
"Momentum equals mass times velocity and is represented by the equation : Momentum = Mass Velocity Q : What is Codys momentum as he stands at the top of the ramp ? A : Cody has no momentum as he stands there because he is nt moving .","Why is he standing there?","because he is nt moving","AmCauQgTemplate"
"Why are wetlands so important ? Wetlands have great biodiversity .","Why are wetlands so important?","Why","AmCauQgTemplate"
"That s because they are released by products such as paints , cleaning solutions , and building materials .","Why so?","because they are released by products such as paints , cleaning solutions , and building materials","AmCauQgTemplate"
"Because of the high rate of energy loss in food chains , there are usually only 4 or 5 trophic levels in the food chain or energy pyramid .","Why are there usually only 4 or 5 trophies in the food chain or energy pyramid?","Because of the high rate of energy loss in food chains","AmCauQgTemplate"
"Living creatures remove ions , such as calcium , magnesium , and potassium , from the water to make shells or soft tissue .","To what end do organisms remove ions such as calcium, magnesium and potassium from the water?","to make shells or soft tissue","AmPncQgTemplate"
"Q : Why do fossil fuels have energy ? A : Fossil fuels contain stored chemical energy that came originally from the sun .","To what end do fossil fuels have energy?","Why","AmPncQgTemplate"
"Most evaporation is from the oceans because they cover so much area .","Why does most evaporation come from the oceans?","because they cover so much area","AmCauQgTemplate"
"It looks different from other galaxies because we are looking at the main disk from within the galaxy .","Why does it look different from other galaxies?","because we are looking at the main disk from within the galaxy","AmCauQgTemplate"
"They are unstable because they have too much energy , too many protons , or an unstable ratio of protons to neutrons .","Why are they unstable?","because they have too much energy , too many protons , or an unstable ratio of protons to neutrons","AmCauQgTemplate"
"Some atoms need to share more than one pair of electrons to have a full outer energy level .","To what end do some atoms have more than a pair of electrons in common?","to have a full outer energy level","AmPncQgTemplate"
"This colorful adobe house in Tucson , Arizona is surrounded by native cactus , which needs little water to thrive .","For what purpose does native cactus need little water?","to thrive","AmPncQgTemplate"
"It does nt melt because its too cold .","Why doesn't it melt?","because its too cold","AmCauQgTemplate"
"Heat from the burning coal boils the water in the boiler to make steam .","For what purpose does heat from the burning coal boil the water in the boiler?","to make steam","AmPncQgTemplate"
"There are several gaps in the rings that scientists think have originated because the material was cleared out by the gravitational pull within the rings , or by the gravitational forces of Saturn and of moons outside the rings .","Why did the rings come into being?","because the material was cleared out by the gravitational pull within the rings , or by the gravitational forces of Saturn and of moons outside the rings","AmCauQgTemplate"
"The infected person can not fight infections and other diseases because they do not have T cells .","Why can the infected person not fight against infections and other diseases?","because they do not have T cells","AmCauQgTemplate"
"Although the idea that Earth is a magnet is centuries old , the discovery of why Earth is a magnet is a relatively new .","Why is the Earth a magnet?","why","AmCauQgTemplate"
"Humans have changed the natural balance of the carbon cycle because we use coal , oil , and natural gas to supply our energy demands .","Why has man altered the natural balance of the carbon cycle?","because we use coal , oil , and natural gas to supply our energy demands","AmCauQgTemplate"
"Elements that readily give up electrons ( the metals ) can carry electric current because their electrons can flow freely .","Why can elements that readily emit electrons (the metals) carry electric current?","because their electrons can flow freely","AmCauQgTemplate"
"You can take an animated quiz to check your understanding of magnetic field interactions at this URL : http://elgg .","For what purpose can you do an animated quiz?","to check your understanding of magnetic field interactions at this URL : http://elgg","AmPncQgTemplate"
"They require a certain amount of energy just to get started .","To what end do they need a certain amount of energy?","just to get started","AmPncQgTemplate"
"The asteroids might have come together to make a single planet , but they were pulled apart by the intense gravity of Jupiter .","To what end could the asteroids have come?","to make a single planet","AmPncQgTemplate"
"How can so many biochemical reactions take place simultaneously in our cells ? A : So many reactions can occur because biochemical reactions are amazingly fast .","Why can many reactions occur?","because biochemical reactions are amazingly fast","AmCauQgTemplate"
"For a fascinating account of how the brain helps us see , watch this short video : .","What is the purpose of this short video recording?","For a fascinating account of how the brain helps us see","AmPncQgTemplate"
"To understand this process , recall that the atoms of all elements contain the particles protons , neutrons , and electrons .","For what purpose do the atoms of all elements remember the particles protons, neutrons and electrons?","To understand this process","AmPncQgTemplate"
"Weathering causes rocks at the Earths surface to change form .","For what purpose does weathering cause rocks on the earth's surface?","to change form","AmPncQgTemplate"
"Plant new trees to replace those that are cut down .","What is the purpose of planting new trees?","to replace those that are cut down","AmPncQgTemplate"
"We need natural resources for just about everything we do .","Why do we need natural resources?","for just about everything we do","AmPncQgTemplate"
"Its important to know the warning signs of cancer so it can be diagnosed as early as possible .","To what end do the warning signs know cancer?","so it can be diagnosed as early as possible","AmPncQgTemplate"
"The cilia move and sweep the particles and mucus toward the throat so they can be expelled from the body .","For what purpose does cilia sweep the particles and mucus into the throat?","so they can be expelled from the body","AmPncQgTemplate"
"Eventually asteroids could be mined for rare minerals or for construction projects in space .","After all, to what end could asteroids be mined?","for rare minerals or for construction projects in space","AmPncQgTemplate"
"That s why we put sand on icy sidewalks and roads .","Why do we put sand on icy sidewalks and roads?","why","AmCauQgTemplate"
"Allowed Vikings to colonize Greenland and Great Britain to grow wine grapes .","To what end did Vikings colonise Greenland and Great Britain?","to grow wine grapes","AmPncQgTemplate"
"Space telescopes avoid such problems completely since they orbit outside the atmosphere .","Why do space telescopes avoid such problems in the first place?","since they orbit outside the atmosphere","AmCauQgTemplate"
"As a result , the paper clips will no longer be magnetized or stick together .","Why are the paper clips no longer magnetised?","As a result","AmCauQgTemplate"
"Fiber does nt provide energy , but it is needed for other uses .","To what end is it necessary?","for other uses","AmPncQgTemplate"
"The rainforest is slashed down and then the waste is burned to clear the land for farming .","What is the purpose of incinerating the waste?","to clear the land for farming","AmPncQgTemplate"
"The rainforest is slashed down and then the waste is burned to clear the land for farming .","To what end has the land been cleared?","for farming","AmPncQgTemplate"
"For example , in the air , carbon combines with oxygen to form the gas carbon dioxide .","To what end does carbon combine with oxygen in the air?","to form the gas carbon dioxide","AmPncQgTemplate"
"Small Proterozoic continents known as microcontinents collided to create supercontinents , which resulted in the uplift of massive mountain ranges .","To what end did small proterozoic continents, known as microcontinents, collide, leading to the elevation of massive mountain ranges?","to create supercontinents","AmPncQgTemplate"
"Saturns rings circle the planets equator and appear tilted because Saturn itself is tilted about 27 degrees .","Why did Saturn's rings appear?","because Saturn itself is tilted about 27 degrees","AmCauQgTemplate"
"Saturns rings circle the planets equator and appear tilted because Saturn itself is tilted about 27 degrees .","Why does Saturn ring?","because Saturn itself is tilted about 27 degrees","AmCauQgTemplate"
"Disease Multiple sclerosis Cause The immune system attacks and damages the central nervous sys- tem so neurons can not function nor- mally .","To what end does the immune system damage the central nervous system?","so neurons can not function nor- mally","AmPncQgTemplate"
"For this reason , Venus is sometimes called the morning star .","Why is Venus sometimes called Morning Star?","For this reason","AmCauQgTemplate"
"For more information on home energy audits , see http://science .","For what purpose do you see http: / / science?","For more information on home energy audits","AmPncQgTemplate"
"The majority of vertebrates have : scales , feathers , fur , or hair covering their skin ; muscles attached to the endoskeleton to allow movement ; a circulatory system with a heart that pumps blood through a closed network of blood vessels ; an excretory system that includes a pair of kidneys for filtering wastes out of the blood ; a central nervous system with a brain , spinal cord , and nerve fibers throughout the body ; an adaptive immune system that learns to recognize specific pathogens and launch tailor - made attacks against them ; and an endocrine system with glands that secrete chemical messenger molecules called hormones .","For what purpose were muscles attached to the endoskeleton?","to allow movement","AmPncQgTemplate"
"Because atoms are always electrically neutral , for each added proton , one electron is also added .","Why is one electron added for each added proton?","Because atoms are always electrically neutral","AmCauQgTemplate"
"Atoms are neutral in electric charge because they have the same number of negative electrons as positive protons .","Why are atoms electrically neutral?","because they have the same number of negative electrons as positive protons","AmCauQgTemplate"
"A lunar eclipse does not occur every month because Moons orbit is inclined 5-degrees to Earths orbit , so the two bodies are not in the same plane every month .","Why does not a lunar eclipse occur every month?","because Moons orbit is inclined 5-degrees to Earths orbit , so the two bodies are not in the same plane every month","AmCauQgTemplate"
"Why does this help ? A lot of the electricity we use comes from coal - burning power plants .","Why does that help?","Why","AmCauQgTemplate"
"But you need the appropriate size and shape of the wrench to efficiently tighten the bolt , just like each enzyme is specific for the reaction it helps .","To what end do you need the right size and shape of the key, just as each enzyme is specific to the reaction it helps?","to efficiently tighten the bolt","AmPncQgTemplate"
"The chlorine then releases the oxygen atom and moves on to destroy another ozone molecule .","To what end then does the chlorine move on?","to destroy another ozone molecule","AmPncQgTemplate"
"However , it is called the north magnetic pole because it is close to the north geographic pole .","Why is it called the North Magnetic Pole?","because it is close to the north geographic pole","AmCauQgTemplate"
"As long as you can link the information to a position with a GPS receiver , you can store it in a computer for later processing and map - making .","To what end can you store it in a computer as long as you can connect the information to a GPS receiver?","for later processing and map - making","AmPncQgTemplate"
"Organisms need nitrogen to make organic compounds , such as DNA .","For what purpose does the organism need nitrogen?","to make organic compounds , such as DNA","AmPncQgTemplate"
"You can make only one batch of cookies , because eggs are the limiting factor .","Why can you only make one group of cookies?","because eggs are the limiting factor","AmCauQgTemplate"
"Our nearest star directly impacts the water cycle by supplying the energy needed for evaporation .","To what end did the energy need?","for evaporation","AmPncQgTemplate"
"A combustion engine is a complex machine that burns fuel to produce thermal energy and then uses the energy to do work .","To what end does a complex engine burn fuel?","to produce thermal energy","AmPncQgTemplate"
"Then do the You Try It ! problems to check your understand- ing .","What purpose are you trying to do then! Problems?","to check your understand- ing","AmPncQgTemplate"
"It can not seep any deeper into the ground because the rock below it is impermeable .","Why can't it seep deeper?","because the rock below it is impermeable","AmCauQgTemplate"
"Now we move on to recycle .","So what are we going to do about it?","to recycle","AmPncQgTemplate"
"As you know , animals need oxygen to live .","To what end, as we know, do animals need oxygen?","to live","AmPncQgTemplate"
"The ions can move freely , so they can carry current .","For what purpose can the ions move freely?","so they can carry current","AmPncQgTemplate"
"Though this is difficult , there are steps you can take to limit your exposure to pathogens .","To what end can you take steps?","to limit your exposure to pathogens","AmPncQgTemplate"
"Energy must be constantly added because not enough energy is released when the products form to break more bonds in the reactants .","Why does energy have to be added constantly?","because not enough energy is released when the products form to break more bonds in the reactants","AmCauQgTemplate"
"Energy must be constantly added because not enough energy is released when the products form to break more bonds in the reactants .","For what purpose did the products form when?","to break more bonds in the reactants","AmPncQgTemplate"
"Because of waters polarity , individual water molecules are attracted to one another .","Why do individual water molecules attract each other?","Because of waters polarity","AmCauQgTemplate"
"They can then combine all of these distances to make a map of the ocean floor .","To what end can they then combine all these distances?","to make a map of the ocean floor","AmPncQgTemplate"
"Ganymede is not only the biggest moon in the solar system ; it is even larger than the planet Mercury ! Scientists are particularly interested in Europa because it may be a place to find extraterrestrial life .","Why are scientists particularly interested in Europe?","because it may be a place to find extraterrestrial life","AmCauQgTemplate"
"Q : Why do you think coal and sugar are so different from one another when carbon is a major component of each A : Coal and sugar differ from one another because they contain different proportions of carbon and other elements .","Why do you think that coal and sugar are so different when carbon is a major component of every A: coal and sugar are different because they contain different amounts of carbon and other elements?","Why","AmCauQgTemplate"
"Knowledge of light was needed for the invention of optical instruments such as microscopes , telescopes , and cameras , in addition to optical fibers .","For what purpose was light knowledge needed?","for the invention of optical instruments such as microscopes , telescopes , and cameras , in addition to optical fibers","AmPncQgTemplate"
"That s why modern light bulbs are filled with argon .","Why are modern light bulbs filled with argon?","why","AmCauQgTemplate"
"This explains why liquids can change shape but have a fixed volume .","For what purpose do liquids have a fixed volume?","why","AmPncQgTemplate"
"Obtaining coal for energy takes a lot of energy .","What is the purpose of coal?","for energy","AmPncQgTemplate"
"Transport of all these materials is necessary to maintain homeostasis of the body and life itself .","For what purpose is the transport of all these materials necessary?","to maintain homeostasis of the body and life itself","AmPncQgTemplate"
"How did life begin ? In order to answer this question , scientists need to know what kinds of materials were available at that time .","To what end do scientists need to know what materials were available at the time?","In order to answer this question","AmPncQgTemplate"
"All chemical reactions , even exothermic reactions , need a certain amount of energy to get started .","To what end do all chemical reactions, including exothermic reactions, require a certain amount of energy?","to get started","AmPncQgTemplate"
"To bring water to the surface takes energy because the force of gravity must be overcome .","Why does water take to the surface to bring energy?","because the force of gravity must be overcome","AmCauQgTemplate"
"The energy is released from these molecules when ATP loses phosphate ( Pi ) to become ADP and NADPH loses hydrogen ( H ) to become NADP+ .","To what end did NADPH lose hydrogen (H)?","to become NADP+","AmPncQgTemplate"
"That s why they are used in air fresheners and mothballs .","Why are they used in air fresheners and mothballs?","why","AmCauQgTemplate"
"While there had always been a lot of births , the population grew because the death rate fell .","Why has the population grown when there have always been many births?","because the death rate fell","AmCauQgTemplate"
"Why is a convex mirror good for this purpose ? A : Because it gathers light over a wide area , a convex mirror gives the driver a wider view of the area around the vehicle than a plane mirror would .","Why is a convex mirror suitable for this purpose?","Why","AmCauQgTemplate"
"Why is a convex mirror good for this purpose ? A : Because it gathers light over a wide area , a convex mirror gives the driver a wider view of the area around the vehicle than a plane mirror would .","Why does a convex mirror offer a wider view of the surroundings of the vehicle than an airplane mirror?","Because it gathers light over a wide area","AmCauQgTemplate"
"The dark areas are called maria , which means seas because that s what the ancients thought they were .","Why does Mary mean seas?","because that s what the ancients thought they were","AmCauQgTemplate"
"If you ve had dental X rays , you may have noticed that a heavy apron was placed over your body to protect it from stray X rays .","What was the purpose of putting a heavy apron over your body?","to protect it from stray X rays","AmPncQgTemplate"
"In the laboratory , bacteria can be changed to provide us with a variety of useful materials .","To what end can bacteria be modified in the laboratory?","to provide us with a variety of useful materials","AmPncQgTemplate"
"The poles are often mapped this way to avoid distortion .","For what purpose are the poles mapped so often?","to avoid distortion","AmPncQgTemplate"
"As a result , images are focused in front of the retina ( top left ) .","Why are the images focused in front of the retina (top left)?","As a result","AmCauQgTemplate"
"Light passes through translucent objects but you can not see clearly through them because the light is scattered in all directions .","Why can't you see through them clearly?","because the light is scattered in all directions","AmCauQgTemplate"
"For additional information , see Homeostasis at .","What is the purpose of homeostasis?","For additional information","AmPncQgTemplate"
"Animals need oxygen to breathe .","Why do animals need oxygen?","to breathe","AmPncQgTemplate"
"Q : What is it about the divers position that gives her potential energy ? A : Because the diver is high above the water , she has the potential to fall toward Earth because of gravity .","Why does it have the potential to fall to Earth because of gravity?","Because the diver is high above the water","AmCauQgTemplate"
"They have high population growth rates because low death rates are not matched by equally low birth rates .","Why do they have high population growth rates?","because low death rates are not matched by equally low birth rates","AmCauQgTemplate"
"C ) In a cyclic molecule , the chain of carbon atoms is joined at the two ends to form a ring .","To what end is the chain of carbon atoms connected in a cyclic molecule in a cyclic molecule?","to form a ring","AmPncQgTemplate"
"The five conditions that must be met for genetic equilibrium to occur include : 1 .","To what end must the five conditions be met?","for genetic equilibrium to occur","AmPncQgTemplate"
"When you inflate the balloon , the dots slowly move away from each other because the rubber stretches in the space between them .","Why do the dots slowly move away from each other when the balloon is inflated?","because the rubber stretches in the space between them","AmCauQgTemplate"
"Fish have fins and streamlined bodies to help them swim .","For what purpose do fish have fins and slender bodies?","to help them swim","AmPncQgTemplate"
"Since the early Earth was very hot , mantle convection was very rapid .","Why was mantle convection was very rapid ?","Since the early Earth was very hot","AmCauQgTemplate"
"Many of the suitable streams in the United States have been developed for hydroelectric power .","For what purpose have Many of the suitable streams in the United States been developed ?","for hydroelectric power","AmPncQgTemplate"
"They are burned in power plants to produce electrical energy , and they also fuel cars , heat homes , and supply energy for many other purposes .","For what purpose are They burned in power plants ?","to produce electrical energy","AmPncQgTemplate"
"They are burned in power plants to produce electrical energy , and they also fuel cars , heat homes , and supply energy for many other purposes .","For what purpose did they fuel cars also ?","for many other purposes","AmPncQgTemplate"
"Because isomers are different compounds , they have different properties .","Why do they have different properties ?","Because isomers are different compounds","AmCauQgTemplate"
"The car jack , in turn , puts out 7000 joules of work to raise up the car .","For what purpose does The car jack put 7000 joules of work ?","to raise up the car","AmPncQgTemplate"
