Text,Question,Answer,Template
"You wo nt miss it because it no longer has any purpose in the human body .","Why didn't you miss it?","because it no longer has any purpose in the human body","AmCauQgTemplate"
"The lens may be moved back and forth to bring the image into focus .","For what purpose can the lens be moved back and forth?","to bring the image into focus","AmPncQgTemplate"
"20 lb Q : Rod needs to buy a meter of wire for a science experiment , but the wire is sold only by the yard .","For what purpose does Rod buy a wire knife?","for a science experiment","AmPncQgTemplate"
"There are eight bones that fuse together to form the cranium .","To what end do eight bones fuse together?","to form the cranium","AmPncQgTemplate"
"You get the carbohydrates you need for energy from eating carbohydrate - rich foods , including fruits and vegetables , as well as grains , such as bread , rice , or corn .","What do you need carbohydrates for?","for energy","AmPncQgTemplate"
"To find out how the brain determines where a sound is coming from , watch this amusing video : MEDIA Click image to the left or use the URL below .","To what end do this amusing video watch mEDIA click image left?","To find out how the brain determines where a sound is coming from","AmPncQgTemplate"
"For a visual explanation of these concepts , watch the animation "" Temperature vs.","What is the purpose of the animation ""temperature monitoring?","For a visual explanation of these concepts","AmPncQgTemplate"
"Catalysts are not reactants , but they help reactants come together so they can react .","To what end do reaction agents come together?","so they can react","AmPncQgTemplate"
"For example , ticks and mosquitoes are vectors , so you should wear long sleeves and long pants when appropriate to avoid tick and mosquito bites .","For what purpose should you wear long sleeves and long trousers?","to avoid tick and mosquito bites","AmPncQgTemplate"
"Other types of rock are easily weathered because they dissolve easily in weak acids .","Why do other types of rock weather so easily?","because they dissolve easily in weak acids","AmCauQgTemplate"
"Uranus is also different because of its blue - green color .","Why is Uranus different?","because of its blue - green color","AmCauQgTemplate"
"Atoms also come together to form compounds much larger than water .","For what purpose do atoms also come together?","to form compounds much larger than water","AmPncQgTemplate"
"The word oceanology might be more accurate , since ology is the study of .","Why is the word oceanology more accurate?","since ology is the study of","AmCauQgTemplate"
"Citizens can change their behavior to reduce the impact they have on the planet by demanding products that are produced sustainably .","To what end can citizens change their behaviour?","to reduce the impact they have on the planet by demanding products that are produced sustainably","AmPncQgTemplate"
"For example , to generate a higher - frequency wave in a rope , you must move the rope up and down more quickly .","For what purpose does the rope have to be moved up and down faster?","to generate a higher - frequency wave in a rope","AmPncQgTemplate"
"For example , the biceps and triceps muscles work together to allow you to bend and straighten your elbow .","For what purpose do biceps and triceps muscles work together?","to allow you to bend and straighten your elbow","AmPncQgTemplate"
"What is needed to explain gravity ? A : A theory is needed to explain gravity .","What is required for what purpose?","to explain gravity","AmPncQgTemplate"
"What is needed to explain gravity ? A : A theory is needed to explain gravity .","To what end is a theory needed?","to explain gravity","AmPncQgTemplate"
"An inclined plane with a gentler slope has a greater mechanical advantage and requires less input force to move an object to a higher elevation .","For what purpose does an inclined plane with a gentler slope require less input force?","to move an object to a higher elevation","AmPncQgTemplate"
"This is a link that you can follow to get there : http://w tilt your image and lots more .","To what end can you follow a link?","to get there","AmPncQgTemplate"
"Throughout the world , more than 14,000 people die every day from waterborne diseases , such as cholera , and many of the worlds hospital beds are occupied by patients suffering from a waterborne disease .","Why do more than 14,000 people die every day worldwide?","from waterborne diseases , such as cholera","AmCauQgTemplate"
"To see why , consider this English - language analogy .","For what purpose do these German - language analogy consider?","To see why","AmPncQgTemplate"
"What goes into the plant cell to start photosynthesis ? The reactants of photosynthesis are carbon dioxide and water .","What goes into the plant cell for what purpose?","to start photosynthesis","AmPncQgTemplate"
"Why are alkaline Earth metals less reactive than alkali metals ? A : It takes more energy to remove two valence electrons from an atom than one valence electron .","Why are alkaline earth metals less reactive than alkali metals?","Why","AmCauQgTemplate"
"That s why you and the desk remain in place on the floor rather than moving toward one another .","Why do you and your desk stay on the floor?","why","AmCauQgTemplate"
"For more information on the speed of sound , see http://science .","For what purpose do you see http: / / science?","For more information on the speed of sound","AmPncQgTemplate"
"Can you explain why ? A : When the air is very dry , electric charges are more likely to build up objects because they can not travel easily through the dry air .","Why are electric charges more likely to build up objects when the air is very dry?","because they can not travel easily through the dry air","AmCauQgTemplate"
"The opposite happens to retain body heat .","To what end is the opposite happening?","to retain body heat","AmPncQgTemplate"
"The catalyst can go on to catalyze many more reactions .","To what end can the catalyst go?","to catalyze many more reactions","AmPncQgTemplate"
"This is important because the station has a microgravity environment .","Why is this so important?","because the station has a microgravity environment","AmCauQgTemplate"
"Do you ride a bus or have someone drive you to school ? Motor vehicles need energy from fossil fuels to run .","To what end do cars need energy from fossil fuels?","to run","AmPncQgTemplate"
"The scientists will use existing wells and may drill test wells to check for concentrations and monitor the movement of the plume .","To what end are scientists allowed to drill wells?","to check for concentrations and monitor the movement of the plume","AmPncQgTemplate"
"You can also take the following steps to avoid picking up pathogens or spreading them to others .","To what end can you also take the following steps?","to avoid picking up pathogens or spreading them to others","AmPncQgTemplate"
"Why has climate stability been beneficial for human civilization ? Stability has allowed the expansion of agriculture and the development of towns and cities .","Why has climate stability been beneficial to human civilisation?","Why","AmCauQgTemplate"
"Irrigation , the ability to clear large swaths of land for farming efficiently , and the development of farm machines powered by fossil fuels allowed people to grow more food and transport it to where it was needed .","For what purpose are large tracts of land cleaned efficiently?","for farming","AmPncQgTemplate"
"They are usually given antibiotics to kill the bacteria .","For what purpose are antibiotics usually given to you?","to kill the bacteria","AmPncQgTemplate"
"To learn more about hydrogen bonding and when it occurs , see the video at this URL : ( 0:58 ) .","For what purpose do you see the video on this URL?","To learn more about hydrogen bonding and when it occurs","AmPncQgTemplate"
"The muscle relaxes to let food pass into the stomach .","For what purpose does the muscle relax?","to let food pass into the stomach","AmPncQgTemplate"
"That s why there is greater air resistance against the parachute than the skydivers body .","Why is the air resistance against the parachute greater than the body of the parachutist?","why","AmCauQgTemplate"
"Brain and spinal cord injuries most commonly occur because of car crashes or sports accidents .","Why do brain and spinal cord injuries occur most frequently?","because of car crashes or sports accidents","AmCauQgTemplate"
"The two types of vibrating fields combine to create an electromagnetic wave .","To what end do the two types of vibration fields combine?","to create an electromagnetic wave","AmPncQgTemplate"
"Anaerobic exercises use a resistance against which the muscle has to work to lift or push away .","For what purpose does the muscle work?","to lift or push away","AmPncQgTemplate"
"The data is fed into computers so that it can be studied .","For what purpose is the data fed into computers?","so that it can be studied","AmPncQgTemplate"
"To find the efficiency of the machine , substitute these values into the equation for efficiency : 6000 J 100 % = 75 % 8000 J Q : Rani puts 7500 joules of work into pushing a box up a ramp , but only 6700 joules of work actually go into moving the box .","For what purpose do these values replace the efficiency equation: 6000 J 100% = 75% 8000 J Q?","To find the efficiency of the machine","AmPncQgTemplate"
"Wastes must be flushed out to keep animals healthy .","What is the purpose of flushing the waste?","to keep animals healthy","AmPncQgTemplate"
"That s why they re called pollutants .","Why so?","why","AmCauQgTemplate"
"That s why they re called pollutants .","Why are they called pollutants again?","why","AmCauQgTemplate"
"To balance electrical charge , an atom may share its electron with another atom , give it away , or receive an electron from another atom .","To what end does an atom give it away?","To balance electrical charge","AmPncQgTemplate"
"To balance electrical charge , an atom may share its electron with another atom , give it away , or receive an electron from another atom .","For what purpose does an atom receive an electron from another atom?","To balance electrical charge","AmPncQgTemplate"
"This force is needed to overcome the electric force of repulsion between positive protons .","What is the purpose of this force?","to overcome the electric force of repulsion between positive protons","AmPncQgTemplate"
"Since almost every galaxy in the universe has a redshift , almost every galaxy is moving away from Earth .","Why has almost every galaxy moved away from Earth?","Since almost every galaxy in the universe has a redshift","AmCauQgTemplate"
"By 1970 , it was clear that something needed to be done to protect air quality .","To what end did something have to be done?","to protect air quality","AmPncQgTemplate"
"By 1970 , it was clear that something needed to be done to protect air quality .","To what end is something being done?","to protect air quality","AmPncQgTemplate"
"As a result , the paper clips will stick to the magnet and also to each other .","Why do the paper clips stick to the magnet and also to each other?","As a result","AmCauQgTemplate"
"From the equation for rusting , you can see that four atoms of iron combine with three molecules of oxygen to form two molecules of iron oxide .","For what purpose do four iron atoms combine with three oxygen molecules?","to form two molecules of iron oxide","AmPncQgTemplate"
"But did you know that thermal energy can also be used to keep things cool ? Cooling systems such as air conditioners and refrigerators transfer thermal energy in order to keep homes and cars cool or to keep food cold .","To what end do cooling systems such as air conditioners and refrigerators transfer thermal energy?","in order to keep homes and cars cool or to keep food cold","AmPncQgTemplate"
"Oil coats the surfaces of moving parts and makes them slippery so there is less friction .","To what end do oil make them slippery?","so there is less friction","AmPncQgTemplate"
"Because all electromagnetic waves travel at the same speed through space , a wave with a shorter wavelength must have a higher frequency , and vice versa .","Why does a wave with shorter wavelength have a higher frequency?","Because all electromagnetic waves travel at the same speed through space","AmCauQgTemplate"
"If a river floods often , the floodplain develops a thick layer of rich soil because of all the deposits .","Why does a thick layer of fertile soil form in the floodplain when a river often floods?","because of all the deposits","AmCauQgTemplate"
"They are dry because they are in continental interiors or rain shadows .","Why are they dry?","because they are in continental interiors or rain shadows","AmCauQgTemplate"
"The lenses focus images farther forward in the eye , so they are on the retina instead of behind it .","To what end are the lenses focusing images farther forward in the eye?","so they are on the retina instead of behind it","AmPncQgTemplate"
"Acids also react with metals to produce hydrogen gas .","To what end do acids react with metals?","to produce hydrogen gas","AmPncQgTemplate"
"Sweat from sweat glands in the skin evaporates to cool the body .","For what purpose does sweat evaporate from sweat glands in the skin?","to cool the body","AmPncQgTemplate"
"Q : Why do copper and carbon differ in their ability to conduct electricity ? A : Atoms of metals such as copper easily give up valence electrons .","Why do copper and carbon differ in their ability to conduct electricity?","Why","AmCauQgTemplate"
"We need a really big unit to measure distances out in space because distances between stars are so great .","Why do we need a really large unit to measure distances in space?","because distances between stars are so great","AmCauQgTemplate"
"Then the valve closes so the blood ca nt flow back into the right atrium .","To what end then does the valve close?","so the blood ca nt flow back into the right atrium","AmPncQgTemplate"
"Sounds that people need to hear , such as the voices of co - workers , are not interfered with in this way and may be amplified instead so they can be heard more clearly .","To what end can sounds that people need to hear, such as the voices of co-workers, be amplified instead?","so they can be heard more clearly","AmPncQgTemplate"
"The molecules that come together to start a chemical reaction are the reactants .","For what purpose do the molecules come together?","to start a chemical reaction","AmPncQgTemplate"
"Because of the mutations , abnormal cells divide uncontrollably .","Why do abnormal cells divide uncontrollably?","Because of the mutations","AmCauQgTemplate"
"The placenta continues to develop and grow to meet the needs of the growing fetus .","For what purpose does the placenta grow?","to meet the needs of the growing fetus","AmPncQgTemplate"
