,PatternID,Text,Cause,Effect
533,144,"Different radioactive isotopes vary greatly in their rate of decay. As you can see from the examples in Table 11.1, the half-life of a radioisotope can be as short as a split second or as long as several billion years. You can simulate radioactive decay of radioisotopes with different half-lives at the URL below.",you can see from the examples in Table 11.1,the half-life of a radioisotope can be as short as a split second or as long as several billion years.
548,144,"Think about what it feels like to ride in a car. As the car speeds up, you feel as though you are being pressed against the seat. The opposite occurs when the car slows down, especially if the change in speed is",the car speeds up,you feel as though you are being pressed against the seat.
551,144,"This property is called elasticity. As you stretch or compress an elastic material, it resists the change in shape. It exerts a counter force in the opposite direction.",you stretch or compress an elastic material,it resists the change in shape.
552,144,"The acceleration due to gravity of an object equals 9.8 m/s2 , so if you know the mass of an object, you can calculate its weight as: F = m  9.8 m/s2 As this equation shows, weight is directly related to mass. As an objects mass increases, so does its weight.",an objects mass increases,so does its weight.
560,144,"The leaves turn color and then fall from the trees to the ground. As the leaves are falling, they have kinetic energy. While they are still attached to the trees they also have energy, but its not because of motion.",the leaves are falling,they have kinetic energy.
561,144,"When the sun hits the bridge, the metal expands and the bridge cables stretch. As the fog rolls in, the cables contract and the bridge goes up. Curators from the Outdoor Exploratorium in San Francisco have set up a scope two miles away so you can see how the bridge is moving up or down depending on the weather.",the fog rolls in,the cables contract and the bridge goes up.
563,144,"A refrigerant is a substance, such as FreonTM, that has a low boiling point and changes between liquid and gaseous states as it passes through the cooling system. As a liquid, the refrigerant absorbs thermal energy from the cool air inside the refrigerator and changes to a gas. As a gas, it releases thermal energy to the warm air outside the refrigerator and changes back to a liquid.",a liquid,the refrigerant absorbs thermal energy from the cool air inside the refrigerator and changes to a gas.
564,144,"As a liquid, the refrigerant absorbs thermal energy from the cool air inside the refrigerator and changes to a gas. As a gas, it releases thermal energy to the warm air outside the refrigerator and changes back to a liquid. ",a gas,it releases thermal energy to the warm air outside the refrigerator and changes back to a liquid.
566,144,"The particles of the medium just vibrate, or move back-and- forth or up-and-down in one spot, always returning to their original positions. As the particles vibrate, they pass the energy of the disturbance to the particles next to them, which pass the energy to the particles next to them, and so on. ",the particles vibrate,"they pass the energy of the disturbance to the particles next to them, which pass the energy to the particles next to them, and so on."
575,144,"Because the car is racing forward (toward the right), the sound waves get bunched up in front of the car and spread out behind it. As the car approaches the person on the right (position B), the sound waves get closer and closer together. In other words, they have a higher frequency.",the car approaches the person on the right (position B),the sound waves get closer and closer together.
583,144,"most of the time, but sometimes it behaves like particles. As evidence accumulated for this dual nature of electromagnetic radiation, the famous physicist Albert Einstein developed a new theory about electromagnetic radiation, called the wave-particle theory. This theory explains how electromagnetic radiation can behave as both a wave and a particle.",evidence accumulated for this dual nature of electromagnetic radiation,"the famous physicist Albert Einstein developed a new theory about electromagnetic radiation, called the wave-particle theory."
585,144,"Waves in this middle section of the electromagnetic spectrum are commonly called light. As you will read below, the properties of electromagnetic waves influence how the different waves behave and how they can be used. ",you will read below,the properties of electromagnetic waves influence how the different waves behave and how they can be used.
589,144,"This is called transmission of light. As light is transmitted, it may be scattered by particles of matter and spread out in all directions. This is called scattering of light.",light is transmitted,it may be scattered by particles of matter and spread out in all directions.
595,144,"Light passes through the lens at the front of the camera and enters the camera through an opening called the aperture. As light passes through the lens, it forms a reduced real image. The image focuses on film (or a sensor) at the back of the camera.",light passes through the lens,it forms a reduced real image.
601,144,"The level with the least energy is the one closest to the nucleus. As you go farther from the nucleus, the levels have more and more energy. Electrons can jump from one energy level to another.",you go farther from the nucleus,the levels have more and more energy.
611,144,"You often feel acceleration when you ride in a car. As the car speeds up, you feel as though you are being pressed against the seat. When the car slows down, you feel like you are being pushed forward, especially if the change in speed is sudden.",the car speeds up,you feel as though you are being pressed against the seat.
614,144,"When electricity passes through the gas, it excites electrons of neon atoms, and the electrons jump to a higher energy level. As the excited electrons return to their original energy level, they give off visible light. Neon produces red light.",the excited electrons return to their original energy level,they give off visible light.
615,144,"As a result, it isnt effective if the nucleus gets too big. As more protons are added to the nucleus, the electromagnetic force of repulsion between them gets stronger, while the strong nuclear force of attraction between them gets weaker. This puts an upper limit on the number of protons an atom can have and remain stable.",more protons are added to the nucleus,"the electromagnetic force of repulsion between them gets stronger, while the strong nuclear force of attraction between them gets weaker."
637,144,"This decreases the density of the particles, so they rise up through the fluid. As they rise, they transfer their thermal energy to other particles of the fluid and cool off in the process. With less energy, the particles move more slowly, have fewer collisions, and move closer together.",they rise,they transfer their thermal energy to other particles of the fluid and cool off in the process.
638,144,"A refrigerant is a substance such as FreonTM that has a low boiling point and changes between liquid and gaseous states as it passes through the refrigerator. As a liquid, the refrigerant absorbs thermal energy from the cool air inside the refrigerator and changes to a gas.",a liquid,the refrigerant absorbs thermal energy from the cool air inside the refrigerator and changes to a gas.
639,144,"that has a low boiling point and changes between liquid and gaseous states as it passes through the refrigerator. As a liquid, the refrigerant absorbs thermal energy from the cool air inside the refrigerator and changes to a gas. As a gas, it transfers thermal energy to the warm air outside the refrigerator and changes back to a liquid.",a liquid,the refrigerant absorbs thermal energy from the cool air inside the refrigerator and changes to a gas.
640,144,"As a liquid, the refrigerant absorbs thermal energy from the cool air inside the refrigerator and changes to a gas. As a gas, it transfers thermal energy to the warm air outside the refrigerator and changes back to a liquid. Work is done by a refrigerator to move the refrigerant through the different components of the refrigerator.",a gas,it transfers thermal energy to the warm air outside the refrigerator and changes back to a liquid.
641,144,"Dalton grew up in a working-class family. As an adult, he made a living by teaching and just did research in his spare time. Nonetheless, from his research he developed one of the most important theories in all of science.",an adult,he made a living by teaching and just did research in his spare time.
643,144,"This listener hears the pitch of the siren get higher. As the car speeds away from listener B, the sound waves get farther apart, decreasing their frequency. This listener hears the pitch of the siren get lower.",the car speeds away from listener B,"the sound waves get farther apart, decreasing their frequency."
645,144,"This property is called elasticity. As you stretch or compress an elastic material like a bungee cord, it resists the change in shape. It exerts a counter force in the opposite direction.",you stretch or compress an elastic material like a bungee cord,it resists the change in shape.
646,144,"His weight stretches the bungee cord. As the bungee cord stretches, it exerts elastic force upward against the jumper, which slows his descent and brings him to a momentary stop. Then the bungee cord springs back to its original shape, and the jumper bounces upward.",the bungee cord stretches,"it exerts elastic force upward against the jumper, which slows his descent and brings him to a momentary stop."
654,144,"Electrons in energy level I (also called energy level K) have the least amount of energy. As you go farther from the nucleus, electrons at higher levels have more energy, and their energy increases by a fixed, discrete amount. Electrons can jump from a lower to the next higher energy level if they absorb this amount of energy.",you go farther from the nucleus,"electrons at higher levels have more energy, and their energy increases by a fixed, discrete amount."
655,144,"The general equation for an exothermic reaction is: Reactants  Products + Energy If the energy produced in an exothermic reaction is released as heat, it results in a rise in temperature. As a result, the products are likely to be warmer than the reactants.",a result,the products are likely to be warmer than the reactants.
659,144,"Halogens are highly reactive nonmetallic elements in group 17 of the periodic table. As you can see in the periodic table 1.1, the halogens include the elements fluorine (F), chlorine (Cl), bromine (Br), iodine (I), and astatine (At). All of them are relatively common on Earth except for astatine.",you can see in the periodic table 1.1,"the halogens include the elements fluorine (F), chlorine (Cl), bromine (Br), iodine (I), and astatine (At)."
664,144,"Water passes through such a great length of pipe in the radiator that it transfers a lot of thermal energy to the radiator. As the water transfers thermal energy, it gets cooler. The cool water flows into a return pipe rather than going directly to another radiator because the cool water no longer has enough thermal energy to heat a room.",the water transfers thermal energy,it gets cooler.
671,144,"Greater amplitude waves have more energy and greater intensity, so they sound louder. As sound waves travel farther from their source, the more spread out their energy becomes. You can see how this works in the Figure 1.2.",sound waves travel farther from their source,the more spread out their energy becomes.
675,144,"Butane has only two isomers and pentane has just three, but some hydrocarbons have many more isomers than these. As you increase the number of carbon atoms in a hydrocarbon, the number of isomers quickly increases. For example, heptane, with seven carbon atoms, has nine isomers; and dodecane, with twelve carbon atoms, has 355 isomers.",you increase the number of carbon atoms in a hydrocarbon,the number of isomers quickly increases.
680,144,"Too much exposure to ultraviolet light can cause sunburn and skin cancer. As the slip, slop, slap slogan suggests, you can protect your skin from ultraviolet light by wearing clothing that covers your skin, applying sunscreen to any exposed areas, and wearing a hat to protect your head from exposure. The SPF, or sun-protection factor, of sunscreen gives a rough idea of how long it protects the skin from sunburn (see Figure 1.3).",the slip,"slop, slap slogan suggests, you can protect your skin from ultraviolet light by wearing clothing that covers your skin, applying sunscreen to any exposed areas, and wearing a hat to protect your head from exposure."
689,144,"In the periodic table above, elements are color coded to show their class. As you move from left to right across each period of the table, the elements change from metals to metalloids to nonmetals. Q:",you move from left to right across each period of the table,the elements change from metals to metalloids to nonmetals.
700,144,"A: Your frame of reference might be the trees and other stationary objects across the street. As the bus goes by, it momentarily blocks your view of these objects, and this helps you detect the bus motion. ",the bus goes by,"it momentarily blocks your view of these objects, and this helps you detect the bus motion."
705,144,"Noble gases are nonreactive, nonmetallic elements in group 18 of the periodic table. As you can see in the periodic table below, noble gases include helium (He), neon (Ne), argon (Ar), krypton (Kr), xenon (Xe), and radon (Rn). All noble gases are colorless and odorless.",you can see in the periodic table below,"noble gases include helium (He), neon (Ne), argon (Ar), krypton (Kr), xenon (Xe), and radon (Rn)."
707,144,"Light passes through the lens at the front of the camera and enters the camera through an opening called the aperture. As light passes through the lens, it forms a reduced real image. The image focuses on film (or a sensor) at the back of the camera.",light passes through the lens,it forms a reduced real image.
709,144,"She weighs 140 Newtons, and the top of the hill is 4 meters higher than the bottom of the hill. As she sits at the top of the hill, the childs gravitational potential energy is: GPE = 140 N  ",she sits at the top of the hill,the childs gravitational potential energy is: GPE = 140 N
718,144,"It has more significant figures than the measurement with the fewest significant figures. As another example, assume that you want to calculate the volume of the block of wood shown below. The volume of the block is represented by the formula:",another example,assume that you want to calculate the volume of the block of wood shown below.
720,144,"This makes the side of the knocker closest to your hand positively charged. As your negatively charged hand gets very close to the positively charged side of the metal, the air between your hand and the knocker also becomes electrically charged. This allows electrons to suddenly flow from your hand to the knocker.",your negatively charged hand gets very close to the positively charged side of the metal,the air between your hand and the knocker also becomes electrically charged.
721,144,"At first, the atmosphere prevents electrons from flowing away from areas of negative charge and toward areas of positive charge. As more charges build up, however, the air between the oppositely charged areas also becomes charged. When this happens, static electricity is discharged as bolts of lightning.",more charges build up,"however, the air between the oppositely charged areas also becomes charged."
730,144,"Transmission of light occurs when light passes through matter. As light is transmitted, it may pass straight through matter or it may be refracted or scattered as it passes through. When light is refracted, it changes direction as it passes into a new medium and changes speed.",light is transmitted,it may pass straight through matter or it may be refracted or scattered as it passes through.
